video,frame,time_seconds,person_index,person_confidence,body_scale_shoulder_px,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,left_shoulder_x_smooth,left_shoulder_y_smooth,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,right_shoulder_x_smooth,right_shoulder_y_smooth,left_elbow_x,left_elbow_y,left_elbow_confidence,left_elbow_x_smooth,left_elbow_y_smooth,right_elbow_x,right_elbow_y,right_elbow_confidence,right_elbow_x_smooth,right_elbow_y_smooth,left_wrist_x,left_wrist_y,left_wrist_confidence,left_wrist_x_smooth,left_wrist_y_smooth,right_wrist_x,right_wrist_y,right_wrist_confidence,right_wrist_x_smooth,right_wrist_y_smooth
videos/AfNIkaVQNY4/02_0027_0030.mp4,0,0.000000,0,0.926632,185.888,1176.982,496.705,0.997344,1185.430,505.668,1006.867,421.770,0.997764,1010.251,431.197,1207.190,661.794,0.996227,1209.736,673.556,881.800,392.702,0.997072,881.800,443.558,1220.422,818.271,0.990283,1223.229,832.164,969.299,262.201,0.994800,937.757,302.606
videos/AfNIkaVQNY4/02_0027_0030.mp4,1,0.016683,0,0.926383,190.352,1185.430,505.668,0.997285,1187.020,507.646,1010.251,431.197,0.997613,1011.344,434.182,1209.736,673.556,0.995445,1210.855,677.226,881.655,443.558,0.996289,884.810,465.796,1223.229,832.164,0.988052,1224.285,837.186,937.757,302.606,0.995326,924.455,329.483
videos/AfNIkaVQNY4/02_0027_0030.mp4,2,0.033367,0,0.926052,188.935,1188.610,509.624,0.996225,1188.610,509.624,1014.122,437.167,0.997038,1012.437,437.167,1211.975,680.895,0.995180,1211.975,680.895,887.819,488.034,0.995710,886.079,488.034,1225.341,842.207,0.986992,1225.341,842.207,911.153,356.359,0.992930,911.153,356.359
videos/AfNIkaVQNY4/02_0027_0030.mp4,3,0.050050,0,0.925871,194.727,1194.256,515.647,0.995779,1194.256,515.647,1012.437,445.930,0.996748,1012.437,445.930,1216.298,685.056,0.994123,1216.298,685.056,890.830,530.900,0.993912,887.819,530.900,1226.068,850.994,0.985459,1226.068,850.994,887.762,429.091,0.991139,897.928,429.091
videos/AfNIkaVQNY4/02_0027_0030.mp4,4,0.066733,0,0.913477,194.463,1198.758,520.938,0.996253,1198.758,520.938,1013.805,460.870,0.997844,1012.437,460.870,1220.781,690.521,0.993421,1220.781,690.521,886.079,558.826,0.990286,887.819,558.826,1226.709,854.622,0.982312,1226.068,852.027,897.928,466.446,0.971695,897.928,466.446
videos/AfNIkaVQNY4/02_0027_0030.mp4,5,0.083417,0,0.919714,197.261,1202.889,527.477,0.997120,1202.889,527.477,1012.344,476.444,0.997739,1012.344,476.444,1227.065,693.958,0.993881,1227.065,693.958,890.999,572.844,0.990519,888.230,572.844,1226.666,853.300,0.987951,1226.068,852.027,881.512,661.608,0.987095,897.928,661.608
videos/AfNIkaVQNY4/02_0027_0030.mp4,6,0.100100,0,0.915342,201.305,1206.284,538.836,0.997666,1206.284,538.836,1008.723,500.189,0.998175,1012.344,500.189,1234.788,703.204,0.994191,1234.788,703.204,883.117,640.558,0.992166,888.230,640.558,1225.144,852.027,0.989784,1226.666,852.027,920.775,756.396,0.989148,905.189,756.396
videos/AfNIkaVQNY4/02_0027_0030.mp4,7,0.116783,0,0.925291,202.917,1209.125,546.529,0.997399,1209.125,546.529,1007.876,520.570,0.998233,1011.120,520.570,1244.498,711.532,0.993151,1244.498,711.532,888.230,687.482,0.994023,890.999,675.122,1223.912,848.948,0.991082,1226.666,848.948,933.135,794.636,0.993122,920.775,776.646
videos/AfNIkaVQNY4/02_0027_0030.mp4,8,0.133467,0,0.924735,200.889,1212.199,555.445,0.997949,1211.396,551.210,1012.626,532.495,0.998048,1008.723,532.495,1249.533,717.384,0.992704,1249.533,712.246,919.605,675.122,0.987493,919.605,687.482,1228.416,832.077,0.990174,1228.416,832.077,905.189,776.646,0.985525,928.920,794.636
videos/AfNIkaVQNY4/02_0027_0030.mp4,9,0.150150,0,0.924240,200.294,1211.396,551.210,0.997383,1212.199,555.445,1011.120,548.548,0.997927,1011.120,548.548,1253.466,712.246,0.990997,1253.466,713.725,924.034,713.059,0.989097,924.034,713.059,1236.530,812.127,0.989979,1236.530,812.127,928.920,813.653,0.988138,933.135,813.653
