frame,event_type,track_id,action,resolved_hand,matched_source_track_id,pending_before,pending_after
2,HAND_EXIT,2,UNMATCHED_VIDEO_START,,,,
2,HAND_EXIT,3,UNMATCHED_VIDEO_START,,,,
149,HAND_ENTRY,3,PENDING_ENTRY,,,,T3:{RIGHT}
152,HAND_EXIT,4,MATCHED_FIFO,RIGHT,3,T3:{RIGHT},
217,HAND_ENTRY,4,PENDING_ENTRY,,,,T4:{RIGHT}
219,HAND_ENTRY,1,PENDING_ENTRY,,,T4:{RIGHT},T4:{RIGHT};T1:{LEFT}
223,HAND_EXIT,5,MATCHED_FIFO,LEFT,1,T4:{RIGHT};T1:{LEFT},T4:{RIGHT}
224,HAND_EXIT,6,MATCHED_FIFO,RIGHT,4,T4:{RIGHT},
841,HAND_ENTRY,5,PENDING_ENTRY,,,,T5:{LEFT}
845,HAND_EXIT,10,MATCHED_FIFO,LEFT,5,T5:{LEFT},
882,HAND_ENTRY,2,PENDING_ENTRY,,,,"T2:{LEFT,RIGHT}"
885,HAND_EXIT,11,MATCHED_FIFO,LEFT,2,"T2:{LEFT,RIGHT}",
950,HAND_ENTRY,6,PENDING_ENTRY,,,,T6:{LEFT}
953,HAND_EXIT,13,MATCHED_FIFO,LEFT,6,T6:{LEFT},
1077,HAND_EXIT,14,UNMATCHED_NO_COMPATIBLE_SOURCE,,,,
1078,HAND_ENTRY,11,PENDING_ENTRY,,,,T11:{LEFT}
1078,HAND_ENTRY,14,PENDING_ENTRY,,,T11:{LEFT},T11:{LEFT};T14:{RIGHT}
1078,FINALIZATION,11,VIDEO_END_PENDING_ENTRY,,,T11:{LEFT};T14:{RIGHT},T11:{LEFT};T14:{RIGHT}
1078,FINALIZATION,14,VIDEO_END_PENDING_ENTRY,,,T11:{LEFT};T14:{RIGHT},T11:{LEFT};T14:{RIGHT}
