frame,time_seconds,track_id,confidence,center_x,center_y,observed
2,0.033367,1,0.741381,1097.116,283.312,1
2,0.033367,2,0.694802,1105.358,413.374,1
2,0.033367,3,0.410851,931.193,638.656,1
3,0.050050,1,0.835034,1101.256,287.598,1
3,0.050050,2,0.743106,1095.865,424.254,1
3,0.050050,3,0.644225,928.723,606.431,1
4,0.066733,1,0.880644,1106.372,294.584,1
4,0.066733,2,0.827606,1085.513,440.233,1
4,0.066733,3,0.728075,925.194,572.523,1
5,0.083417,1,0.868154,1112.064,303.468,1
5,0.083417,2,0.836201,1075.633,458.787,1
5,0.083417,3,0.823403,921.826,539.619,1
6,0.100100,1,0.884633,1117.068,313.901,1
6,0.100100,2,0.593993,1063.173,479.835,1
6,0.100100,3,0.825719,919.078,509.161,1
7,0.116783,1,0.845520,1122.067,326.789,1
7,0.116783,2,0.824374,1052.294,503.134,1
7,0.116783,3,0.781692,915.595,483.572,1
8,0.133467,1,0.775840,1127.073,342.114,1
8,0.133467,2,0.671832,1041.317,528.656,1
8,0.133467,3,0.796247,912.610,456.821,1
9,0.150150,1,0.859451,1132.330,360.052,1
9,0.150150,2,0.711437,1030.091,556.730,1
9,0.150150,3,0.827736,909.155,433.622,1
10,0.166833,1,0.867895,1137.263,380.440,1
10,0.166833,2,0.697886,1018.782,586.744,1
10,0.166833,3,0.857195,905.808,413.524,1
11,0.183517,1,0.860713,1142.527,402.785,1
11,0.183517,2,0.715205,1007.503,620.015,1
11,0.183517,3,0.883881,902.456,396.611,1
12,0.200200,1,0.854559,1147.500,427.734,1
12,0.200200,2,0.718833,995.772,656.063,1
12,0.200200,3,0.917296,899.136,382.458,1
13,0.216883,1,0.863749,1153.171,455.587,1
13,0.216883,2,0.802683,984.802,695.836,1
13,0.216883,3,0.912225,895.640,370.735,1
14,0.233567,1,0.853141,1158.706,487.337,1
14,0.233567,2,0.801759,974.332,735.727,1
14,0.233567,3,0.917956,892.249,361.159,1
15,0.250250,1,0.775825,1164.588,522.211,1
15,0.250250,2,0.410712,966.608,775.022,1
15,0.250250,3,0.917841,888.978,354.036,1
16,0.266933,1,0.750875,1171.416,556.795,1
16,0.266933,2,0.679893,964.698,810.106,1
16,0.266933,3,0.905151,885.718,349.558,1
17,0.283617,1,0.785538,1175.226,580.465,1
17,0.283617,2,0.674024,965.853,842.135,1
17,0.283617,3,0.909457,882.706,346.575,1
18,0.300300,1,0.185675,1175.800,590.935,1
18,0.300300,2,0.688244,970.537,872.121,1
18,0.300300,3,0.893642,879.774,345.774,1
19,0.316983,1,0.185675,1179.820,613.934,0
19,0.316983,2,0.790190,977.716,899.502,1
19,0.316983,3,0.891618,876.518,346.650,1
20,0.333667,1,0.185675,1183.840,636.933,0
20,0.333667,2,0.658555,986.659,922.764,1
20,0.333667,3,0.908817,872.905,349.602,1
20,0.333667,4,0.797586,1164.144,525.327,1
21,0.350350,1,0.185675,1187.860,659.932,0
21,0.350350,2,0.641454,998.092,938.379,1
21,0.350350,3,0.911404,868.909,354.061,1
21,0.350350,4,0.254946,1151.902,497.358,1
22,0.367033,1,0.185675,1191.880,682.931,0
22,0.367033,2,0.641454,1002.796,964.158,0
22,0.367033,3,0.903707,865.044,360.512,1
22,0.367033,4,0.584416,1129.623,464.976,1
23,0.383717,1,0.185675,1195.899,705.930,0
23,0.383717,2,0.641454,1007.500,989.937,0
23,0.383717,3,0.920459,861.106,369.045,1
23,0.383717,4,0.193193,1106.629,434.407,1
24,0.400400,2,0.641454,1012.204,1015.716,0
24,0.400400,3,0.918483,856.922,379.599,1
24,0.400400,4,0.564929,1081.567,403.702,1
24,0.400400,5,0.718369,1047.582,890.603,1
25,0.417083,2,0.641454,1016.908,1041.495,0
25,0.417083,3,0.908895,852.633,392.155,1
25,0.417083,4,0.646287,1060.915,380.593,1
25,0.417083,5,0.586044,1060.238,864.735,1
26,0.433767,2,0.641454,1021.612,1067.274,0
26,0.433767,3,0.892285,848.192,406.399,1
26,0.433767,4,0.646287,1042.414,355.744,0
26,0.433767,5,0.682972,1071.860,828.985,1
27,0.450450,3,0.887944,843.674,422.953,1
27,0.450450,4,0.646287,1023.914,330.894,0
27,0.450450,5,0.415671,1080.995,786.097,1
28,0.467133,3,0.901877,839.177,441.589,1
28,0.467133,4,0.160205,993.588,317.686,1
28,0.467133,5,0.590405,1082.660,741.053,1
29,0.483817,3,0.882447,834.305,462.803,1
29,0.483817,4,0.346867,966.614,306.372,1
29,0.483817,5,0.197034,1080.535,694.122,1
