track_id,boundary_type,boundary_frame,boundary_x,boundary_y,hand,endpoint_distance_px,recent_min_distance_px,endpoint_distance_normalized,recent_min_distance_normalized,n_synchronized_samples,motion,signed_trend,proximity_band,hand_evidence,post_contact,eligible_hand_set,preferred_hand,ambiguous,evidence_reason
1,START,2,1097.116000,283.312000,LEFT,403.860482,346.527071,1.879146,1.612376,5,APPROACHING,-14.533778,FAR,0,0,{RIGHT},RIGHT,0,far
1,START,2,1097.116000,283.312000,RIGHT,141.140145,141.140145,0.656719,0.656719,5,SEPARATING,36.445226,POSSIBLE,1,0,{RIGHT},RIGHT,0,possible + separating
1,END,18,1175.800000,590.935000,LEFT,18.796167,18.796167,0.081215,0.081215,5,APPROACHING,-36.022415,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
1,END,18,1175.800000,590.935000,RIGHT,340.958794,338.702443,1.473231,1.463482,5,APPROACHING,-9.644651,FAR,0,0,{LEFT},LEFT,0,far
2,START,2,1105.358000,413.374000,LEFT,283.571423,175.107005,1.319446,0.814766,5,APPROACHING,-27.648778,FAR,0,0,{},,0,far
2,START,2,1105.358000,413.374000,RIGHT,219.746238,213.183921,1.022470,0.991936,5,APPROACHING,-0.856516,FAR,0,0,{},,0,far
2,END,21,998.092000,938.379000,LEFT,429.861630,318.590226,1.875135,1.389749,5,SEPARATING,28.072477,FAR,0,0,{RIGHT},RIGHT,0,far
2,END,21,998.092000,938.379000,RIGHT,73.441099,27.969926,0.320364,0.122010,5,SEPARATING,11.402707,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
3,START,2,931.193000,638.656000,LEFT,69.663508,69.663508,0.324141,0.324141,5,SEPARATING,34.218345,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
3,START,2,931.193000,638.656000,RIGHT,391.535631,104.302205,1.821799,0.485314,5,APPROACHING,-72.479329,FAR,0,0,{LEFT},LEFT,0,far
3,END,40,799.384000,823.983000,LEFT,621.472297,453.782649,3.078363,2.247740,5,SEPARATING,44.375154,FAR,0,0,{RIGHT},RIGHT,0,far
3,END,40,799.384000,823.983000,RIGHT,48.274851,10.068655,0.239122,0.049873,5,APPROACHING,-4.922018,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
4,START,20,1164.144000,525.327000,LEFT,43.641051,43.641051,0.202294,0.202294,5,SEPARATING,9.354367,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
4,START,20,1164.144000,525.327000,RIGHT,398.009211,398.009211,1.844933,1.844933,5,SEPARATING,15.300127,FAR,0,0,{LEFT},LEFT,0,far
4,END,74,866.942000,872.327000,LEFT,94.734832,82.832295,0.436277,0.381463,5,SEPARATING,3.326445,POSSIBLE,0,0,{},,0,possible
4,END,74,866.942000,872.327000,RIGHT,449.111477,380.231174,2.068266,1.751055,5,SEPARATING,16.636730,FAR,0,0,{},,0,far
5,START,24,1047.582000,890.603000,LEFT,438.907892,386.641342,2.063720,1.817966,5,APPROACHING,-13.244872,FAR,0,0,{RIGHT},RIGHT,0,far
5,START,24,1047.582000,890.603000,RIGHT,54.797774,54.797774,0.257656,0.257656,5,SEPARATING,8.664416,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
5,END,66,856.974000,499.906000,LEFT,322.501787,322.501787,1.386890,1.386890,5,APPROACHING,-28.903541,FAR,0,0,{RIGHT},RIGHT,0,far
5,END,66,856.974000,499.906000,RIGHT,115.579491,115.579491,0.497039,0.497039,5,APPROACHING,-33.840753,POSSIBLE,1,0,{RIGHT},RIGHT,0,possible + approaching
6,START,43,871.060000,834.667000,LEFT,625.736120,622.158754,3.026257,3.008956,5,APPROACHING,-0.939351,FAR,0,0,{RIGHT},RIGHT,0,far
6,START,43,871.060000,834.667000,RIGHT,37.887299,37.887299,0.183235,0.183235,5,SEPARATING,7.014682,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
6,END,47,991.684000,822.446000,LEFT,622.158754,622.158754,3.008956,3.008956,5,APPROACHING,-0.939351,FAR,0,0,{RIGHT},RIGHT,0,far
6,END,47,991.684000,822.446000,RIGHT,69.906507,37.887299,0.338090,0.183235,5,SEPARATING,7.014682,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
7,START,54,1069.098000,579.343000,LEFT,252.750742,77.583366,1.118737,0.343403,5,APPROACHING,-33.875644,FAR,0,0,{RIGHT},RIGHT,0,far
7,START,54,1069.098000,579.343000,RIGHT,128.859540,128.859540,0.570364,0.570364,5,SEPARATING,31.626887,POSSIBLE,1,0,{RIGHT},RIGHT,0,possible + separating
7,END,89,1138.820000,740.115000,LEFT,20.582232,20.582232,0.095756,0.095756,5,APPROACHING,-25.219889,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
7,END,89,1138.820000,740.115000,RIGHT,494.533292,356.013717,2.300754,1.656309,5,SEPARATING,36.254959,FAR,0,0,{LEFT},LEFT,0,far
8,START,77,866.323000,763.183000,LEFT,91.983207,91.983207,0.401882,0.401882,1,INSUFFICIENT,,POSSIBLE,0,0,{},,0,insufficient motion
8,START,77,866.323000,763.183000,RIGHT,410.492198,410.492198,1.793474,1.793474,1,INSUFFICIENT,,FAR,0,0,{},,0,far
8,END,77,866.323000,763.183000,LEFT,91.983207,91.983207,0.401882,0.401882,1,INSUFFICIENT,,POSSIBLE,0,0,{},,0,insufficient motion
8,END,77,866.323000,763.183000,RIGHT,410.492198,410.492198,1.793474,1.793474,1,INSUFFICIENT,,FAR,0,0,{},,0,far
9,START,81,1036.896000,346.086000,LEFT,350.017618,350.017618,1.675110,1.675110,5,SEPARATING,1.716150,FAR,0,0,{RIGHT},RIGHT,0,far
9,START,81,1036.896000,346.086000,RIGHT,118.748419,114.710903,0.568305,0.548982,5,SEPARATING,2.191747,POSSIBLE,1,0,{RIGHT},RIGHT,0,possible + separating
9,END,119,1021.085000,951.107000,LEFT,425.352609,299.223879,1.858190,1.307185,5,SEPARATING,31.175597,FAR,0,0,{RIGHT},RIGHT,0,far
9,END,119,1021.085000,951.107000,RIGHT,79.047791,29.307168,0.345327,0.128031,5,SEPARATING,12.939038,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
10,START,82,901.301000,557.048000,LEFT,203.444381,203.444381,0.973292,0.973292,5,SEPARATING,37.580452,FAR,0,0,{},,0,far
10,START,82,901.301000,557.048000,RIGHT,278.442398,187.919331,1.332088,0.899019,5,APPROACHING,-23.509757,FAR,0,0,{},,0,far
