frame,event_type,track_id,action,resolved_hand,matched_source_track_id,pending_before,pending_after
2,HAND_EXIT,1,UNMATCHED_VIDEO_START,,,,
2,HAND_EXIT,3,UNMATCHED_VIDEO_START,,,,
18,HAND_ENTRY,1,PENDING_ENTRY,,,,T1:{LEFT}
20,HAND_EXIT,4,MATCHED_FIFO,LEFT,1,T1:{LEFT},
21,HAND_ENTRY,2,PENDING_ENTRY,,,,T2:{RIGHT}
24,HAND_EXIT,5,MATCHED_FIFO,RIGHT,2,T2:{RIGHT},
40,HAND_ENTRY,3,PENDING_ENTRY,,,,T3:{RIGHT}
43,HAND_EXIT,6,MATCHED_FIFO,RIGHT,3,T3:{RIGHT},
47,HAND_ENTRY,6,PENDING_ENTRY,,,,T6:{RIGHT}
54,HAND_EXIT,7,MATCHED_FIFO,RIGHT,6,T6:{RIGHT},
66,HAND_ENTRY,5,PENDING_ENTRY,,,,T5:{RIGHT}
81,HAND_EXIT,9,MATCHED_FIFO,RIGHT,5,T5:{RIGHT},
89,HAND_ENTRY,7,PENDING_ENTRY,,,,T7:{LEFT}
94,HAND_EXIT,11,MATCHED_FIFO,LEFT,7,T7:{LEFT},
99,HAND_ENTRY,11,PENDING_ENTRY,,,,T11:{LEFT}
102,HAND_EXIT,12,MATCHED_FIFO,LEFT,11,T11:{LEFT},
118,HAND_ENTRY,10,PENDING_ENTRY,,,,T10:{LEFT}
119,HAND_ENTRY,9,PENDING_ENTRY,,,T10:{LEFT},T10:{LEFT};T9:{RIGHT}
121,HAND_EXIT,13,MATCHED_FIFO,LEFT,10,T10:{LEFT};T9:{RIGHT},T9:{RIGHT}
122,HAND_EXIT,14,MATCHED_FIFO,RIGHT,9,T9:{RIGHT},
140,HAND_ENTRY,12,PENDING_ENTRY,,,,T12:{RIGHT}
143,HAND_EXIT,15,MATCHED_FIFO,RIGHT,12,T12:{RIGHT},
148,HAND_ENTRY,15,PENDING_ENTRY,,,,T15:{RIGHT}
152,HAND_EXIT,16,MATCHED_FIFO,RIGHT,15,T15:{RIGHT},
164,HAND_ENTRY,14,PENDING_ENTRY,,,,T14:{RIGHT}
166,HAND_ENTRY,13,PENDING_ENTRY,,,T14:{RIGHT},T14:{RIGHT};T13:{LEFT}
169,HAND_EXIT,17,MATCHED_FIFO,LEFT,13,T14:{RIGHT};T13:{LEFT},T14:{RIGHT}
177,HAND_EXIT,18,MATCHED_FIFO,RIGHT,14,T14:{RIGHT},
179,HAND_ENTRY,18,PENDING_ENTRY,,,,T18:{RIGHT}
179,FINALIZATION,18,VIDEO_END_PENDING_ENTRY,,,T18:{RIGHT},T18:{RIGHT}
