source_track_id,target_track_id,source_end_frame,target_start_frame,gap_frames,hold_seconds,association_type,resolved_hand,hand_ambiguous,source_eligible_hand_set,target_eligible_hand_set,source_preferred_hand,target_preferred_hand,source_ambiguous,target_ambiguous,match_rule
2,5,25,28,2,0.050050000000050054,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
1,6,45,48,2,0.050050000000050054,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
5,11,45,88,42,0.7173833333340508,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
6,12,51,96,44,0.7507500000007508,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
8,14,84,113,28,0.4838166666671505,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
4,15,62,124,61,1.0343666666677012,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
10,16,80,132,51,0.8675333333342009,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
11,19,91,166,74,1.2512500000012512,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
12,20,121,170,48,0.8174833333341508,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
15,22,129,173,43,0.7340666666674007,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
13,25,140,204,63,1.067733333334401,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
9,30,102,242,139,2.3356666666690025,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
20,31,170,248,77,1.3013000000013013,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
14,33,123,265,141,2.3690333333357025,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
22,34,196,283,86,1.4514500000014514,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
17,35,159,289,129,2.168833333335502,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
19,39,167,319,151,2.5358666666692025,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
25,40,209,326,116,1.951950000001952,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
16,41,178,328,149,2.5025000000025024,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
23,42,217,338,120,2.018683333335352,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
24,43,199,345,145,2.4357666666691027,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
29,45,235,363,127,2.135466666668802,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
27,47,236,370,133,2.2355666666689022,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
30,49,244,397,152,2.5525500000025527,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
31,50,276,404,127,2.135466666668802,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
