track_id,boundary_type,boundary_frame,event_type,eligible_hand_set,preferred_hand,ambiguous,hand_evidence,video_start_boundary,video_end_boundary,reason
1,START,17,HAND_EXIT,{LEFT},LEFT,0,1,1,0,VIDEO_START_EXIT
26,END,253,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
33,END,277,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
34,END,283,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
32,END,294,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
35,END,313,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
38,END,315,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
39,END,323,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
36,END,333,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
42,END,354,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
43,END,355,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
45,END,363,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
41,END,373,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
48,END,391,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
47,END,394,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
49,END,400,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
46,END,410,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
53,END,420,HAND_ENTRY,{LEFT},LEFT,0,1,0,1,VIDEO_END_PENDING_ENTRY
