track_id,boundary_type,boundary_frame,event_type,boundary_x,boundary_y,eligible_hand_set,preferred_hand,ambiguous,hand_evidence,evidence_reason,video_start_boundary,video_end_boundary,proximity_band,motion,endpoint_distance_px,endpoint_distance_normalized,recent_min_distance_px,recent_min_distance_normalized,post_contact
1,START,2,NON_HAND_START,865.577000,407.809000,{},,0,0,far,1,0,,,,,,,0
2,START,17,NON_HAND_START,839.712000,378.190000,{},,0,0,far,0,0,,,,,,,0
3,START,18,HAND_EXIT,1015.834000,511.056000,{LEFT},LEFT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,54.401756,0.448696,54.401756,0.448696,0
2,END,20,HAND_ENTRY,779.250000,438.331000,{RIGHT},RIGHT,0,1,possible + approaching,0,0,POSSIBLE,APPROACHING,54.744770,0.452287,54.744770,0.452287,0
1,END,23,HAND_ENTRY,886.264000,443.984000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,26.982630,0.236296,26.982630,0.236296,0
4,END,25,HAND_ENTRY,793.550000,609.156000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,INSUFFICIENT,36.282464,0.316408,36.282464,0.316408,0
4,START,25,HAND_EXIT,793.550000,609.156000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,INSUFFICIENT,36.282464,0.316408,36.282464,0.316408,0
5,START,28,HAND_EXIT,869.658000,684.316000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,25.999597,0.229362,25.553925,0.225431,0
5,END,33,HAND_ENTRY,1001.997000,665.786000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,37.390024,0.329846,25.553925,0.225431,0
6,START,36,NON_HAND_START,827.033000,402.575000,{},,0,0,far,0,0,,,,,,,0
7,START,37,HAND_EXIT,1014.720000,563.235000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,38.252909,0.343812,38.252909,0.343812,0
6,END,43,HAND_ENTRY,835.342000,346.627000,{LEFT},LEFT,0,1,possible + approaching,0,0,POSSIBLE,APPROACHING,62.810321,0.597471,62.810321,0.597471,0
3,END,48,HAND_ENTRY,832.592000,673.457000,{RIGHT},RIGHT,0,1,possible + approaching,0,0,POSSIBLE,APPROACHING,48.712624,0.501164,48.712624,0.501164,0
8,START,59,HAND_EXIT,952.805000,394.663000,{LEFT},LEFT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,48.700811,0.386818,48.700811,0.386818,0
8,END,64,NON_HAND_END,1027.972000,410.901000,{},,0,0,possible,0,0,,,,,,,0
9,START,68,HAND_EXIT,834.843000,506.103000,{RIGHT},RIGHT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,70.274140,0.550768,65.119697,0.510370,0
7,END,69,HAND_ENTRY,909.518000,426.771000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,42.107601,0.338643,42.107601,0.338643,0
10,START,84,HAND_EXIT,815.919000,552.776000,{LEFT},LEFT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,41.008166,0.467053,41.008166,0.467053,0
9,END,92,NON_HAND_END,999.374000,585.941000,{},,0,0,far,0,0,,,,,,,0
11,END,100,NON_HAND_END,1069.736000,613.465000,{},,0,0,insufficient motion,0,0,,,,,,,0
11,START,100,NON_HAND_START,1069.736000,613.465000,{},,0,0,insufficient motion,0,0,,,,,,,0
12,START,106,HAND_EXIT,863.567000,371.156000,{RIGHT},RIGHT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,52.143073,0.415990,52.143073,0.415990,0
12,END,113,HAND_ENTRY,787.504000,490.110000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,45.864713,0.346358,42.272951,0.319234,0
13,START,113,HAND_EXIT,1025.283000,470.430000,{LEFT},LEFT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,77.003974,0.607699,77.003974,0.607699,0
10,END,115,HAND_ENTRY,936.784000,399.398000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,21.606275,0.168495,21.606275,0.168495,0
14,START,118,HAND_EXIT,866.537000,648.463000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,14.496825,0.147167,14.496825,0.147167,0
14,END,126,HAND_ENTRY,1081.780000,632.552000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,36.184302,0.316895,33.333076,0.291924,0
15,START,130,HAND_EXIT,1075.281000,525.691000,{RIGHT},RIGHT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,59.996944,0.615170,59.996944,0.615170,0
16,START,132,NON_HAND_START,877.473000,366.758000,{},,0,0,far,0,0,,,,,,,0
16,END,137,NON_HAND_END,873.036000,355.672000,{},,0,0,far,0,0,,,,,,,0
13,END,138,HAND_ENTRY,910.316000,632.292000,{RIGHT},RIGHT,0,1,possible + approaching,0,0,POSSIBLE,APPROACHING,50.452788,0.564374,50.452788,0.564374,0
17,START,154,HAND_EXIT,1015.136000,379.861000,{LEFT},LEFT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,53.672095,0.452265,53.672095,0.452265,0
18,START,156,HAND_EXIT,876.899000,536.215000,{RIGHT},RIGHT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,55.385678,0.446166,55.385678,0.446166,0
17,END,158,NON_HAND_END,1099.804000,434.497000,{},,0,0,possible,0,0,,,,,,,0
15,END,162,HAND_ENTRY,1015.191000,405.950000,{RIGHT},RIGHT,0,1,possible + approaching,0,0,POSSIBLE,APPROACHING,56.191891,0.439628,56.191891,0.439628,0
19,END,172,HAND_ENTRY,893.021000,636.129000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,INSUFFICIENT,19.933074,0.183810,19.933074,0.183810,0
19,START,172,HAND_EXIT,893.021000,636.129000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,INSUFFICIENT,19.933074,0.183810,19.933074,0.183810,0
20,START,178,HAND_EXIT,875.763000,501.646000,{LEFT},LEFT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,68.342011,0.656075,68.342011,0.656075,0
18,END,184,HAND_ENTRY,1048.885000,588.272000,{LEFT},LEFT,0,1,possible + approaching,0,0,POSSIBLE,APPROACHING,44.969145,0.435925,44.969145,0.435925,0
21,START,200,NON_HAND_START,851.454000,382.290000,{},,0,0,far,0,0,,,,,,,0
22,START,202,HAND_EXIT,1073.291000,500.257000,{LEFT},LEFT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,48.482775,0.370338,48.482775,0.370338,0
21,END,203,NON_HAND_END,814.003000,429.746000,{},,0,0,far,0,0,,,,,,,0
20,END,207,HAND_ENTRY,935.931000,401.598000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,33.598887,0.251402,33.598887,0.251402,0
23,END,218,HAND_ENTRY,1079.235000,631.027000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,INSUFFICIENT,26.861016,0.252998,26.861016,0.252998,0
23,START,218,HAND_EXIT,1079.235000,631.027000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,INSUFFICIENT,26.861016,0.252998,26.861016,0.252998,0
24,START,222,NON_HAND_START,877.239000,381.905000,{},,0,0,far,0,0,,,,,,,0
25,START,223,NON_HAND_START,1083.940000,519.112000,{},,0,0,far,0,0,,,,,,,0
24,END,228,NON_HAND_END,871.515000,359.704000,{},,0,0,far,0,0,,,,,,,0
22,END,231,NON_HAND_END,928.348000,624.749000,{},,0,0,far,0,0,,,,,,,0
25,END,240,NON_HAND_END,1025.833000,337.608000,{},,0,0,possible,0,1,,,,,,,0
