track_id,boundary_type,boundary_frame,boundary_x,boundary_y,hand,endpoint_distance_px,recent_min_distance_px,endpoint_distance_normalized,recent_min_distance_normalized,n_synchronized_samples,motion,signed_trend,proximity_band,hand_evidence,post_contact,eligible_hand_set,preferred_hand,ambiguous,evidence_reason
1,START,2,553.159000,346.496000,LEFT,228.464323,201.253557,1.271118,1.119724,5,APPROACHING,-6.816414,FAR,0,0,{},,0,far
1,START,2,553.159000,346.496000,RIGHT,146.999953,55.503112,0.817870,0.308805,5,APPROACHING,-22.837649,FAR,0,0,{},,0,far
1,END,219,500.834000,548.107000,LEFT,59.434058,59.434058,0.357950,0.357950,5,APPROACHING,-28.059083,POSSIBLE,1,0,{LEFT},LEFT,0,possible + approaching
1,END,219,500.834000,548.107000,RIGHT,153.127079,79.822704,0.922230,0.480744,5,SEPARATING,19.432670,FAR,0,0,{LEFT},LEFT,0,far
2,START,2,714.143000,392.103000,LEFT,91.042286,91.042286,0.506536,0.506536,5,SEPARATING,27.887090,POSSIBLE,1,0,{LEFT},LEFT,0,possible + separating
2,START,2,714.143000,392.103000,RIGHT,207.954568,207.954568,1.157007,1.157007,5,SEPARATING,17.284828,FAR,0,0,{LEFT},LEFT,0,far
2,END,882,678.250000,615.115000,LEFT,74.830491,53.460990,0.438778,0.313475,5,SEPARATING,5.834854,POSSIBLE,1,1,"{LEFT,RIGHT}",,1,possible + recent very_near (post_contact)
2,END,882,678.250000,615.115000,RIGHT,73.574551,49.783543,0.431413,0.291912,5,SEPARATING,4.538224,POSSIBLE,1,1,"{LEFT,RIGHT}",,1,possible + recent very_near (post_contact)
3,START,2,612.066000,441.108000,LEFT,132.429118,34.953741,0.736802,0.194474,5,APPROACHING,-24.772609,FAR,0,0,{RIGHT},RIGHT,0,far
3,START,2,612.066000,441.108000,RIGHT,95.073285,95.073285,0.528964,0.528964,5,SEPARATING,27.760946,POSSIBLE,1,0,{RIGHT},RIGHT,0,possible + separating
3,END,149,583.129000,560.812000,LEFT,175.712452,175.712452,0.958977,0.958977,5,APPROACHING,-12.164012,FAR,0,0,{RIGHT},RIGHT,0,far
3,END,149,583.129000,560.812000,RIGHT,53.528671,53.528671,0.292141,0.292141,5,APPROACHING,-2.605191,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
4,START,152,583.500000,456.961000,LEFT,164.966920,164.966920,0.933625,0.933625,5,SEPARATING,11.280221,FAR,0,0,{RIGHT},RIGHT,0,far
