track_id,boundary_type,boundary_frame,event_type,boundary_x,boundary_y,eligible_hand_set,preferred_hand,ambiguous,hand_evidence,evidence_reason,video_start_boundary,video_end_boundary,proximity_band,motion,endpoint_distance_px,endpoint_distance_normalized,recent_min_distance_px,recent_min_distance_normalized,post_contact
1,START,2,NON_HAND_START,553.159000,346.496000,{},,0,0,far,1,0,,,,,,,0
2,START,2,HAND_EXIT,714.143000,392.103000,{LEFT},LEFT,0,1,possible + separating,1,0,POSSIBLE,SEPARATING,91.042286,0.506536,91.042286,0.506536,0
3,START,2,HAND_EXIT,612.066000,441.108000,{RIGHT},RIGHT,0,1,possible + separating,1,0,POSSIBLE,SEPARATING,95.073285,0.528964,95.073285,0.528964,0
3,END,149,HAND_ENTRY,583.129000,560.812000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,53.528671,0.292141,53.528671,0.292141,0
4,START,152,HAND_EXIT,583.500000,456.961000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,33.271136,0.188297,33.271136,0.188297,0
4,END,217,HAND_ENTRY,629.490000,399.193000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,49.157741,0.286793,49.157741,0.286793,0
1,END,219,HAND_ENTRY,500.834000,548.107000,{LEFT},LEFT,0,1,possible + approaching,0,0,POSSIBLE,APPROACHING,59.434058,0.357950,59.434058,0.357950,0
5,START,223,HAND_EXIT,482.482000,568.030000,{LEFT},LEFT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,59.540779,0.379323,59.540779,0.379323,0
6,START,224,HAND_EXIT,611.215000,407.053000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,NEUTRAL,39.467754,0.251233,37.170160,0.236608,0
7,START,465,NON_HAND_START,57.862000,679.947000,{},,0,0,far,0,0,,,,,,,0
8,START,467,NON_HAND_START,94.842000,672.660000,{},,0,0,far,0,0,,,,,,,0
8,END,486,NON_HAND_END,94.816000,672.584000,{},,0,0,far,0,0,,,,,,,0
9,END,495,NON_HAND_END,94.790000,672.621000,{},,0,0,far,0,0,,,,,,,0
9,START,495,NON_HAND_START,94.790000,672.621000,{},,0,0,far,0,0,,,,,,,0
7,END,498,NON_HAND_END,57.579000,680.050000,{},,0,0,far,0,0,,,,,,,0
5,END,841,HAND_ENTRY,518.689000,521.022000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,41.491149,0.248937,41.491149,0.248937,0
10,START,845,HAND_EXIT,500.477000,542.078000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,40.968728,0.258289,40.968728,0.258289,0
2,END,882,HAND_ENTRY,678.250000,615.115000,"{LEFT,RIGHT}",,1,1,LEFT: possible + recent very_near (post_contact); RIGHT: possible + recent very_near (post_contact),0,0,,,,,,,0
11,START,885,HAND_EXIT,679.180000,544.791000,"{LEFT,RIGHT}",LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,9.089083,0.053165,9.089083,0.053165,0
12,END,936,NON_HAND_END,57.808000,678.959000,{},,0,0,far,0,0,,,,,,,0
12,START,936,NON_HAND_START,57.808000,678.959000,{},,0,0,far,0,0,,,,,,,0
6,END,950,HAND_ENTRY,730.381000,632.205000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,61.587055,0.349240,61.587055,0.349240,0
13,START,953,HAND_EXIT,724.278000,537.087000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,26.061661,0.150163,26.061661,0.150163,0
10,END,1074,NON_HAND_END,535.041000,639.963000,{},,0,0,far,0,0,,,,,,,0
14,START,1077,HAND_EXIT,535.205000,558.994000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,INSUFFICIENT,26.715877,0.148540,7.320748,0.040703,0
11,END,1078,HAND_ENTRY,745.672000,446.866000,{LEFT},LEFT,0,1,very_near,0,1,VERY_NEAR,APPROACHING,45.435992,0.252623,42.355231,0.235494,0
13,END,1078,NON_HAND_END,709.619000,318.842000,{},,0,0,far,0,1,,,,,,,0
14,END,1078,HAND_ENTRY,535.382000,530.982000,{RIGHT},RIGHT,0,1,very_near,0,1,VERY_NEAR,INSUFFICIENT,7.320748,0.040703,7.320748,0.040703,0
