video,frame,time_seconds,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,frame_local_instance_index,mask_area_px,mask_centroid_x,mask_centroid_y,mask_centroid_valid,polygon_points
identical_balls_trick_000_018.mp4,1,0.016683,32,sports ball,0.696240,574.595,418.164,622.374,463.394,598.485,440.779,47.779,45.230,0,1802,598.009,439.800,1,"587,418;585,420;583,421;581,423;579,425;577,427;576,429;575,431;575,433;575,435;575,437;575,439;575,441;575,443;575,445;575,447;575,449;577,451;577,453;579,454;580,456;582,457;584,458;586,460;588,461;590,461;592,462;594,462;596,462;598,462;600,462;602,462;604,462;606,462;608,461;610,460;612,458;614,457;616,456;616,454;618,453;619,451;620,449;622,447;622,445;622,443;622,441;622,439;622,437;622,435;622,433;620,431;619,429;618,427;616,425;614,423;612,421;610,420;608,418;606,418;604,418;602,418;600,418;588,418"
identical_balls_trick_000_018.mp4,1,0.016683,32,sports ball,0.328159,692.352,380.524,736.986,427.025,714.669,403.775,44.635,46.501,1,1739,714.263,403.372,1,"706,381;704,383;702,383;700,385;698,386;696,388;694,390;693,392;693,394;693,396;693,398;693,400;693,402;693,404;693,406;693,408;693,410;693,412;693,414;695,416;696,418;697,420;698,421;700,422;702,424;704,425;706,426;708,426;710,426;712,426;714,426;716,426;718,426;720,426;722,425;724,424;726,423;728,423;730,421;732,419;734,417;734,415;735,413;736,411;736,409;736,407;736,405;736,403;736,401;736,399;736,397;735,395;735,393;734,391;733,389;731,387;729,385;727,383;725,382;723,381;721,381;719,381;717,381;707,381"
identical_balls_trick_000_018.mp4,1,0.016683,32,sports ball,0.165858,531.564,313.848,574.955,359.413,553.260,336.631,43.391,45.565,2,1671,553.191,336.853,1,"545,315;543,316;541,318;539,319;537,321;535,323;533,325;532,327;532,329;532,331;532,333;532,335;532,337;532,339;532,341;532,343;532,345;532,347;533,349;535,351;537,353;539,355;541,356;543,358;545,359;547,359;549,359;551,359;553,359;555,359;557,359;559,359;561,359;563,358;564,356;566,356;568,354;570,352;571,350;572,348;573,346;574,344;575,342;575,340;575,338;575,336;575,334;575,332;575,330;575,328;573,327;572,325;571,323;570,321;568,319;566,317;564,316;562,315;560,315;558,315;556,315;554,315;552,315;546,315"
identical_balls_trick_000_018.mp4,2,0.033367,32,sports ball,0.667959,605.301,418.632,652.570,463.726,628.935,441.179,47.269,45.093,0,1825,628.332,440.116,1,"618,418;616,420;614,422;612,424;610,424;608,426;608,428;606,430;605,432;605,434;605,436;605,438;605,440;605,442;605,444;605,446;605,448;605,450;607,452;608,454;610,456;612,458;614,459;616,461;618,461;620,462;622,462;624,462;626,462;628,462;630,462;632,462;634,462;636,462;638,461;640,461;642,460;644,458;646,457;647,455;649,453;650,452;651,450;652,448;652,446;652,444;652,442;652,440;652,438;652,436;652,434;651,432;650,430;649,428;647,426;646,424;644,422;642,421;640,419;638,418;636,418;634,418;632,418;619,418"
identical_balls_trick_000_018.mp4,2,0.033367,32,sports ball,0.608173,690.393,353.863,735.980,400.509,713.186,377.186,45.587,46.646,1,1778,712.909,377.132,1,"703,355;701,356;699,357;697,359;695,361;693,363;692,365;692,367;691,369;691,371;691,373;691,375;691,377;691,379;691,381;691,383;691,385;691,387;692,389;694,391;696,393;696,395;698,395;700,397;702,398;704,399;706,400;708,400;710,400;712,400;714,400;716,400;718,400;720,400;722,399;723,398;725,397;727,397;729,395;731,393;732,391;733,389;734,387;735,385;735,383;735,381;735,379;735,377;735,375;735,373;735,371;735,369;734,367;733,365;732,363;731,361;729,360;727,358;726,356;724,355;722,355;720,355;718,355;704,355"
identical_balls_trick_000_018.mp4,2,0.033367,32,sports ball,0.366600,530.915,336.181,574.610,382.326,552.763,359.253,43.696,46.145,2,1652,552.629,359.136,1,"542,338;540,339;538,341;536,343;534,345;533,347;532,349;532,351;532,353;532,355;532,357;532,359;532,361;532,363;532,365;532,367;532,369;532,371;533,373;535,375;537,376;539,378;541,379;543,380;545,380;547,381;549,381;551,381;553,381;555,381;557,381;559,381;561,381;563,380;565,378;567,377;569,375;570,373;571,371;572,369;573,367;574,366;574,364;574,362;574,360;574,358;574,356;574,354;574,352;574,350;572,348;571,346;570,344;569,342;567,340;565,338;563,338;561,338;559,338;557,338;555,338;553,338;551,338;543,338"
identical_balls_trick_000_018.mp4,3,0.050050,32,sports ball,0.423802,635.299,420.671,681.983,466.251,658.641,443.461,46.684,45.579,0,1764,658.567,442.815,1,"648,421;646,423;644,424;642,426;640,428;639,430;637,432;636,434;636,436;636,438;636,440;636,442;636,444;636,446;636,448;636,450;636,452;637,454;639,456;640,458;642,460;644,461;646,462;648,463;650,464;652,465;654,465;656,465;658,465;660,465;662,465;664,465;666,464;668,464;670,463;672,461;674,461;675,459;677,457;679,456;679,454;680,452;680,450;682,449;682,447;682,445;682,443;682,441;682,439;682,437;682,435;680,433;678,431;678,429;676,427;674,425;672,425;670,423;668,421;666,421;664,421;662,421;660,421;649,421"
identical_balls_trick_000_018.mp4,3,0.050050,32,sports ball,0.316478,530.574,361.304,574.573,406.208,552.573,383.756,43.999,44.905,1,1709,552.252,382.903,1,"543,361;541,363;539,364;537,366;535,368;533,368;533,370;531,372;531,374;531,376;531,378;531,380;531,382;531,384;531,386;531,388;531,390;531,392;531,394;532,396;534,398;536,400;538,402;540,403;542,404;544,405;546,405;548,405;550,405;552,405;554,405;556,405;558,405;560,405;562,404;564,403;566,401;568,400;570,398;571,396;572,394;573,392;574,391;574,389;574,387;574,385;574,383;574,381;574,379;574,377;574,375;572,373;571,371;571,369;570,367;568,365;566,363;564,361;562,361;560,361;558,361;556,361;554,361;544,361"
identical_balls_trick_000_018.mp4,4,0.066733,32,sports ball,0.174869,665.482,425.393,711.584,470.132,688.533,447.763,46.102,44.739,0,1727,688.560,446.987,1,"676,426;674,428;672,429;670,431;668,433;667,435;667,437;667,439;667,441;667,443;667,445;667,447;667,449;667,451;667,453;667,455;667,457;668,459;669,461;671,462;671,464;673,464;675,466;677,467;679,468;681,469;683,469;685,469;687,469;689,469;691,469;693,469;695,469;697,469;699,467;701,466;703,465;705,464;706,462;708,460;708,458;710,457;710,455;711,453;711,451;711,449;711,447;711,445;711,443;711,441;711,439;711,437;709,435;707,433;706,431;704,429;702,428;700,426;698,426;696,426;694,426;692,426;690,426;677,426"
identical_balls_trick_000_018.mp4,4,0.066733,32,sports ball,0.173085,530.481,386.137,574.507,432.181,552.494,409.159,44.026,46.043,1,1734,552.182,408.533,1,"543,386;541,388;539,389;537,390;535,392;534,394;532,396;531,398;531,400;531,402;531,404;531,406;531,408;531,410;531,412;531,414;531,416;531,418;532,420;533,422;535,424;537,426;539,428;541,429;543,430;545,431;547,432;549,432;551,432;553,432;555,432;557,432;559,432;561,430;563,429;565,428;567,426;569,424;570,422;571,420;573,418;574,416;574,414;574,412;574,410;574,408;574,406;574,404;574,402;574,400;572,398;571,396;570,394;569,393;567,391;565,389;564,387;563,386;561,386;559,386;557,386;555,386;553,386;544,386"
