frame,time_seconds,track_id,confidence,center_x,center_y,observed
3,0.050050,2,0.423802,642.018,442.363,1
3,0.050050,1,0.316478,552.707,370.275,1
4,0.066733,2,0.174869,669.881,445.370,1
4,0.066733,1,0.173085,552.559,393.414,1
5,0.083417,2,0.174869,684.483,446.675,0
5,0.083417,1,0.234933,552.302,421.833,1
6,0.100100,2,0.174869,699.084,447.980,0
6,0.100100,1,0.234933,552.149,439.334,0
7,0.116783,2,0.174869,713.686,449.285,0
7,0.116783,1,0.367508,551.937,477.037,1
8,0.133467,2,0.174869,728.287,450.591,0
8,0.133467,1,0.392281,551.344,514.798,1
9,0.150150,1,0.487755,550.461,546.746,1
10,0.166833,1,0.310782,549.634,574.236,1
11,0.183517,1,0.542597,549.269,597.694,1
11,0.183517,3,0.377585,710.171,219.466,1
11,0.183517,4,0.367093,824.157,496.583,1
12,0.200200,1,0.605218,550.040,618.476,1
12,0.200200,3,0.516596,709.994,206.087,1
12,0.200200,4,0.682039,843.162,507.018,1
13,0.216883,1,0.358755,551.700,635.322,1
13,0.216883,3,0.565671,709.890,195.682,1
13,0.216883,4,0.712757,859.469,518.102,1
14,0.233567,1,0.350017,553.470,647.180,1
14,0.233567,3,0.564068,709.630,188.040,1
14,0.233567,4,0.495818,869.422,528.307,1
15,0.250250,1,0.404544,554.929,653.113,1
15,0.250250,3,0.597595,709.250,182.815,1
15,0.250250,4,0.746927,876.376,535.973,1
16,0.266933,1,0.167349,556.532,653.342,1
16,0.266933,3,0.367813,708.781,180.173,1
16,0.266933,4,0.545438,879.843,539.375,1
17,0.283617,1,0.243756,559.101,647.455,1
17,0.283617,3,0.416879,708.297,179.674,1
17,0.283617,4,0.557488,880.007,538.685,1
18,0.300300,1,0.243756,560.583,654.795,0
18,0.300300,3,0.422731,707.904,181.233,1
18,0.300300,4,0.274658,876.473,533.934,1
19,0.316983,1,0.243756,562.064,662.136,0
19,0.316983,3,0.383042,707.195,184.927,1
19,0.316983,4,0.645809,869.475,526.603,1
20,0.333667,1,0.243756,563.546,669.476,0
20,0.333667,3,0.332878,706.544,190.702,1
20,0.333667,4,0.527379,858.464,516.656,1
21,0.350350,1,0.243756,565.027,676.817,0
21,0.350350,3,0.646414,705.663,198.686,1
21,0.350350,4,0.815502,842.465,503.928,1
21,0.350350,5,0.786701,566.227,564.569,1
22,0.367033,1,0.243756,566.508,684.157,0
22,0.367033,3,0.398722,705.031,208.329,1
22,0.367033,4,0.652632,821.374,490.843,1
22,0.367033,5,0.353248,565.912,538.482,1
23,0.383717,3,0.398722,704.418,212.523,0
23,0.383717,4,0.652632,811.551,483.412,0
23,0.383717,5,0.353248,565.797,525.443,0
24,0.400400,3,0.398722,703.805,216.716,0
24,0.400400,4,0.652632,801.728,475.982,0
24,0.400400,5,0.233889,563.605,486.407,1
25,0.417083,3,0.398722,703.193,220.910,0
25,0.417083,4,0.652632,791.906,468.551,0
25,0.417083,5,0.215930,561.692,449.422,1
26,0.433767,3,0.238493,702.201,247.044,1
26,0.433767,4,0.652632,782.083,461.120,0
26,0.433767,5,0.401178,559.819,416.005,1
27,0.450450,3,0.238493,701.488,257.061,0
27,0.450450,4,0.652632,772.260,453.689,0
27,0.450450,5,0.466888,558.191,386.133,1
28,0.467133,3,0.238493,700.774,267.079,0
28,0.467133,5,0.171008,556.363,359.449,1
28,0.467133,6,0.242007,641.473,432.461,1
29,0.483817,3,0.238493,700.061,277.096,0
29,0.483817,5,0.171008,554.824,331.170,0
29,0.483817,6,0.462185,612.675,429.058,1
30,0.500500,5,0.171008,553.285,302.891,0
30,0.500500,6,0.462185,597.622,427.090,0
31,0.517183,5,0.171008,551.747,274.612,0
31,0.517183,6,0.410164,556.613,426.114,1
32,0.533867,5,0.323144,550.335,265.058,1
32,0.533867,6,0.602299,517.876,426.588,1
33,0.550550,5,0.323144,548.830,241.728,0
33,0.550550,6,0.285586,487.349,427.228,1
34,0.567233,5,0.324232,547.162,237.513,1
34,0.567233,6,0.605055,461.606,428.452,1
35,0.583917,5,0.507854,545.407,233.018,1
35,0.583917,6,0.425844,439.657,430.931,1
36,0.600600,5,0.561544,543.564,228.444,1
36,0.600600,6,0.765362,420.523,434.897,1
37,0.617283,5,0.705689,541.523,224.235,1
37,0.617283,6,0.501405,403.546,441.180,1
38,0.633967,5,0.647198,539.871,220.565,1
38,0.633967,6,0.438271,389.841,448.772,1
38,0.633967,7,0.245490,700.755,549.388,1
39,0.650650,5,0.729371,538.265,217.794,1
39,0.650650,6,0.536532,379.638,457.462,1
39,0.650650,7,0.172616,704.906,566.757,1
40,0.667333,5,0.641279,536.819,216.405,1
40,0.667333,6,0.617943,372.777,465.850,1
40,0.667333,7,0.172616,706.877,576.125,0
41,0.684017,5,0.783769,535.219,216.386,1
41,0.684017,6,0.761419,369.258,473.169,1
41,0.684017,7,0.484728,714.441,593.458,1
42,0.700700,5,0.718021,533.816,218.053,1
42,0.700700,6,0.684927,369.574,477.999,1
42,0.700700,7,0.154155,721.576,604.348,1
43,0.717383,5,0.734895,532.241,221.416,1
43,0.717383,6,0.653944,374.379,479.851,1
43,0.717383,7,0.451637,727.589,608.800,1
44,0.734067,5,0.679190,530.809,226.547,1
44,0.734067,6,0.711574,384.268,478.217,1
44,0.734067,7,0.281426,732.325,606.061,1
45,0.750750,5,0.592937,529.359,233.452,1
45,0.750750,6,0.223803,398.294,473.167,1
45,0.750750,7,0.246790,735.762,596.876,1
46,0.767433,5,0.397046,528.015,242.453,1
46,0.767433,6,0.645670,416.735,465.448,1
46,0.767433,7,0.163166,737.832,581.625,1
47,0.784117,5,0.344348,526.416,253.279,1
47,0.784117,6,0.320098,439.036,455.864,1
