source_tracklet,candidate_tracklet,gap_frames,predicted_x,predicted_y,candidate_start_x,candidate_start_y,prediction_error,source_end_frame,candidate_start_frame,end_velocity_x,end_velocity_y,candidate_rank
1,6,5,575.394000,728.197000,641.473000,432.461000,303.028408,22,28,1.481000,7.340000,1
2,4,2,772.090000,454.509000,824.157000,496.583000,66.941721,8,11,14.601000,1.306000,1
2,3,2,772.090000,454.509000,710.171000,219.466000,243.062079,8,11,14.601000,1.306000,2
3,7,8,693.644000,367.249000,700.755000,549.388000,182.277760,29,38,-0.713000,10.017000,1
4,6,0,762.437000,446.258000,641.473000,432.461000,121.748292,27,28,-9.823000,-7.431000,1
4,7,10,664.207000,371.948000,700.755000,549.388000,181.164869,27,38,-9.823000,-7.431000,2
5,11,1,508.022000,496.459000,514.163000,557.972000,61.818776,59,61,-1.310000,17.744000,1
5,10,1,508.022000,496.459000,711.504000,274.097000,301.412978,59,61,-1.310000,17.744000,2
5,12,2,506.712000,514.203000,836.905000,488.426000,331.197631,59,62,-1.310000,17.744000,3
6,10,7,666.063000,377.562000,711.504000,274.097000,113.003941,53,61,15.373000,-5.250000,1
6,9,0,558.452000,414.312000,724.007000,375.924000,169.947335,53,54,15.373000,-5.250000,2
6,12,8,681.436000,372.312000,836.905000,488.426000,194.043992,53,62,15.373000,-5.250000,3
6,11,7,666.063000,377.562000,514.163000,557.972000,235.841850,53,61,15.373000,-5.250000,4
7,12,10,801.157000,542.182000,836.905000,488.426000,64.557161,51,62,3.958000,-2.465000,1
7,9,2,769.493000,561.902000,724.007000,375.924000,191.459637,51,54,3.958000,-2.465000,2
7,8,0,761.577000,566.832000,593.087000,422.147000,222.086986,51,52,3.958000,-2.465000,3
7,11,9,797.199000,544.647000,514.163000,557.972000,283.349489,51,61,3.958000,-2.465000,4
7,10,9,797.199000,544.647000,711.504000,274.097000,283.797349,51,61,3.958000,-2.465000,5
8,12,2,831.177000,422.216000,836.905000,488.426000,66.457310,59,62,21.788000,-0.043000,1
8,10,1,809.389000,422.259000,711.504000,274.097000,177.576607,59,61,21.788000,-0.043000,2
8,11,1,809.389000,422.259000,514.163000,557.972000,324.925237,59,61,21.788000,-0.043000,3
9,10,3,719.945000,339.554000,711.504000,274.097000,65.999010,57,61,-0.580000,-5.196000,1
9,12,4,719.365000,334.358000,836.905000,488.426000,193.784933,57,62,-0.580000,-5.196000,2
9,11,3,719.945000,339.554000,514.163000,557.972000,300.087744,57,61,-0.580000,-5.196000,3
10,17,2,740.699000,356.879000,733.950000,308.803000,48.547408,103,106,2.143000,-19.269000,1
10,16,0,736.413000,395.417000,631.770000,423.227000,108.275360,103,104,2.143000,-19.269000,2
11,15,3,638.101000,345.476000,552.459000,251.150000,127.404656,82,86,5.390000,-13.578000,1
11,14,2,632.711000,359.054000,475.112000,464.271000,189.494227,82,85,5.390000,-13.578000,2
12,15,8,686.575000,399.652000,552.459000,251.150000,200.099839,77,86,-9.801000,-6.519000,1
12,13,0,764.983000,451.804000,561.169000,386.071000,214.151754,77,78,-9.801000,-6.519000,2
12,14,7,696.376000,406.171000,475.112000,464.271000,228.764874,77,85,-9.801000,-6.519000,3
