video,frame,time_seconds,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
identical_balls_trick_000_018.mp4,0,0.000000,32,sports ball,0.751708,693.574,408.754,739.571,454.541,716.572,431.647,45.997,45.787
identical_balls_trick_000_018.mp4,0,0.000000,32,sports ball,0.695311,532.024,294.006,575.860,339.786,553.942,316.896,43.836,45.780
identical_balls_trick_000_018.mp4,0,0.000000,32,sports ball,0.530850,544.541,418.895,592.251,464.823,568.396,441.859,47.710,45.929
identical_balls_trick_000_018.mp4,1,0.016683,32,sports ball,0.802266,531.476,313.588,575.284,359.882,553.380,336.735,43.808,46.294
identical_balls_trick_000_018.mp4,1,0.016683,32,sports ball,0.756997,574.901,417.926,622.386,463.293,598.644,440.609,47.485,45.366
identical_balls_trick_000_018.mp4,1,0.016683,32,sports ball,0.505010,692.364,380.862,737.230,426.546,714.797,403.704,44.867,45.684
identical_balls_trick_000_018.mp4,2,0.033367,32,sports ball,0.840491,530.812,336.344,575.103,382.732,552.958,359.538,44.292,46.388
identical_balls_trick_000_018.mp4,2,0.033367,32,sports ball,0.807831,690.754,354.076,736.353,400.695,713.553,377.386,45.599,46.619
identical_balls_trick_000_018.mp4,2,0.033367,32,sports ball,0.704120,605.389,418.327,652.102,463.779,628.745,441.053,46.713,45.452
identical_balls_trick_000_018.mp4,3,0.050050,32,sports ball,0.889431,530.883,360.157,575.457,406.128,553.170,383.143,44.574,45.971
identical_balls_trick_000_018.mp4,3,0.050050,32,sports ball,0.798499,636.108,420.681,682.327,465.895,659.218,443.288,46.218,45.214
identical_balls_trick_000_018.mp4,3,0.050050,32,sports ball,0.763873,689.627,329.272,735.783,375.965,712.705,352.618,46.156,46.692
identical_balls_trick_000_018.mp4,4,0.066733,32,sports ball,0.828536,530.620,385.594,574.721,432.477,552.671,409.035,44.101,46.883
identical_balls_trick_000_018.mp4,4,0.066733,32,sports ball,0.823789,689.024,306.415,734.827,352.452,711.925,329.434,45.804,46.037
identical_balls_trick_000_018.mp4,4,0.066733,32,sports ball,0.739125,665.974,425.002,711.824,470.140,688.899,447.571,45.850,45.137
identical_balls_trick_000_018.mp4,5,0.083417,32,sports ball,0.663015,688.693,285.273,733.923,330.736,711.308,308.005,45.231,45.464
identical_balls_trick_000_018.mp4,5,0.083417,32,sports ball,0.444986,696.679,432.054,741.625,475.484,719.152,453.769,44.946,43.430
