frame,time_seconds,track_id,confidence,center_x,center_y,observed
2,0.033367,2,0.807831,714.295,392.202,1
2,0.033367,1,0.840491,553.206,347.104,1
2,0.033367,3,0.704120,611.957,440.962,1
3,0.050050,2,0.763873,713.293,368.323,1
3,0.050050,1,0.889431,553.131,368.505,1
3,0.050050,3,0.798499,640.230,442.153,1
4,0.066733,2,0.823789,712.297,341.873,1
4,0.066733,1,0.828536,552.841,394.997,1
4,0.066733,3,0.739125,672.790,445.179,1
5,0.083417,2,0.663015,711.437,316.059,1
5,0.083417,1,0.288206,552.586,424.365,1
5,0.083417,3,0.444986,706.677,450.203,1
6,0.100100,2,0.218269,710.986,292.073,1
6,0.100100,1,0.527657,552.310,454.916,1
6,0.100100,3,0.540189,739.649,456.607,1
7,0.116783,2,0.530399,710.763,270.312,1
7,0.116783,1,0.552461,552.132,486.475,1
7,0.116783,3,0.406961,766.029,464.655,1
8,0.133467,2,0.619079,710.634,250.876,1
8,0.133467,1,0.260341,551.467,519.912,1
8,0.133467,3,0.230590,787.537,473.502,1
9,0.150150,2,0.638156,710.630,233.944,1
9,0.150150,1,0.272049,550.442,549.043,1
9,0.150150,3,0.298493,806.403,482.184,1
10,0.166833,2,0.541656,710.398,219.557,1
10,0.166833,1,0.378118,549.569,575.084,1
10,0.166833,3,0.298493,830.146,488.801,0
11,0.183517,2,0.434442,710.072,207.640,1
11,0.183517,1,0.490112,549.298,597.855,1
11,0.183517,3,0.298493,853.889,495.418,0
12,0.200200,2,0.494875,709.951,197.843,1
12,0.200200,1,0.283158,549.813,617.818,1
12,0.200200,3,0.298493,877.631,502.035,0
13,0.216883,2,0.651721,709.876,190.148,1
13,0.216883,1,0.243383,551.696,634.377,1
13,0.216883,3,0.347883,883.678,514.051,1
14,0.233567,2,0.640963,709.684,184.576,1
14,0.233567,1,0.355020,553.674,646.009,1
14,0.233567,3,0.843046,885.861,525.629,1
15,0.250250,2,0.620189,709.198,180.936,1
15,0.250250,1,0.579223,555.161,652.360,1
15,0.250250,3,0.746111,886.390,534.585,1
16,0.266933,2,0.528771,708.661,179.340,1
16,0.266933,1,0.423856,556.995,652.334,1
16,0.266933,3,0.559074,885.284,539.296,1
17,0.283617,2,0.514814,708.233,179.580,1
17,0.283617,1,0.449345,559.257,646.663,1
17,0.283617,3,0.807034,882.178,539.181,1
18,0.300300,2,0.461667,707.819,181.800,1
18,0.300300,1,0.209632,562.224,635.921,1
18,0.300300,3,0.254909,876.256,535.412,1
19,0.316983,2,0.580647,707.116,185.724,1
19,0.316983,1,0.308249,564.824,620.191,1
19,0.316983,3,0.441703,868.284,527.855,1
20,0.333667,2,0.656801,706.472,191.626,1
20,0.333667,1,0.398278,566.562,599.245,1
20,0.333667,3,0.581095,856.883,517.517,1
21,0.350350,2,0.389458,705.477,199.568,1
21,0.350350,1,0.525472,567.250,573.597,1
21,0.350350,3,0.861035,841.035,505.389,1
22,0.367033,2,0.336455,704.580,208.976,1
22,0.367033,1,0.321688,567.225,543.939,1
22,0.367033,3,0.455642,819.864,492.151,1
23,0.383717,2,0.289781,703.567,220.542,1
23,0.383717,1,0.321688,568.419,527.114,0
23,0.383717,3,0.342436,794.169,478.140,1
24,0.400400,2,0.663659,702.829,233.834,1
24,0.400400,1,0.222564,566.028,488.851,1
24,0.400400,3,0.233534,764.809,463.999,1
25,0.417083,2,0.405172,702.243,249.066,1
25,0.417083,1,0.471043,563.774,452.258,1
25,0.417083,3,0.356179,732.760,451.059,1
26,0.433767,2,0.405172,701.517,259.092,0
26,0.433767,1,0.757287,561.585,418.352,1
26,0.433767,3,0.776714,699.537,440.083,1
27,0.450450,2,0.690977,700.756,279.909,1
27,0.450450,1,0.900248,559.499,387.568,1
27,0.450450,3,0.918769,666.161,431.294,1
28,0.467133,2,0.784743,699.813,302.279,1
28,0.467133,1,0.814002,557.126,360.104,1
28,0.467133,3,0.835939,632.582,424.818,1
29,0.483817,2,0.740471,698.784,325.953,1
29,0.483817,1,0.829920,555.003,336.043,1
29,0.483817,3,0.812872,599.459,420.635,1
30,0.500500,2,0.712934,697.867,350.748,1
30,0.500500,1,0.453636,553.530,314.738,1
30,0.500500,3,0.732597,566.442,418.762,1
31,0.517183,2,0.360445,696.982,376.834,1
31,0.517183,1,0.737427,551.867,295.681,1
31,0.517183,3,0.492098,534.026,418.849,1
32,0.533867,2,0.360445,696.107,398.089,0
32,0.533867,1,0.687006,550.408,278.816,1
32,0.533867,3,0.491627,503.360,420.393,1
33,0.550550,2,0.157195,695.306,429.355,1
33,0.550550,1,0.584452,548.745,264.126,1
33,0.550550,3,0.341253,478.480,422.786,1
34,0.567233,2,0.157195,694.451,453.267,0
34,0.567233,1,0.590916,546.802,251.594,1
34,0.567233,3,0.152096,456.535,425.186,1
35,0.583917,2,0.157195,693.596,477.179,0
35,0.583917,1,0.390992,545.009,240.809,1
35,0.583917,3,0.283974,437.120,428.699,1
36,0.600600,2,0.157195,692.741,501.090,0
36,0.600600,1,0.467303,543.505,231.877,1
36,0.600600,3,0.297872,419.230,433.478,1
37,0.617283,2,0.159769,695.212,532.077,1
37,0.617283,1,0.713666,541.899,224.982,1
37,0.617283,3,0.656407,403.586,440.152,1
38,0.633967,2,0.159769,695.239,557.866,0
38,0.633967,1,0.639538,540.087,219.761,1
38,0.633967,3,0.647351,390.826,448.303,1
39,0.650650,2,0.456235,700.927,581.250,1
39,0.650650,1,0.715079,538.428,216.181,1
39,0.650650,3,0.789114,380.906,457.127,1
40,0.667333,2,0.167464,707.305,599.832,1
40,0.667333,1,0.792428,536.829,214.527,1
40,0.667333,3,0.674691,374.076,465.919,1
41,0.684017,2,0.393965,714.267,613.051,1
41,0.684017,1,0.743176,535.227,214.561,1
41,0.684017,3,0.801952,370.444,473.095,1
42,0.700700,2,0.254265,720.993,620.277,1
42,0.700700,1,0.719526,533.791,216.528,1
42,0.700700,3,0.728321,370.772,478.056,1
43,0.717383,2,0.412454,727.025,621.434,1
43,0.717383,1,0.747442,532.294,220.272,1
43,0.717383,3,0.715025,376.345,479.918,1
44,0.734067,2,0.371043,731.899,615.893,1
44,0.734067,1,0.710895,530.794,225.752,1
44,0.734067,3,0.778502,385.867,478.299,1
45,0.750750,2,0.419559,735.572,603.835,1
45,0.750750,1,0.604446,529.295,232.923,1
45,0.750750,3,0.716823,399.444,473.202,1
46,0.767433,2,0.473144,737.814,586.235,1
46,0.767433,1,0.581299,527.942,241.924,1
46,0.767433,3,0.704076,417.447,465.313,1
47,0.784117,2,0.473144,741.816,583.530,0
47,0.784117,1,0.435123,526.527,252.942,1
47,0.784117,3,0.373599,439.350,455.878,1
48,0.800800,2,0.473144,745.817,580.824,0
48,0.800800,1,0.607922,525.218,265.860,1
48,0.800800,3,0.505073,466.577,445.677,1
49,0.817483,2,0.473144,749.819,578.119,0
49,0.817483,1,0.331448,523.638,280.546,1
49,0.817483,3,0.546547,497.683,435.721,1
50,0.834167,2,0.473144,753.821,575.413,0
50,0.834167,1,0.779141,522.308,296.663,1
50,0.834167,3,0.244341,530.870,427.647,1
50,0.834167,4,0.426377,733.049,473.503,1
51,0.850850,2,0.473144,757.822,572.708,0
51,0.850850,1,0.736207,521.001,315.316,1
51,0.850850,3,0.769415,565.012,421.586,1
51,0.850850,4,0.679933,731.012,448.014,1
52,0.867533,1,0.856944,519.814,335.717,1
52,0.867533,3,0.821248,599.772,417.656,1
52,0.867533,4,0.712913,728.535,420.136,1
53,0.884217,1,0.540875,518.696,357.587,1
53,0.884217,3,0.610165,634.250,416.301,1
53,0.884217,4,0.525218,725.917,393.232,1
54,0.900900,1,0.745585,517.508,380.935,1
54,0.900900,3,0.631458,668.672,417.047,1
54,0.900900,4,0.544749,723.385,368.295,1
55,0.917583,1,0.678660,516.390,406.120,1
55,0.917583,3,0.628685,702.128,419.956,1
55,0.917583,4,0.762611,721.311,345.741,1
56,0.934267,1,0.744054,515.363,432.785,1
56,0.934267,3,0.338043,735.141,425.039,1
56,0.934267,4,0.767717,719.277,325.612,1
57,0.950950,1,0.320424,514.061,461.297,1
57,0.950950,3,0.338043,767.239,425.184,0
57,0.950950,4,0.222663,717.498,307.805,1
58,0.967633,1,0.358883,512.992,491.751,1
58,0.967633,3,0.338043,799.337,425.328,0
58,0.967633,4,0.363040,715.598,292.291,1
59,0.984317,1,0.358883,511.824,517.290,0
59,0.984317,3,0.338043,831.435,425.472,0
59,0.984317,4,0.635569,713.610,279.535,1
60,1.001000,1,0.358883,510.656,542.828,0
60,1.001000,3,0.338043,863.533,425.617,0
60,1.001000,4,0.609006,711.998,268.978,1
61,1.017683,1,0.358883,509.488,568.367,0
61,1.017683,3,0.338043,895.632,425.761,0
61,1.017683,4,0.619352,710.438,260.628,1
62,1.034367,1,0.358883,508.319,593.906,0
