source_tracklet,candidate_tracklet,gap_frames,predicted_x,predicted_y,candidate_start_x,candidate_start_y,prediction_error,source_end_frame,candidate_start_frame,end_velocity_x,end_velocity_y,candidate_rank
1,9,4,491.460000,716.433000,476.732000,576.101000,141.102743,165,170,-1.683000,26.939000,1
3,5,2,991.929000,426.193000,863.353000,512.046000,154.604416,61,64,32.099000,0.144000,1
4,12,6,568.853000,287.455000,592.696000,145.702000,143.744223,212,219,-3.390000,-19.846000,1
5,6,0,486.546000,460.469000,603.932000,426.486000,122.206044,102,103,8.099000,-3.067000,1
8,12,6,744.182000,457.144000,592.696000,145.702000,346.329507,212,219,0.632000,-7.479000,1
9,10,3,472.452000,-39.045000,474.119000,99.726000,138.781012,198,202,1.234000,-13.136000,1
11,12,1,596.902000,211.930000,592.696000,145.702000,66.361423,217,219,-0.719000,-16.706000,1
13,15,3,591.759000,720.933000,593.137000,641.910000,79.035014,259,263,0.120000,9.141000,1
16,20,3,718.292000,535.801000,708.361000,525.616000,14.225294,481,485,2.130000,4.775000,1
17,20,5,698.403000,613.603000,708.361000,525.616000,88.548709,479,485,-0.891000,2.916000,1
18,26,5,487.550000,566.739000,487.008000,515.853000,50.888886,585,591,-0.129000,10.072000,1
20,23,5,725.315000,490.286000,716.860000,480.919000,12.618546,527,533,-0.082000,-2.707000,1
22,25,5,609.332000,379.838000,614.781000,400.385000,21.257253,539,545,-0.753000,-10.618000,1
22,24,5,609.332000,379.838000,695.748000,423.375000,96.763606,539,545,-0.753000,-10.618000,2
23,24,6,711.183000,455.174000,695.748000,423.375000,35.347074,538,545,-0.455000,-2.055000,1
23,25,6,711.183000,455.174000,614.781000,400.385000,110.883633,538,545,-0.455000,-2.055000,2
24,27,1,620.626000,331.700000,448.549000,546.365000,275.120985,611,613,-0.356000,-0.721000,1
25,30,3,553.890000,258.025000,553.165000,269.564000,11.561754,681,685,-0.349000,6.419000,1
25,31,9,551.796000,296.539000,57.889000,674.792000,622.108878,681,691,-0.349000,6.419000,2
26,27,9,448.343000,560.261000,448.549000,546.365000,13.897527,603,613,-1.724000,1.980000,1
28,32,7,568.157000,624.477000,569.224000,641.376000,16.932652,721,729,-1.263000,2.026000,1
30,34,3,613.449000,458.909000,598.887000,438.810000,24.819783,771,775,-0.936000,-5.250000,1
33,34,3,613.641000,475.372000,598.887000,438.810000,39.426645,771,775,-0.904000,-3.794000,1
34,36,10,489.682000,261.879000,588.052000,340.116000,125.688842,786,797,-4.806000,-7.548000,1
35,39,7,566.994000,894.672000,467.581000,557.584000,351.441694,844,852,4.210000,34.270000,1
37,39,7,591.103000,224.606000,467.581000,557.584000,355.150719,844,852,-3.952000,-10.930000,1
38,42,1,692.725000,788.175000,679.282000,545.134000,243.412493,883,885,6.847000,29.659000,1
38,43,6,726.960000,936.470000,587.221000,414.134000,540.704989,883,890,6.847000,29.659000,2
39,44,2,453.606000,76.475000,453.247000,188.604000,112.129575,941,944,4.338000,-2.343000,1
40,41,3,664.334000,801.386000,633.929000,685.372000,119.932115,876,880,-0.499000,23.247000,1
40,42,8,661.839000,917.621000,679.282000,545.134000,372.895191,876,885,-0.499000,23.247000,2
42,47,7,821.677000,500.293000,621.654000,496.161000,200.065674,969,977,6.016000,-0.453000,1
42,46,0,779.565000,503.464000,561.330000,668.728000,273.749347,969,970,6.016000,-0.453000,2
43,45,1,743.546000,675.294000,723.572000,456.815000,219.390141,954,956,1.101000,3.361000,1
44,46,0,576.552000,812.300000,561.330000,668.728000,144.376689,969,970,4.880000,13.203000,1
44,47,7,610.712000,904.721000,621.654000,496.161000,408.706497,969,977,4.880000,13.203000,2
45,49,3,651.913000,170.009000,654.009000,298.753000,128.761061,1025,1029,-1.938000,-6.900000,1
45,50,3,651.913000,170.009000,704.737000,473.716000,308.266633,1025,1029,-1.938000,-6.900000,2
46,48,2,504.213000,858.733000,525.543000,633.027000,226.711639,1022,1025,-0.376000,28.289000,1
46,50,6,502.709000,971.889000,704.737000,473.716000,537.579437,1022,1029,-0.376000,28.289000,2
46,49,6,502.709000,971.889000,654.009000,298.753000,689.930261,1022,1029,-0.376000,28.289000,3
47,48,8,930.335000,370.874000,525.543000,633.027000,482.266274,1016,1025,17.443000,-7.111000,1
51,53,3,1034.942000,446.372000,878.186000,510.477000,169.357299,1065,1069,31.710000,-0.825000,1
