frame,time_seconds,track_id,confidence,center_x,center_y,observed
2,0.033367,1,0.243781,553.083,346.663,1
2,0.033367,2,0.433725,612.136,441.110,1
3,0.050050,1,0.467954,552.699,368.332,1
3,0.050050,2,0.303718,640.075,442.307,1
4,0.066733,1,0.178689,552.472,395.043,1
4,0.066733,2,0.303718,654.782,442.694,0
5,0.083417,1,0.189342,552.228,424.318,1
5,0.083417,2,0.303718,669.490,443.082,0
6,0.100100,1,0.401331,551.953,455.168,1
6,0.100100,2,0.303718,684.197,443.469,0
6,0.100100,3,0.319709,711.234,303.373,1
7,0.116783,1,0.435688,551.842,486.874,1
7,0.116783,2,0.303718,698.905,443.856,0
7,0.116783,3,0.540852,710.940,278.340,1
8,0.133467,1,0.435688,551.640,512.514,0
8,0.133467,3,0.374482,710.771,256.366,1
9,0.150150,1,0.435688,551.439,538.154,0
9,0.150150,3,0.417347,710.621,237.635,1
10,0.166833,1,0.312164,550.194,567.724,1
10,0.166833,3,0.597475,710.482,221.918,1
11,0.183517,1,0.566768,549.510,593.999,1
11,0.183517,3,0.509165,710.211,208.906,1
12,0.200200,1,0.313866,550.161,616.056,1
12,0.200200,3,0.406248,710.046,198.408,1
12,0.200200,4,0.154248,842.060,506.970,1
13,0.216883,1,0.313866,549.940,641.442,0
13,0.216883,3,0.279758,709.919,190.194,1
13,0.216883,4,0.154248,846.036,509.372,0
14,0.233567,1,0.313866,549.719,666.827,0
14,0.233567,3,0.418743,709.743,184.226,1
14,0.233567,4,0.154248,850.012,511.773,0
15,0.250250,1,0.313866,549.499,692.212,0
15,0.250250,3,0.248773,709.340,180.367,1
15,0.250250,4,0.154248,853.989,514.175,0
16,0.266933,1,0.313866,549.278,717.597,0
16,0.266933,3,0.291230,708.825,178.699,1
17,0.283617,1,0.313866,549.057,742.982,0
17,0.283617,3,0.319502,708.333,178.884,1
17,0.283617,5,0.344003,559.376,628.939,1
18,0.300300,3,0.383031,707.868,181.025,1
18,0.300300,5,0.197281,562.185,619.967,1
19,0.316983,3,0.436216,707.152,185.129,1
19,0.316983,5,0.186350,564.729,606.203,1
20,0.333667,3,0.595228,706.480,191.043,1
20,0.333667,5,0.186350,566.506,598.873,0
21,0.350350,3,0.366356,705.589,199.024,1
21,0.350350,5,0.311498,567.161,570.928,1
21,0.350350,6,0.175542,836.783,501.772,1
22,0.367033,3,0.351864,704.796,208.791,1
22,0.367033,5,0.311498,568.592,557.233,0
22,0.367033,6,0.213135,814.880,488.141,1
23,0.383717,3,0.340533,703.860,220.383,1
23,0.383717,5,0.311498,570.023,543.537,0
23,0.383717,6,0.213135,802.268,479.145,0
24,0.400400,3,0.422428,702.978,233.664,1
24,0.400400,5,0.311498,571.453,529.842,0
24,0.400400,6,0.213135,789.657,470.148,0
25,0.417083,3,0.628555,702.212,248.740,1
25,0.417083,5,0.311498,572.884,516.146,0
25,0.417083,6,0.213135,777.045,461.151,0
26,0.433767,3,0.394964,701.512,265.746,1
26,0.433767,5,0.311498,574.315,502.451,0
26,0.433767,6,0.213135,764.434,452.155,0
27,0.450450,3,0.290104,700.590,284.461,1
27,0.450450,7,0.196643,558.570,398.264,1
28,0.467133,3,0.167178,699.436,305.162,1
28,0.467133,7,0.196643,558.191,392.022,0
28,0.467133,8,0.151011,641.773,432.440,1
29,0.483817,3,0.156744,698.294,327.558,1
29,0.483817,7,0.196643,557.812,385.781,0
29,0.483817,8,0.157906,613.004,429.096,1
30,0.500500,3,0.156744,697.335,344.923,0
30,0.500500,7,0.196643,557.433,379.539,0
30,0.500500,8,0.201800,579.536,426.761,1
31,0.517183,3,0.163298,696.544,372.506,1
31,0.517183,8,0.416125,545.363,425.952,1
32,0.533867,3,0.163298,695.630,392.582,0
32,0.533867,8,0.219611,511.977,426.553,1
