source_tracklet,candidate_tracklet,gap_frames,predicted_x,predicted_y,candidate_start_x,candidate_start_y,prediction_error,source_end_frame,candidate_start_frame,end_velocity_x,end_velocity_y,candidate_rank
1,6,3,548.173000,844.522000,836.783000,501.772000,448.077331,17,21,-0.221000,25.385000,1
1,8,10,546.626000,1022.217000,641.773000,432.440000,597.402596,17,28,-0.221000,25.385000,2
1,7,9,546.847000,996.832000,558.570000,398.264000,598.682787,17,27,-0.221000,25.385000,3
2,4,4,772.445000,445.791000,842.060000,506.970000,92.677496,7,12,14.708000,0.387000,1
2,5,9,845.985000,447.726000,559.376000,628.939000,339.091242,7,17,14.708000,0.387000,2
3,16,1,738.308000,440.770000,730.621000,349.819000,91.275267,102,104,2.329000,-14.648000,1
4,6,5,877.851000,528.587000,836.783000,501.772000,49.047170,15,21,3.977000,2.402000,1
4,5,1,861.943000,518.979000,559.376000,628.939000,321.928550,15,17,3.977000,2.402000,2
5,8,1,577.177000,475.061000,641.773000,432.440000,77.389876,26,28,1.431000,-13.695000,1
5,7,0,575.746000,488.756000,558.570000,398.264000,92.107638,26,27,1.431000,-13.695000,2
5,9,6,584.332000,406.586000,549.532000,281.314000,130.015822,26,33,1.431000,-13.695000,3
6,8,1,739.212000,434.163000,641.773000,432.440000,97.454233,26,28,-12.611000,-8.996000,1
6,9,6,676.157000,389.183000,549.532000,281.314000,166.341852,26,33,-12.611000,-8.996000,2
6,7,0,751.823000,443.159000,558.570000,398.264000,198.399302,26,27,-12.611000,-8.996000,3
7,9,2,556.296000,360.813000,549.532000,281.314000,79.786231,30,33,-0.379000,-6.242000,1
8,10,0,462.725000,459.762000,593.134000,422.117000,135.733759,51,52,7.470000,-1.091000,1
9,11,3,505.231000,631.733000,530.885000,625.105000,26.496379,61,65,-1.136000,22.116000,1
10,11,5,896.890000,421.847000,530.885000,625.105000,418.656750,59,65,21.814000,-0.059000,1
11,14,2,627.485000,372.992000,493.689000,463.112000,161.316410,81,84,4.900000,-15.481000,1
12,14,3,616.340000,449.629000,493.689000,463.112000,123.389866,80,84,-7.687000,-0.603000,1
13,18,2,628.614000,515.301000,642.307000,430.166000,86.229151,127,130,5.732000,-7.447000,1
13,17,1,622.882000,522.748000,571.873000,367.102000,163.791317,127,129,5.732000,-7.447000,2
14,16,1,492.643000,458.563000,730.621000,349.819000,261.646299,102,104,7.945000,-2.979000,1
18,19,1,630.642000,515.779000,584.184000,330.991000,190.538581,154,156,6.746000,-6.488000,1
19,20,6,584.695000,259.272000,585.880000,136.251000,123.026707,159,166,0.051000,-7.172000,1
20,22,2,594.833000,317.070000,653.931000,566.291000,256.132154,186,189,0.426000,14.515000,1
21,25,6,519.652000,839.829000,603.313000,388.213000,459.299656,221,228,1.844000,33.652000,1
21,24,0,508.588000,637.917000,587.645000,85.914000,557.635473,221,222,1.844000,33.652000,2
22,24,9,557.130000,209.354000,587.645000,85.914000,127.155805,212,222,-3.530000,-21.219000,1
23,24,8,722.836000,401.921000,587.645000,85.914000,343.710679,213,222,-0.538000,-9.254000,1
24,28,9,534.935000,443.579000,649.135000,535.717000,146.734628,248,258,-1.412000,18.156000,1
24,27,5,540.583000,370.955000,591.406000,624.109000,258.205199,248,254,-1.412000,18.156000,2
25,26,10,594.799000,301.620000,475.887000,95.101000,238.306863,237,248,-0.444000,-4.210000,1
27,31,5,641.416000,8.816000,596.479000,593.769000,586.676526,375,381,0.253000,-0.957000,1
28,29,3,729.464000,421.633000,716.578000,417.874000,13.423080,297,301,-0.739000,-5.542000,1
28,30,9,725.030000,388.381000,129.986000,666.285000,656.740432,297,307,-0.739000,-5.542000,2
31,33,9,576.185000,597.119000,665.765000,266.319000,342.714482,393,403,-0.922000,0.090000,1
31,32,1,583.561000,596.399000,645.615000,23.903000,575.849259,393,395,-0.922000,0.090000,2
34,35,9,130.256000,666.070000,130.290000,666.137000,0.075133,409,419,-0.001000,-0.004000,1
35,39,5,130.051000,666.089000,130.049000,666.113000,0.024083,493,499,0.002000,0.000000,1
36,41,5,487.089000,472.422000,630.185000,345.115000,191.529469,577,583,-0.248000,8.579000,1
37,50,0,580.340000,340.483000,580.333000,413.693000,73.210000,805,806,-0.895000,-0.420000,1
37,51,0,580.340000,340.483000,379.584000,253.517000,218.783127,805,806,-0.895000,-0.420000,2
38,40,3,709.039000,446.202000,703.181000,442.084000,7.160593,537,541,-1.089000,-4.559000,1
40,41,5,624.007000,335.403000,630.185000,345.115000,11.510457,577,583,-1.758000,-1.372000,1
41,42,5,622.872000,325.969000,458.546000,543.524000,272.641179,601,607,-0.199000,-1.526000,1
42,44,3,425.326000,531.433000,428.038000,512.803000,18.826360,627,631,-1.165000,-1.027000,1
42,45,9,418.336000,525.271000,615.784000,312.414000,290.333972,627,637,-1.165000,-1.027000,2
43,45,6,615.837000,311.509000,615.784000,312.414000,0.906551,630,637,-0.501000,-0.619000,1
43,44,0,618.843000,315.223000,428.038000,512.803000,274.671448,630,631,-0.501000,-0.619000,2
46,49,4,464.788000,927.352000,401.807000,642.894000,291.346804,784,789,1.493000,35.286000,1
47,48,9,564.770000,626.193000,565.028000,648.635000,22.443483,721,731,-1.322000,1.858000,1
48,53,9,779.387000,966.541000,582.430000,360.481000,637.260373,824,834,8.065000,27.084000,1
49,51,2,340.887000,367.974000,379.584000,253.517000,120.821615,803,806,-3.399000,-18.467000,1
49,50,2,340.887000,367.974000,580.333000,413.693000,243.771643,803,806,-3.399000,-18.467000,2
51,55,0,507.953000,693.718000,655.466000,360.292000,364.599757,849,850,-0.405000,22.401000,1
52,55,4,608.513000,277.931000,655.466000,360.292000,94.804633,845,850,-3.144000,-8.499000,1
52,54,3,611.657000,286.430000,479.731000,563.348000,306.737752,845,849,-3.144000,-8.499000,2
53,58,10,611.278000,579.419000,615.880000,649.271000,70.003431,872,883,0.794000,24.193000,1
53,57,4,606.514000,434.261000,635.851000,533.473000,103.458593,872,877,0.794000,24.193000,2
55,57,9,682.624000,505.475000,635.851000,533.473000,54.512398,867,877,0.964000,7.800000,1
55,56,3,676.840000,458.675000,669.367000,597.313000,138.839262,867,871,0.964000,7.800000,2
56,58,6,647.259000,738.596000,615.880000,649.271000,94.676276,876,883,-1.728000,11.436000,1
56,57,0,657.627000,669.980000,635.851000,533.473000,138.232974,876,877,-1.728000,11.436000,2
57,60,1,722.055000,578.235000,653.116000,416.692000,175.638056,889,891,5.462000,-0.415000,1
57,59,0,716.593000,578.650000,586.875000,414.147000,209.494622,889,890,5.462000,-0.415000,2
58,60,2,593.849000,550.615000,653.116000,416.692000,146.451177,888,891,-2.450000,-10.903000,1
58,59,1,596.299000,561.518000,586.875000,414.147000,147.672013,888,890,-2.450000,-10.903000,2
59,63,9,921.011000,837.217000,721.398000,374.191000,504.220613,950,960,11.689000,13.011000,1
61,63,7,531.789000,517.440000,721.398000,374.191000,237.638063,952,960,4.689000,19.629000,1
62,63,4,669.043000,440.575000,721.398000,374.191000,84.545145,955,960,7.415000,-10.571000,1
62,64,8,698.703000,398.291000,544.769000,711.114000,348.645817,955,964,7.415000,-10.571000,2
63,69,2,714.524000,658.799000,699.952000,447.024000,212.275749,1003,1006,1.555000,0.781000,1
63,70,6,720.744000,661.923000,691.217000,352.866000,310.464286,1003,1010,1.555000,0.781000,2
64,66,1,583.045000,568.614000,599.970000,502.468000,68.277002,976,978,2.485000,-11.790000,1
64,67,4,590.500000,533.244000,548.782000,330.751000,206.745753,976,981,2.485000,-11.790000,2
65,66,2,670.685000,479.007000,599.970000,502.468000,74.505233,975,978,-8.785000,-1.387000,1
65,67,5,644.330000,474.846000,548.782000,330.751000,172.895313,975,981,-8.785000,-1.387000,2
66,74,10,750.183000,500.215000,655.714000,578.926000,122.962651,1031,1042,-2.856000,-0.348000,1
66,72,2,773.031000,502.999000,546.039000,456.465000,231.712713,1031,1034,-2.856000,-0.348000,2
66,71,2,773.031000,502.999000,515.524000,398.489000,277.906810,1031,1034,-2.856000,-0.348000,3
66,73,10,750.183000,500.215000,503.159000,252.143000,350.086523,1031,1042,-2.856000,-0.348000,4
67,74,10,564.471000,557.832000,655.714000,578.926000,93.649570,1031,1042,2.270000,-4.485000,1
67,72,2,546.311000,593.712000,546.039000,456.465000,137.247270,1031,1034,2.270000,-4.485000,2
67,71,2,546.311000,593.712000,515.524000,398.489000,197.635673,1031,1034,2.270000,-4.485000,3
67,73,10,564.471000,557.832000,503.159000,252.143000,311.777045,1031,1042,2.270000,-4.485000,4
68,69,0,706.450000,535.618000,699.952000,447.024000,88.831981,1005,1006,-0.116000,-6.865000,1
