source_tracklet,candidate_tracklet,gap_frames,predicted_x,predicted_y,candidate_start_x,candidate_start_y,prediction_error,source_end_frame,candidate_start_frame,end_velocity_x,end_velocity_y,candidate_rank
4,7,4,94.670000,673.211000,94.631000,672.980000,0.234269,14,19,-0.001000,0.001000,1
4,6,4,94.670000,673.211000,57.628000,680.022000,37.662972,14,19,-0.001000,0.001000,2
5,6,4,57.620000,680.045000,57.628000,680.022000,0.024352,14,19,0.001000,0.004000,1
5,7,4,57.620000,680.045000,94.631000,672.980000,37.679283,14,19,0.001000,0.004000,2
6,8,6,57.641000,679.753000,57.620000,679.864000,0.112969,32,39,0.002000,-0.013000,1
6,9,6,57.641000,679.753000,94.666000,673.032000,37.630074,32,39,0.002000,-0.013000,2
7,9,7,94.756000,672.904000,94.666000,673.032000,0.156474,31,39,0.007000,-0.003000,1
7,8,7,94.756000,672.904000,57.620000,679.864000,37.782590,31,39,0.007000,-0.003000,2
9,10,3,94.676000,672.990000,94.674000,673.058000,0.068029,58,62,0.000000,-0.003000,1
11,13,7,94.677000,673.010000,57.670000,679.896000,37.642198,101,109,0.000000,0.002000,1
12,13,8,57.657000,679.957000,57.670000,679.896000,0.062370,100,109,0.000000,0.002000,1
13,14,6,57.692000,679.987000,57.663000,679.925000,0.068447,114,121,0.002000,0.007000,1
14,16,5,57.545000,679.726000,57.605000,679.929000,0.211681,136,142,-0.007000,-0.012000,1
14,15,5,57.545000,679.726000,94.675000,673.207000,37.697934,136,142,-0.007000,-0.012000,2
17,51,3,735.811000,611.671000,57.496000,678.932000,681.641608,955,959,0.603000,-2.308000,1
24,25,9,94.866000,673.225000,94.848000,672.660000,0.565287,347,357,0.003000,0.048000,1
24,26,10,94.869000,673.273000,57.789000,680.077000,37.699082,347,358,0.003000,0.048000,2
25,28,9,94.837000,673.188000,94.843000,672.631000,0.557032,427,437,0.000000,0.030000,1
25,27,7,94.837000,673.128000,57.770000,679.868000,37.674794,427,435,0.000000,0.030000,2
26,27,9,57.754000,679.723000,57.770000,679.868000,0.145880,425,435,-0.002000,-0.010000,1
32,33,5,94.464000,672.732000,94.486000,672.837000,0.107280,637,643,-0.001000,-0.007000,1
35,38,9,57.813000,677.983000,57.746000,678.880000,0.899499,774,784,0.002000,-0.078000,1
38,39,3,58.535000,678.864000,58.181000,678.722000,0.381418,800,804,0.052000,-0.006000,1
38,40,10,58.899000,678.822000,58.250000,678.833000,0.649093,800,811,0.052000,-0.006000,2
39,40,3,58.181000,678.701000,58.250000,678.833000,0.148946,807,811,0.000000,-0.003000,1
39,41,7,58.181000,678.689000,94.919000,672.248000,37.298353,807,815,0.000000,-0.003000,2
39,42,9,58.181000,678.683000,130.302000,666.477000,73.146600,807,817,0.000000,-0.003000,3
44,45,1,638.075000,349.053000,58.286000,678.803000,667.001010,904,906,-0.884000,-0.875000,1
46,51,8,57.845000,678.634000,57.496000,678.932000,0.458917,950,959,0.002000,-0.010000,1
46,50,2,57.833000,678.694000,724.278000,537.087000,681.323330,950,953,0.002000,-0.010000,2
47,50,6,94.824000,672.730000,724.278000,537.087000,643.903224,946,953,-0.003000,0.004000,1
48,49,0,130.091000,666.327000,679.180000,569.142000,557.623219,939,940,-0.004000,0.002000,1
49,50,9,745.389000,627.094000,724.278000,537.087000,92.449632,943,953,5.093000,4.458000,1
51,52,5,57.550000,679.103000,57.500000,678.954000,0.157166,966,972,0.004000,0.012000,1
54,55,6,57.437000,679.196000,57.412000,679.044000,0.154042,1062,1069,0.000000,-0.003000,1
