frame,time_seconds,track_id,confidence,center_x,center_y,observed
2,0.033367,2,0.859863,714.143,392.103,1
2,0.033367,3,0.770030,612.066,441.108,1
2,0.033367,1,0.862108,553.159,346.496,1
3,0.050050,2,0.846039,713.128,368.126,1
3,0.050050,3,0.807366,639.988,442.275,1
3,0.050050,1,0.907805,552.856,368.266,1
4,0.066733,2,0.763674,712.080,341.970,1
4,0.066733,3,0.834973,672.584,445.273,1
4,0.066733,1,0.845199,552.577,395.018,1
5,0.083417,2,0.639293,711.203,316.374,1
5,0.083417,3,0.854303,706.124,450.091,1
5,0.083417,1,0.864460,552.328,424.464,1
6,0.100100,2,0.768792,710.706,292.360,1
6,0.100100,3,0.860582,739.487,456.453,1
6,0.100100,1,0.860652,551.958,454.797,1
7,0.116783,2,0.823090,710.488,270.615,1
7,0.116783,3,0.789473,765.790,464.524,1
7,0.116783,1,0.850476,551.818,486.631,1
8,0.133467,2,0.732186,710.344,251.135,1
8,0.133467,3,0.419657,787.472,473.813,1
8,0.133467,1,0.719713,551.233,519.886,1
9,0.150150,2,0.788151,710.308,234.310,1
9,0.150150,3,0.205125,806.683,482.441,1
9,0.150150,1,0.680325,550.384,549.671,1
10,0.166833,2,0.697005,710.248,219.687,1
10,0.166833,3,0.729276,824.724,490.903,1
10,0.166833,1,0.763062,549.645,575.208,1
11,0.183517,2,0.825128,710.041,207.656,1
11,0.183517,3,0.752746,841.854,500.032,1
11,0.183517,1,0.826085,549.264,597.940,1
12,0.200200,2,0.721086,709.858,197.916,1
12,0.200200,3,0.786783,857.450,509.682,1
12,0.200200,1,0.644457,550.033,618.268,1
13,0.216883,2,0.656948,709.754,190.110,1
13,0.216883,3,0.645428,870.284,519.774,1
13,0.216883,1,0.628259,551.638,634.612,1
14,0.233567,2,0.587350,709.614,184.439,1
14,0.233567,3,0.622960,877.887,529.234,1
14,0.233567,1,0.638552,553.301,646.432,1
15,0.250250,2,0.659454,709.183,180.740,1
15,0.250250,3,0.682225,882.515,536.736,1
15,0.250250,1,0.620537,554.870,652.475,1
16,0.266933,2,0.626560,708.696,179.120,1
16,0.266933,3,0.611377,883.838,540.673,1
16,0.266933,1,0.540898,556.773,652.792,1
17,0.283617,2,0.638098,708.187,179.306,1
17,0.283617,3,0.696854,882.177,540.365,1
17,0.283617,1,0.609495,558.965,647.240,1
18,0.300300,2,0.525913,707.650,181.480,1
18,0.300300,3,0.711836,877.318,535.900,1
18,0.300300,1,0.423157,562.028,636.047,1
19,0.316983,2,0.765264,706.994,185.582,1
19,0.316983,3,0.795952,869.645,528.093,1
19,0.316983,1,0.733569,565.021,620.139,1
20,0.333667,2,0.694238,706.383,191.539,1
20,0.333667,3,0.611787,858.147,517.661,1
20,0.333667,1,0.644355,567.003,599.314,1
21,0.350350,2,0.637780,705.594,199.429,1
21,0.350350,3,0.669937,842.030,505.364,1
21,0.350350,1,0.709138,567.872,573.532,1
22,0.367033,2,0.817256,704.944,209.018,1
22,0.367033,3,0.624051,821.005,491.766,1
22,0.367033,1,0.620526,567.709,544.088,1
23,0.383717,2,0.635797,703.985,220.530,1
23,0.383717,3,0.706080,795.156,477.736,1
23,0.383717,1,0.753117,566.623,511.210,1
24,0.400400,2,0.831638,703.018,233.752,1
24,0.400400,3,0.704716,765.461,463.788,1
24,0.400400,1,0.654185,564.671,477.907,1
25,0.417083,2,0.886329,702.243,248.891,1
25,0.417083,3,0.887041,733.341,450.896,1
25,0.417083,1,0.888415,562.904,445.275,1
26,0.433767,2,0.827506,701.475,265.951,1
26,0.433767,3,0.780209,699.761,440.087,1
26,0.433767,1,0.751792,560.912,414.391,1
27,0.450450,2,0.694195,700.574,284.647,1
27,0.450450,3,0.735667,666.041,431.261,1
27,0.450450,1,0.806431,558.984,385.522,1
28,0.467133,2,0.350560,699.581,305.265,1
28,0.467133,3,0.369607,632.234,424.966,1
28,0.467133,1,0.637415,556.990,359.468,1
29,0.483817,2,0.438328,698.418,327.574,1
29,0.483817,3,0.341514,598.798,420.750,1
29,0.483817,1,0.426824,555.095,336.167,1
30,0.500500,2,0.711303,697.478,351.347,1
30,0.500500,3,0.834239,566.013,418.923,1
30,0.500500,1,0.640136,553.596,315.100,1
31,0.517183,2,0.609939,696.477,376.892,1
31,0.517183,3,0.840161,534.043,419.042,1
31,0.517183,1,0.459211,551.975,296.246,1
32,0.533867,2,0.643538,695.645,404.398,1
32,0.533867,3,0.752871,503.227,420.836,1
32,0.533867,1,0.764633,550.518,279.387,1
33,0.550550,2,0.696442,694.950,433.633,1
33,0.550550,3,0.882615,477.987,423.137,1
33,0.550550,1,0.798929,548.761,264.695,1
34,0.567233,2,0.729916,694.128,464.734,1
34,0.567233,3,0.840481,455.949,425.654,1
34,0.567233,1,0.866990,546.862,252.106,1
35,0.583917,2,0.766308,693.789,494.157,1
35,0.583917,3,0.876794,436.451,428.841,1
35,0.583917,1,0.859904,545.157,241.316,1
36,0.600600,2,0.845065,694.669,520.812,1
36,0.600600,3,0.867821,419.094,433.516,1
36,0.600600,1,0.808899,543.436,232.326,1
37,0.617283,2,0.834763,696.439,544.730,1
37,0.617283,3,0.755001,403.405,440.179,1
37,0.617283,1,0.814133,541.405,225.216,1
38,0.633967,2,0.743968,699.460,566.312,1
38,0.633967,3,0.770807,390.777,448.522,1
38,0.633967,1,0.852092,539.706,219.979,1
39,0.650650,2,0.892067,703.634,585.515,1
39,0.650650,3,0.845393,380.776,457.609,1
39,0.650650,1,0.896762,538.129,216.426,1
40,0.667333,2,0.843491,709.038,601.286,1
40,0.667333,3,0.820973,373.850,466.426,1
40,0.667333,1,0.840664,536.604,214.684,1
41,0.684017,2,0.897171,715.245,612.932,1
41,0.684017,3,0.887688,370.174,473.863,1
41,0.684017,1,0.877792,535.049,214.697,1
42,0.700700,2,0.859056,721.437,619.197,1
42,0.700700,3,0.830479,370.367,478.780,1
42,0.700700,1,0.857137,533.797,216.653,1
43,0.717383,2,0.896970,727.109,620.108,1
43,0.717383,3,0.870697,375.915,480.847,1
43,0.717383,1,0.888250,532.283,220.464,1
44,0.734067,2,0.851527,731.695,614.362,1
44,0.734067,3,0.863637,385.252,479.160,1
44,0.734067,1,0.869261,530.756,225.900,1
45,0.750750,2,0.910755,735.130,602.593,1
45,0.750750,3,0.749850,398.777,473.842,1
45,0.750750,1,0.922603,529.314,233.116,1
46,0.767433,2,0.757497,737.298,585.009,1
46,0.767433,3,0.777905,416.906,465.868,1
46,0.767433,1,0.883269,528.056,242.192,1
47,0.784117,2,0.751421,738.257,562.761,1
47,0.784117,3,0.714081,438.857,456.015,1
47,0.784117,1,0.889903,526.394,253.223,1
48,0.800800,2,0.764852,738.430,535.927,1
48,0.800800,3,0.453875,466.049,445.870,1
48,0.800800,1,0.760749,525.083,265.970,1
49,0.817483,2,0.815668,737.732,506.430,1
49,0.817483,3,0.814947,497.199,435.958,1
49,0.817483,1,0.795299,523.566,280.681,1
50,0.834167,2,0.831608,735.904,475.275,1
50,0.834167,3,0.887779,530.509,427.768,1
50,0.834167,1,0.877769,522.229,296.999,1
51,0.850850,2,0.917218,733.309,444.001,1
51,0.850850,3,0.836087,564.861,421.563,1
51,0.850850,1,0.830847,520.916,315.505,1
52,0.867533,2,0.840394,730.603,414.316,1
52,0.867533,3,0.744568,599.796,417.683,1
52,0.867533,1,0.845149,519.729,335.871,1
53,0.884217,2,0.759033,727.531,386.799,1
53,0.884217,3,0.672351,634.517,416.251,1
53,0.884217,1,0.767874,518.665,357.481,1
54,0.900900,2,0.776256,724.497,362.375,1
54,0.900900,3,0.833689,668.864,417.005,1
54,0.900900,1,0.859311,517.486,380.853,1
55,0.917583,2,0.674145,721.870,340.572,1
55,0.917583,3,0.825883,702.517,419.920,1
55,0.917583,1,0.740017,516.257,405.856,1
56,0.934267,2,0.740457,719.301,321.420,1
56,0.934267,3,0.908754,735.689,424.980,1
56,0.934267,1,0.883560,515.099,432.852,1
57,0.950950,2,0.313059,717.258,304.778,1
57,0.950950,3,0.275960,765.296,431.683,1
57,0.950950,1,0.689119,513.952,461.364,1
58,0.967633,2,0.492077,715.366,290.272,1
58,0.967633,3,0.452096,789.480,441.019,1
58,0.967633,1,0.494346,513.129,491.433,1
59,0.984317,2,0.687834,713.439,278.312,1
59,0.984317,3,0.492338,809.808,452.377,1
59,0.984317,1,0.425112,513.058,521.524,1
60,1.001000,2,0.761879,711.739,268.331,1
60,1.001000,3,0.598957,826.507,464.176,1
60,1.001000,1,0.735584,512.973,548.664,1
61,1.017683,2,0.781470,710.189,260.257,1
61,1.017683,3,0.544737,841.353,476.595,1
61,1.017683,1,0.543323,513.414,573.083,1
62,1.034367,2,0.817615,708.638,254.049,1
62,1.034367,3,0.758244,855.445,489.880,1
62,1.034367,1,0.661244,514.813,595.040,1
63,1.051050,2,0.799183,707.047,249.700,1
63,1.051050,3,0.597170,868.639,503.792,1
63,1.051050,1,0.231576,518.163,614.115,1
64,1.067733,2,0.649049,705.753,247.191,1
64,1.067733,3,0.391271,879.356,517.185,1
64,1.067733,1,0.197805,522.944,630.279,1
65,1.084417,2,0.789912,704.308,246.405,1
65,1.084417,3,0.662951,886.724,528.604,1
65,1.084417,1,0.744670,529.077,642.301,1
66,1.101100,2,0.591513,703.161,247.481,1
66,1.101100,3,0.549286,889.923,535.969,1
66,1.101100,1,0.509599,536.012,649.262,1
67,1.117783,2,0.832989,701.937,250.393,1
67,1.117783,3,0.416645,888.570,538.206,1
67,1.117783,1,0.518342,542.908,649.458,1
68,1.134467,2,0.788824,700.957,254.976,1
68,1.134467,3,0.489330,883.419,535.461,1
68,1.134467,1,0.594999,549.252,642.846,1
69,1.151150,2,0.753396,699.967,261.355,1
69,1.151150,3,0.304251,874.746,528.049,1
69,1.151150,1,0.732641,555.399,630.078,1
70,1.167833,2,0.780115,698.897,269.454,1
70,1.167833,3,0.430544,862.472,517.588,1
70,1.167833,1,0.809826,561.057,611.704,1
71,1.184517,2,0.689917,697.599,279.272,1
71,1.184517,3,0.558045,845.863,505.254,1
71,1.184517,1,0.660657,565.165,588.922,1
72,1.201200,2,0.637648,696.517,290.937,1
72,1.201200,3,0.688126,823.982,491.897,1
72,1.201200,1,0.710656,567.731,561.274,1
73,1.217883,2,0.515311,695.505,304.584,1
73,1.217883,3,0.613480,797.136,478.395,1
73,1.217883,1,0.646282,568.447,529.621,1
74,1.234567,2,0.331969,694.479,319.811,1
74,1.234567,3,0.565784,766.481,466.833,1
74,1.234567,1,0.731010,567.963,496.029,1
75,1.251250,2,0.798168,693.498,336.801,1
75,1.251250,3,0.779797,733.330,457.685,1
75,1.251250,1,0.808503,566.852,462.563,1
76,1.267933,2,0.679791,692.350,355.380,1
76,1.267933,3,0.891445,698.851,451.255,1
76,1.267933,1,0.863042,565.612,430.264,1
77,1.284617,2,0.818058,691.215,375.738,1
77,1.284617,3,0.769448,663.916,447.228,1
77,1.284617,1,0.831106,564.207,400.062,1
78,1.301300,2,0.712363,690.246,397.661,1
78,1.301300,3,0.580195,629.202,445.678,1
78,1.301300,1,0.848091,562.812,372.279,1
79,1.317983,2,0.730461,689.404,421.405,1
79,1.317983,3,0.681775,595.152,446.226,1
79,1.317983,1,0.773047,561.522,347.365,1
80,1.334667,2,0.782831,688.624,446.671,1
80,1.334667,3,0.715126,561.497,449.000,1
80,1.334667,1,0.793339,560.129,325.269,1
81,1.351350,2,0.688342,687.684,473.633,1
81,1.351350,3,0.717124,528.951,452.756,1
81,1.351350,1,0.721529,558.980,305.320,1
82,1.368033,2,0.364309,687.054,501.691,1
82,1.368033,3,0.658116,503.149,455.680,1
82,1.368033,1,0.757576,557.566,287.460,1
83,1.384717,2,0.556522,688.050,526.302,1
83,1.384717,3,0.724260,483.134,458.979,1
83,1.384717,1,0.802100,556.166,272.026,1
84,1.401400,2,0.543179,689.788,547.971,1
84,1.401400,3,0.600388,467.015,461.612,1
84,1.401400,1,0.744899,554.865,258.295,1
85,1.418083,2,0.701572,691.342,567.257,1
85,1.418083,3,0.755375,452.490,464.424,1
85,1.418083,1,0.806031,553.312,246.576,1
86,1.434767,2,0.789782,692.504,585.137,1
86,1.434767,3,0.888681,439.103,467.936,1
86,1.434767,1,0.833306,551.872,236.758,1
87,1.451450,2,0.866267,693.819,601.106,1
87,1.451450,3,0.887987,425.741,472.355,1
87,1.451450,1,0.876885,550.433,228.604,1
88,1.468133,2,0.715204,695.831,614.538,1
88,1.468133,3,0.730201,412.729,477.863,1
88,1.468133,1,0.788016,548.860,222.145,1
89,1.484817,2,0.855114,699.031,624.789,1
89,1.484817,3,0.830648,401.765,483.793,1
89,1.484817,1,0.859977,547.061,217.463,1
90,1.501500,2,0.758936,702.800,631.323,1
90,1.501500,3,0.660022,393.792,489.312,1
90,1.501500,1,0.818612,545.431,214.554,1
91,1.518183,2,0.860930,706.777,633.430,1
91,1.518183,3,0.796288,388.676,493.932,1
91,1.518183,1,0.851135,543.950,213.339,1
92,1.534867,2,0.747968,710.453,630.670,1
92,1.534867,3,0.787197,386.912,497.089,1
92,1.534867,1,0.856711,542.587,214.036,1
93,1.551550,2,0.920112,713.456,623.156,1
93,1.551550,3,0.876146,388.704,498.219,1
93,1.551550,1,0.870278,541.140,216.541,1
94,1.568233,2,0.853678,716.204,610.819,1
94,1.568233,3,0.817646,394.204,497.069,1
94,1.568233,1,0.864253,539.892,220.846,1
95,1.584917,2,0.918244,718.437,593.223,1
95,1.584917,3,0.911109,403.996,493.482,1
95,1.584917,1,0.895726,538.466,227.078,1
96,1.601600,2,0.904119,720.310,570.058,1
96,1.601600,3,0.833598,418.573,487.727,1
96,1.601600,1,0.866113,537.144,235.154,1
97,1.618283,2,0.699524,722.138,543.226,1
97,1.618283,3,0.742454,437.589,479.304,1
97,1.618283,1,0.812277,535.873,244.976,1
98,1.634967,2,0.629587,723.693,512.387,1
98,1.634967,3,0.618670,461.149,469.209,1
98,1.634967,1,0.816330,534.847,256.735,1
99,1.651650,2,0.563472,725.220,479.244,1
99,1.651650,3,0.429234,488.922,458.039,1
99,1.651650,1,0.832720,533.745,270.522,1
100,1.668333,2,0.885813,726.660,446.690,1
100,1.668333,3,0.744951,518.945,447.052,1
100,1.668333,1,0.864757,532.697,285.968,1
101,1.685017,2,0.789987,728.134,415.326,1
101,1.685017,3,0.807068,550.273,436.992,1
101,1.685017,1,0.777677,531.803,303.315,1
102,1.701700,2,0.879824,729.371,385.832,1
102,1.701700,3,0.792196,581.401,428.553,1
102,1.701700,1,0.724141,531.149,323.009,1
103,1.718383,2,0.748720,730.418,358.574,1
103,1.718383,3,0.553381,612.251,421.947,1
103,1.718383,1,0.579713,530.473,344.265,1
104,1.735067,2,0.638370,731.711,333.840,1
104,1.735067,3,0.431272,642.721,417.407,1
104,1.735067,1,0.651186,529.799,367.250,1
105,1.751750,2,0.815424,733.208,311.374,1
105,1.751750,3,0.672777,672.674,415.384,1
105,1.751750,1,0.699212,528.971,391.899,1
106,1.768433,2,0.695515,734.694,291.504,1
106,1.768433,3,0.545798,702.682,415.580,1
106,1.768433,1,0.783921,528.434,418.634,1
107,1.785117,2,0.884947,736.300,273.754,1
107,1.785117,3,0.841368,731.971,418.175,1
107,1.785117,1,0.746350,528.094,447.311,1
108,1.801800,2,0.877621,737.925,258.141,1
108,1.801800,3,0.655980,760.639,422.650,1
108,1.801800,1,0.703690,527.838,476.958,1
109,1.818483,2,0.878996,739.184,244.619,1
109,1.818483,3,0.667599,785.477,429.411,1
109,1.818483,1,0.648555,527.144,504.512,1
110,1.835167,2,0.890699,740.592,233.064,1
110,1.835167,3,0.707700,804.471,437.060,1
