source_tracklet,candidate_tracklet,gap_frames,predicted_x,predicted_y,candidate_start_x,candidate_start_y,prediction_error,source_end_frame,candidate_start_frame,end_velocity_x,end_velocity_y,candidate_rank
1,18,7,94.724000,668.922000,94.588000,669.096000,0.220844,202,210,-0.002000,0.000000,1
2,15,4,129.986000,662.265000,129.973000,662.712000,0.447189,160,165,0.002000,-0.035000,1
4,26,1,547.242000,563.659000,630.031000,518.830000,94.147001,254,256,-0.519000,30.603000,1
5,7,4,651.388000,384.894000,57.448000,679.733000,663.094834,28,33,-14.362000,-9.302000,1
6,8,0,892.988000,409.578000,820.761000,477.025000,98.822251,60,61,31.792000,-1.691000,1
11,13,3,678.284000,387.380000,566.176000,444.707000,125.915005,129,133,-13.713000,-6.343000,1
12,21,0,507.916000,742.411000,608.469000,405.321000,351.767784,224,225,1.201000,32.930000,1
12,20,0,507.916000,742.411000,130.124000,662.496000,386.151787,224,225,1.201000,32.930000,2
13,15,10,688.909000,457.008000,129.973000,662.712000,595.586759,154,165,6.612000,-6.509000,1
14,16,1,594.403000,307.217000,594.462000,392.317000,85.100020,186,188,0.423000,14.278000,1
14,17,10,598.210000,435.719000,130.232000,664.153000,520.754742,186,197,0.423000,14.278000,2
15,17,7,129.942000,667.766000,130.232000,664.153000,3.624620,189,197,-0.001000,0.171000,1
16,21,3,538.229000,280.834000,608.469000,405.321000,142.935897,221,225,-11.350000,-13.641000,1
16,19,1,560.929000,308.116000,482.087000,567.882000,271.467191,221,223,-11.350000,-13.641000,2
16,20,3,538.229000,280.834000,130.124000,662.496000,558.762537,221,225,-11.350000,-13.641000,3
17,18,9,130.116000,667.040000,94.588000,669.096000,35.587440,200,210,-0.009000,0.222000,1
18,23,8,94.632000,669.116000,94.610000,669.069000,0.051894,239,248,0.004000,0.003000,1
18,24,9,94.636000,669.119000,130.154000,662.414000,36.145336,239,249,0.004000,0.003000,2
18,25,10,94.640000,669.122000,58.013000,674.272000,36.987290,239,250,0.004000,0.003000,3
18,22,0,94.600000,669.092000,452.520000,265.334000,539.562090,239,240,0.004000,0.003000,4
19,24,8,399.052000,94.820000,130.154000,662.414000,628.067738,240,249,-2.551000,-24.007000,1
19,23,7,401.603000,118.827000,94.610000,669.069000,630.088058,240,248,-2.551000,-24.007000,2
19,25,9,396.501000,70.813000,58.013000,674.272000,691.908152,240,250,-2.551000,-24.007000,3
20,22,9,130.125000,662.530000,452.520000,265.334000,511.569349,230,240,0.000000,0.002000,1
21,37,3,623.063000,332.626000,622.261000,335.537000,3.019458,603,607,-0.194000,-0.768000,1
23,28,4,94.644000,669.444000,599.345000,588.580000,511.138030,372,377,-0.002000,0.017000,1
23,29,10,94.632000,669.546000,648.352000,264.945000,685.789915,372,383,-0.002000,0.017000,2
24,45,9,129.931000,667.134000,57.902000,678.809000,72.969051,847,857,-0.009000,0.014000,1
25,27,9,57.712000,674.531000,57.460000,674.947000,0.486374,283,293,0.002000,-0.001000,1
28,34,4,528.816000,394.952000,539.161000,388.164000,12.373196,419,424,-1.428000,-7.607000,1
29,31,3,659.736000,256.969000,662.156000,262.632000,6.158406,395,399,0.716000,-0.455000,1
37,43,1,602.159000,327.252000,620.636000,446.004000,120.180851,813,815,2.016000,19.885000,1
37,44,2,604.175000,347.137000,94.840000,668.850000,602.429578,813,816,2.016000,19.885000,2
37,42,0,600.143000,307.367000,57.860000,678.693000,657.231961,813,814,2.016000,19.885000,3
38,40,4,94.399000,669.166000,416.446000,645.962000,322.881860,779,784,-0.005000,0.006000,1
40,49,1,495.236000,798.532000,428.981000,638.365000,173.329723,900,902,1.610000,34.369000,1
41,44,0,601.082000,383.481000,94.840000,668.850000,581.133744,815,816,0.602000,9.949000,1
43,51,3,781.732000,761.219000,723.699000,456.415000,310.279402,952,956,4.928000,11.176000,1
43,52,6,796.516000,794.747000,130.055000,666.248000,678.735779,952,959,4.928000,11.176000,2
44,62,5,57.297000,679.132000,57.350000,677.178000,1.954719,1065,1071,0.000000,0.045000,1
44,61,5,57.297000,679.132000,129.975000,666.384000,73.787554,1065,1071,0.000000,0.045000,2
45,49,9,58.135000,669.912000,428.981000,638.365000,372.185396,892,902,0.046000,-0.447000,1
45,48,7,58.043000,670.806000,645.266000,355.802000,666.377049,892,900,0.046000,-0.447000,2
46,51,8,129.942000,666.731000,723.699000,456.415000,629.904909,947,956,-0.017000,0.030000,1
47,48,0,611.247000,268.499000,645.266000,355.802000,93.696885,899,900,-4.483000,-15.941000,1
47,49,2,602.281000,236.617000,428.981000,638.365000,437.532108,899,902,-4.483000,-15.941000,2
48,55,1,746.333000,469.076000,626.409000,495.715000,122.847068,975,977,0.446000,-2.844000,1
49,54,5,570.620000,1080.964000,94.496000,669.353000,629.378804,965,971,4.035000,33.980000,1
52,58,3,129.909000,665.556000,129.943000,666.589000,1.033559,1015,1019,-0.002000,-0.054000,1
54,55,2,94.522000,669.311000,626.409000,495.715000,559.499197,974,977,0.004000,-0.007000,1
56,58,3,94.535000,669.299000,129.943000,666.589000,35.511555,1015,1019,-0.004000,0.001000,1
61,63,2,129.976000,666.276000,535.017000,558.737000,419.073798,1074,1077,0.000000,-0.018000,1
