frame,time_seconds,track_id,confidence,center_x,center_y,observed
2,0.033367,2,0.243781,553.083,346.663,1
2,0.033367,4,0.433725,612.136,441.110,1
2,0.033367,3,0.291227,713.830,392.213,1
2,0.033367,1,0.114695,94.600,669.103,1
3,0.050050,2,0.467954,552.699,368.332,1
3,0.050050,4,0.303718,640.075,442.307,1
3,0.050050,3,0.296935,712.836,368.268,1
3,0.050050,1,0.113305,94.598,669.103,1
4,0.066733,2,0.178689,552.472,395.043,1
4,0.066733,4,0.102655,672.733,445.079,1
4,0.066733,3,0.133509,711.796,341.762,1
4,0.066733,1,0.100817,94.596,669.103,1
5,0.083417,2,0.189342,552.228,424.318,1
5,0.083417,4,0.087914,706.138,450.115,1
5,0.083417,3,0.165926,711.020,315.799,1
5,0.083417,1,0.087016,94.597,669.102,1
6,0.100100,2,0.401331,551.953,455.168,1
6,0.100100,4,0.208788,739.242,456.424,1
6,0.100100,3,0.319709,710.667,291.544,1
6,0.100100,1,0.083797,94.597,669.107,1
7,0.116783,2,0.435688,551.842,486.874,1
7,0.116783,4,0.208788,766.327,459.930,0
7,0.116783,3,0.540852,710.467,269.870,1
7,0.116783,1,0.099608,94.598,669.112,1
8,0.133467,2,0.103755,551.305,520.225,1
8,0.133467,4,0.208788,793.411,463.435,0
8,0.133467,3,0.374482,710.387,250.609,1
8,0.133467,1,0.096422,94.598,669.116,1
9,0.150150,2,0.133272,550.381,549.482,1
9,0.150150,4,0.085340,810.323,475.588,1
9,0.150150,3,0.417347,710.324,233.747,1
9,0.150150,1,0.100452,94.598,669.116,1
10,0.166833,2,0.312164,549.500,575.214,1
10,0.166833,4,0.160903,826.900,487.052,1
10,0.166833,3,0.597475,710.268,219.325,1
10,0.166833,1,0.101264,94.599,669.114,1
11,0.183517,2,0.566768,549.079,598.596,1
11,0.183517,4,0.261329,843.020,497.949,1
11,0.183517,3,0.509165,710.072,207.272,1
11,0.183517,1,0.095249,94.604,669.109,1
12,0.200200,2,0.313866,549.914,618.546,1
12,0.200200,4,0.154248,857.836,509.096,1
12,0.200200,3,0.406248,709.962,197.504,1
12,0.200200,1,0.084924,94.603,669.099,1
13,0.216883,2,0.076865,551.581,634.764,1
13,0.216883,4,0.154248,876.927,518.144,0
13,0.216883,3,0.279758,709.876,189.831,1
13,0.216883,1,0.079704,94.601,669.103,1
14,0.233567,2,0.108244,553.323,646.271,1
14,0.233567,4,0.154248,896.018,527.192,0
14,0.233567,3,0.418743,709.728,184.232,1
14,0.233567,1,0.079704,94.601,669.101,0
15,0.250250,2,0.339084,554.900,652.304,1
15,0.250250,4,0.077921,894.811,535.997,1
15,0.250250,3,0.248773,709.343,180.593,1
15,0.250250,1,0.083146,94.597,669.103,1
16,0.266933,2,0.265304,556.838,652.458,1
16,0.266933,4,0.077921,908.535,544.980,0
16,0.266933,3,0.291230,708.837,179.027,1
16,0.266933,1,0.088555,94.595,669.106,1
17,0.283617,2,0.344003,559.285,646.890,1
17,0.283617,4,0.077921,922.259,553.964,0
17,0.283617,3,0.319502,708.349,179.232,1
17,0.283617,1,0.088782,94.595,669.106,1
18,0.300300,2,0.197281,562.311,635.839,1
18,0.300300,4,0.077921,935.982,562.948,0
18,0.300300,3,0.383031,707.884,181.344,1
18,0.300300,1,0.088782,94.594,669.106,0
19,0.316983,2,0.186350,564.921,620.062,1
19,0.316983,4,0.077921,949.706,571.932,0
19,0.316983,3,0.436216,707.166,185.393,1
19,0.316983,1,0.083788,94.593,669.110,1
19,0.316983,5,0.133020,859.624,519.971,1
20,0.333667,2,0.094435,566.779,599.479,1
20,0.333667,3,0.595228,706.491,191.245,1
20,0.333667,1,0.076682,94.596,669.115,1
20,0.333667,5,0.186973,850.231,511.207,1
21,0.350350,2,0.311498,567.609,574.040,1
21,0.350350,3,0.366356,705.598,199.167,1
21,0.350350,1,0.078404,94.601,669.118,1
21,0.350350,5,0.175542,835.083,499.873,1
22,0.367033,2,0.075102,567.624,544.392,1
22,0.367033,3,0.351864,704.802,208.885,1
22,0.367033,1,0.078404,94.602,669.120,0
22,0.367033,5,0.213135,814.321,487.337,1
23,0.383717,2,0.089562,566.450,511.852,1
23,0.383717,3,0.340533,703.864,220.438,1
23,0.383717,1,0.078404,94.603,669.123,0
23,0.383717,5,0.136531,789.053,474.310,1
24,0.400400,2,0.089562,567.070,490.906,0
24,0.400400,3,0.422428,702.980,233.692,1
24,0.400400,1,0.078404,94.604,669.125,0
24,0.400400,5,0.136531,773.292,464.499,0
25,0.417083,2,0.338833,564.710,454.398,1
25,0.417083,3,0.628555,702.213,248.749,1
25,0.417083,1,0.078404,94.606,669.128,0
25,0.417083,5,0.094117,737.777,451.490,1
26,0.433767,2,0.317822,562.121,420.416,1
26,0.433767,3,0.394964,701.512,265.744,1
26,0.433767,1,0.075672,94.616,669.120,1
26,0.433767,5,0.179722,702.129,440.634,1
27,0.450450,2,0.196643,559.744,389.110,1
27,0.450450,3,0.290104,700.590,284.453,1
27,0.450450,1,0.079452,94.626,669.117,1
27,0.450450,5,0.207335,667.312,431.790,1
28,0.467133,2,0.119756,557.393,361.184,1
28,0.467133,3,0.167178,699.435,305.151,1
28,0.467133,1,0.084855,94.630,669.112,1
28,0.467133,5,0.151011,632.969,425.314,1
29,0.483817,2,0.131820,555.243,336.571,1
29,0.483817,3,0.156744,698.294,327.547,1
29,0.483817,1,0.079067,94.631,669.110,1
29,0.483817,5,0.157906,599.140,421.023,1
30,0.500500,2,0.131820,553.552,309.233,0
30,0.500500,3,0.103514,697.389,351.449,1
30,0.500500,1,0.085119,94.628,669.105,1
30,0.500500,5,0.201800,566.008,419.027,1
31,0.517183,2,0.208342,551.844,291.649,1
31,0.517183,3,0.163298,696.583,377.094,1
31,0.517183,1,0.089963,94.624,669.105,1
31,0.517183,5,0.416125,534.000,419.116,1
32,0.533867,2,0.436370,550.211,275.844,1
32,0.533867,3,0.163298,695.675,397.928,0
32,0.533867,1,0.093378,94.618,669.105,1
32,0.533867,5,0.219611,503.020,420.884,1
33,0.550550,2,0.339328,548.566,262.339,1
33,0.550550,3,0.273823,694.864,429.112,1
33,0.550550,1,0.082450,94.615,669.101,1
33,0.550550,5,0.428335,477.894,422.995,1
34,0.567233,2,0.469234,546.820,250.667,1
34,0.567233,3,0.127968,694.104,461.817,1
34,0.567233,1,0.100074,94.613,669.103,1
34,0.567233,5,0.127474,455.715,425.261,1
35,0.583917,2,0.412870,545.088,240.528,1
35,0.583917,3,0.154475,693.599,492.527,1
35,0.583917,1,0.084502,94.613,669.104,1
35,0.583917,5,0.344140,436.462,428.800,1
36,0.600600,2,0.191375,543.372,232.042,1
36,0.600600,3,0.255148,694.467,520.084,1
36,0.600600,1,0.084502,94.612,669.103,0
36,0.600600,5,0.144116,419.453,433.631,1
37,0.617283,2,0.225733,541.539,225.138,1
37,0.617283,3,0.088800,696.271,544.712,1
37,0.617283,1,0.082639,94.618,669.110,1
37,0.617283,5,0.144116,396.245,435.293,0
38,0.633967,2,0.476346,539.878,220.002,1
38,0.633967,3,0.289688,699.221,566.651,1
38,0.633967,1,0.084757,94.623,669.115,1
38,0.633967,5,0.355560,385.886,445.189,1
39,0.650650,2,0.516299,538.336,216.408,1
39,0.650650,3,0.396345,703.565,585.900,1
39,0.650650,1,0.081399,94.626,669.117,1
39,0.650650,5,0.214027,377.556,455.425,1
40,0.667333,2,0.514162,536.925,214.662,1
40,0.667333,3,0.488233,708.943,601.709,1
40,0.667333,1,0.084535,94.629,669.118,1
40,0.667333,5,0.437083,371.908,465.198,1
41,0.684017,2,0.644789,535.338,214.686,1
