video,model,threshold,total_detections,mean_per_frame,median_per_frame,frames_0,frames_1,frames_2,frames_3,frames_4+,conf_mean,conf_p25,conf_p75,n_unique_track_ids,track_rows,observed_fraction,observed_median,observed_mean,lifespan_median,lifespan_max,short_tracks_le_5,short_tracks_le_10,n_stitch_candidates,n_stitch_sources,stitch_gap_median,stitch_gap_max,rank1_error_median,rank1_error_p75
identical_balls_trick_000_018,yolo26l,conf015,3292,3.051,3,0,1,24,995,59,0.688,0.591,0.833,14,3317,0.977,136.5,231.6,139.5,886,3,3,3,2,1,3,51.4,77.0
identical_balls_trick_000_018,yolo26l,conf010,3413,3.163,3,0,0,9,939,131,0.668,0.554,0.83,17,3407,0.976,7,195.6,15,1077,8,9,0,0,0.0,0,0.0,nan
identical_balls_trick_000_018,yolo26l,conf0075,3677,3.408,3,0,0,9,778,292,0.626,0.488,0.823,34,3738,0.947,7.5,104.1,15.0,1077,14,18,8,8,7.0,10,242.0,528.4
identical_balls_trick_000_018,yolo26l,conf005,4399,4.077,4,0,0,3,429,647,0.533,0.149,0.805,56,4553,0.926,10.0,75.3,16.5,1077,19,30,35,24,6,10,0.2,10.1
identical_balls_trick_000_018,yolo26x,conf015,2356,2.184,2,52,224,306,468,29,0.362,0.228,0.463,79,2697,0.778,10,26.5,19,371,24,40,103,61,4,10,111.5,212.3
identical_balls_trick_000_018,yolo26x,conf010,3025,2.804,3.0,7,78,276,524,194,0.309,0.159,0.418,59,3333,0.85,24,48.0,31,404,14,18,57,39,3,10,136.4,215.2
identical_balls_trick_000_018,yolo26x,conf0075,3703,3.432,3.0,5,34,158,396,486,0.268,0.114,0.378,62,3997,0.869,24.0,56.0,33.0,489,10,21,51,37,5,10,156.6,487.6
identical_balls_trick_000_018,yolo26x,conf005,5149,4.772,5,0,5,31,105,938,0.21,0.071,0.307,63,5471,0.898,29,78.0,36,599,9,14,52,36,4.0,10,121.5,442.1
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,yolo26l,conf015,4052,4.502,5.0,0,0,6,114,780,0.518,0.383,0.662,43,4258,0.882,62,87.3,73,355,3,3,38,30,4.5,10,104.9,173.4
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,yolo26l,conf010,4320,4.8,5.0,0,0,3,70,827,0.493,0.347,0.655,41,4364,0.901,68,95.9,77,281,5,5,35,29,4,10,96.3,133.1
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,yolo26l,conf0075,4492,4.991,5.0,0,0,1,47,852,0.478,0.312,0.65,32,4444,0.913,84.5,126.8,95.5,437,8,8,24,21,4.0,10,95.2,133.3
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,yolo26l,conf005,4749,5.277,5.0,0,0,0,26,874,0.455,0.268,0.643,30,4553,0.924,96.0,140.2,108.0,439,10,10,15,14,4,9,93.2,171.8
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,yolo26x,conf015,4136,4.596,5,3,7,26,84,780,0.542,0.384,0.711,34,4418,0.879,66.5,114.2,79.5,490,3,4,27,23,3,9,102.2,150.7
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,yolo26x,conf010,4423,4.914,5,1,4,10,56,829,0.515,0.336,0.701,30,4538,0.905,63.0,136.9,72.5,808,8,10,19,16,5,9,114.5,153.2
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,yolo26x,conf0075,4599,5.11,5,1,3,4,38,854,0.499,0.303,0.695,32,4589,0.915,63.0,131.2,72.5,808,8,11,17,15,5,10,129.7,158.6
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,yolo26x,conf005,4876,5.418,5.0,0,2,1,23,874,0.474,0.253,0.685,48,4802,0.911,68.5,91.2,76.5,486,11,15,28,23,5.0,9,134.5,173.7
