source_tracklet,candidate_tracklet,gap_frames,predicted_x,predicted_y,candidate_start_x,candidate_start_y,prediction_error,source_end_frame,candidate_start_frame,end_velocity_x,end_velocity_y,candidate_rank
1,11,3,625.094000,548.769000,617.224000,437.012000,112.033763,260,264,-0.816000,9.192000,1
2,8,1,595.249000,502.246000,588.324000,407.277000,95.221146,107,109,4.689000,2.964000,1
3,14,5,555.236000,557.681000,572.478000,436.847000,122.057946,416,422,1.342000,8.449000,1
4,7,2,619.951000,530.745000,617.350000,442.914000,87.869504,89,92,-2.302000,7.640000,1
5,7,9,595.670000,486.488000,617.350000,442.914000,48.669455,82,92,1.949000,0.621000,1
5,6,0,578.129000,480.899000,580.234000,390.379000,90.544472,82,83,1.949000,0.621000,2
6,15,2,620.442000,521.489000,617.673000,427.094000,94.435604,433,436,-1.803000,5.804000,1
6,16,10,606.018000,567.921000,605.745000,326.845000,241.076155,433,444,-1.803000,5.804000,2
7,9,8,615.320000,570.957000,615.347000,378.984000,191.973002,230,239,-2.227000,7.834000,1
8,10,6,556.893000,570.482000,573.646000,395.319000,175.962324,246,253,0.172000,7.836000,1
9,12,2,573.144000,506.798000,571.315000,415.677000,91.139354,305,308,3.574000,3.002000,1
10,21,5,651.589000,542.323000,623.487000,445.661000,100.664118,601,607,-0.381000,9.235000,1
13,17,6,546.716000,576.351000,576.316000,432.200000,147.158659,473,480,0.697000,9.460000,1
14,29,2,618.583000,421.129000,592.197000,341.411000,83.971308,858,861,4.504000,-4.833000,1
15,16,4,614.993000,403.326000,605.745000,326.845000,77.038100,439,444,-0.335000,-2.971000,1
16,18,4,563.237000,540.895000,577.816000,408.353000,133.341400,504,509,1.563000,5.682000,1
17,22,3,539.099000,525.156000,561.924000,481.691000,49.093654,615,619,-0.223000,9.525000,1
18,25,3,625.181000,531.915000,617.026000,440.008000,92.268091,721,725,0.092000,7.188000,1
18,26,10,625.825000,582.231000,605.445000,341.270000,241.821314,721,732,0.092000,7.188000,2
19,20,7,844.671000,45.677000,552.067000,426.378000,480.156591,572,580,-0.004000,0.006000,1
21,32,1,627.690000,533.003000,626.863000,450.363000,82.644138,893,895,-4.123000,8.346000,1
25,26,3,613.862000,420.358000,605.445000,341.270000,79.534632,728,732,-0.452000,-2.807000,1
26,27,4,527.289000,562.860000,571.212000,451.138000,120.045971,792,797,0.311000,10.624000,1
30,31,8,617.890000,243.808000,580.052000,416.502000,176.790644,874,883,1.732000,-0.163000,1
