video,frame,time_seconds,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.649341,527.312,349.870,546.922,370.799,537.117,360.335,19.609,20.928
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.410324,621.942,220.864,640.531,241.781,631.237,231.323,18.589,20.917
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.158343,574.888,312.990,592.240,333.856,583.564,323.423,17.352,20.867
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.144705,574.808,207.504,593.524,227.897,584.166,217.700,18.716,20.393
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.051840,624.269,463.710,641.635,485.937,632.952,474.824,17.367,22.227
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.779121,525.863,362.824,544.468,383.548,535.165,373.186,18.605,20.724
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.599801,624.694,225.603,645.225,245.252,634.960,235.428,20.530,19.649
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.520797,575.774,302.374,594.827,320.342,585.301,311.358,19.054,17.968
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.341060,571.760,205.871,592.643,225.001,582.201,215.436,20.884,19.130
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.080409,620.860,456.693,642.833,485.615,631.847,471.154,21.972,28.922
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.063708,622.019,464.328,641.917,485.840,631.968,475.084,19.897,21.511
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.860379,570.379,202.404,591.125,224.069,580.752,213.236,20.746,21.666
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.845967,523.392,376.664,543.107,394.872,533.250,385.768,19.716,18.208
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.830491,625.580,230.574,645.386,250.229,635.483,240.401,19.806,19.655
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.800345,575.801,291.388,596.756,312.547,586.278,301.968,20.955,21.159
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.273958,618.636,453.826,639.485,482.639,629.060,468.233,20.849,28.813
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.676787,627.327,236.073,647.242,255.834,637.285,245.954,19.915,19.761
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.598508,576.840,282.035,597.882,302.813,587.361,292.424,21.042,20.779
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.525998,522.005,389.718,544.026,409.233,533.015,399.476,22.021,19.515
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.249642,569.268,201.433,589.434,221.098,579.351,211.266,20.166,19.665
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.063386,616.415,450.844,637.685,473.513,627.050,462.178,21.271,22.669
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,32,sports ball,0.576416,521.459,399.106,541.834,416.923,531.647,408.015,20.375,17.817
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,32,sports ball,0.231680,578.388,272.501,599.311,293.722,588.849,283.112,20.923,21.221
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,32,sports ball,0.162954,568.090,200.965,588.513,220.796,578.302,210.881,20.422,19.831
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,32,sports ball,0.119256,615.265,445.811,634.935,464.708,625.100,455.259,19.670,18.897
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,32,sports ball,0.116237,628.780,241.670,649.933,261.130,639.357,251.400,21.152,19.461
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.588218,519.964,408.102,540.387,426.544,530.176,417.323,20.423,18.442
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.530587,611.735,433.828,632.701,451.974,622.218,442.901,20.966,18.145
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.524607,579.251,263.446,601.555,284.804,590.403,274.125,22.303,21.358
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.487633,629.961,246.947,650.893,268.175,640.427,257.561,20.932,21.228
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.395137,565.816,200.864,586.849,219.821,576.332,210.343,21.032,18.957
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.094581,519.476,407.600,541.529,431.983,530.502,419.792,22.054,24.383
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.053031,565.839,200.929,586.866,219.962,576.353,210.446,21.027,19.032
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,6,0.100100,32,sports ball,0.805938,632.748,255.269,653.342,275.416,643.045,265.342,20.594,20.147
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,6,0.100100,32,sports ball,0.668492,610.442,418.797,630.536,438.789,620.489,428.793,20.094,19.992
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,6,0.100100,32,sports ball,0.587866,580.506,256.168,602.549,276.074,591.528,266.121,22.043,19.906
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,6,0.100100,32,sports ball,0.577056,520.080,416.325,540.470,436.066,530.275,426.196,20.390,19.741
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,6,0.100100,32,sports ball,0.541895,564.940,200.639,584.946,220.056,574.943,210.348,20.005,19.417
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,7,0.116783,32,sports ball,0.464540,633.635,263.379,655.285,282.753,644.460,273.066,21.650,19.374
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,7,0.116783,32,sports ball,0.354764,562.728,201.539,584.148,220.533,573.438,211.036,21.421,18.993
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,7,0.116783,32,sports ball,0.199397,582.269,248.084,603.139,268.037,592.704,258.060,20.870,19.952
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,7,0.116783,32,sports ball,0.059267,520.327,425.004,541.828,439.021,531.078,432.013,21.502,14.017
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,7,0.116783,32,sports ball,0.052836,520.162,425.051,542.814,446.330,531.488,435.690,22.651,21.279
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,8,0.133467,32,sports ball,0.646495,608.283,388.850,625.729,408.135,617.006,398.493,17.445,19.285
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,8,0.133467,32,sports ball,0.640737,636.646,271.379,655.541,288.370,646.094,279.875,18.894,16.991
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,8,0.133467,32,sports ball,0.556634,561.843,202.234,582.350,220.915,572.096,211.575,20.507,18.681
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,8,0.133467,32,sports ball,0.512731,584.194,241.156,604.765,260.101,594.480,250.628,20.571,18.945
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,8,0.133467,32,sports ball,0.279328,521.086,433.701,543.730,449.556,532.408,441.628,22.644,15.855
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,8,0.133467,32,sports ball,0.255229,520.844,433.384,544.411,455.569,532.628,444.477,23.567,22.185
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,9,0.150150,32,sports ball,0.663507,639.800,279.323,657.610,297.958,648.705,288.641,17.810,18.635
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,9,0.150150,32,sports ball,0.662240,560.852,204.849,579.517,223.895,570.184,214.372,18.665,19.045
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,9,0.150150,32,sports ball,0.597806,585.321,233.896,605.828,253.327,595.575,243.611,20.508,19.430
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,9,0.150150,32,sports ball,0.509787,524.195,441.018,545.096,457.075,534.646,449.046,20.901,16.057
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,9,0.150150,32,sports ball,0.152815,608.241,376.059,624.373,395.014,616.307,385.537,16.132,18.956
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,9,0.150150,32,sports ball,0.053249,523.752,440.874,545.415,463.958,534.583,452.416,21.663,23.083
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,10,0.166833,32,sports ball,0.848455,586.564,227.933,607.282,247.617,596.923,237.775,20.718,19.684
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,10,0.166833,32,sports ball,0.844889,640.037,289.047,659.159,309.115,649.598,299.081,19.122,20.068
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,10,0.166833,32,sports ball,0.802726,559.035,207.607,578.895,224.521,568.965,216.064,19.860,16.913
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,10,0.166833,32,sports ball,0.735419,607.616,360.230,624.028,383.769,615.822,372.000,16.412,23.539
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,10,0.166833,32,sports ball,0.527370,526.756,448.384,549.084,468.353,537.920,458.369,22.328,19.968
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,10,0.166833,32,sports ball,0.212213,526.794,448.532,548.844,464.492,537.819,456.512,22.050,15.961
