source_tracklet,candidate_tracklet,gap_frames,predicted_x,predicted_y,candidate_start_x,candidate_start_y,prediction_error,source_end_frame,candidate_start_frame,end_velocity_x,end_velocity_y,candidate_rank
3,22,2,607.241000,525.854000,614.960000,441.865000,84.342961,635,638,-3.422000,6.394000,1
5,25,3,610.321000,412.162000,603.502000,328.148000,84.290278,729,733,-0.986000,-4.900000,1
6,7,3,622.393000,534.336000,617.238000,441.802000,92.677479,88,92,-2.015000,8.037000,1
6,8,6,616.348000,558.447000,542.034000,425.538000,152.274006,88,95,-2.015000,8.037000,2
8,9,8,632.974000,546.874000,601.207000,310.229000,238.767666,108,117,4.315000,4.825000,1
9,11,3,628.192000,506.364000,545.390000,422.620000,117.767690,174,178,-2.842000,5.160000,1
10,12,5,561.310000,558.419000,573.957000,395.150000,163.758093,247,253,0.411000,7.232000,1
11,13,4,621.671000,554.603000,615.947000,425.019000,129.710359,260,265,-1.060000,8.884000,1
12,14,0,600.879000,442.119000,611.401000,368.684000,74.184983,324,325,-2.950000,-2.814000,1
14,28,8,613.555000,516.521000,602.637000,310.142000,206.667594,827,836,3.108000,2.117000,1
17,18,6,557.723000,512.421000,656.316000,399.823000,149.662585,443,450,0.886000,5.494000,1
18,19,8,609.941000,536.084000,539.633000,449.817000,111.288859,459,468,-3.184000,8.074000,1
19,20,7,597.210000,566.419000,585.472000,360.601000,206.152443,477,485,3.258000,6.672000,1
20,24,4,590.626000,389.533000,600.860000,310.082000,80.107404,702,707,-2.426000,-5.862000,1
20,23,0,600.330000,412.981000,542.136000,470.057000,81.512032,702,703,-2.426000,-5.862000,2
23,30,6,634.329000,463.038000,595.569000,319.152000,149.015162,856,863,4.959000,-1.056000,1
26,27,9,549.869000,472.566000,583.814000,417.929000,64.323128,817,827,0.205000,2.033000,1
27,28,3,599.106000,336.586000,602.637000,310.142000,26.678701,832,836,1.605000,-8.569000,1
27,29,6,603.921000,310.879000,533.302000,429.348000,137.920075,832,839,1.605000,-8.569000,2
