source_track_id,target_track_id,source_end_frame,target_start_frame,gap_frames,hold_seconds,association_type,resolved_hand,hand_ambiguous,source_eligible_hand_set,target_eligible_hand_set,source_preferred_hand,target_preferred_hand,source_ambiguous,target_ambiguous,match_rule
2,6,20,34,13,0.23356666666690024,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
3,7,55,63,7,0.13346666666680013,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
5,8,71,83,11,0.20020000000020022,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
4,10,83,111,27,0.46713333333380047,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
6,11,96,111,14,0.2502500000002503,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
1,12,102,206,103,1.7350666666684018,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
8,13,212,222,9,0.16683333333350017,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
11,15,242,253,10,0.18351666666685018,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
14,17,296,309,12,0.21688333333355023,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
7,18,198,320,121,2.0353666666687023,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
16,19,320,339,18,0.3169833333336503,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
9,21,227,436,208,3.4868166666701534,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
15,27,313,607,293,4.904900000004905,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
12,28,411,621,209,3.5035000000035037,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
13,29,426,638,211,3.5368666666702038,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
19,30,468,652,183,3.069733333336403,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
22,31,498,686,187,3.1364666666698033,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
21,33,436,725,288,4.821483333338155,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
18,35,466,755,288,4.821483333338155,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
24,36,608,768,159,2.6693333333360028,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
23,41,596,868,271,4.537866666671205,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
25,42,643,883,239,4.004000000004004,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
20,43,630,895,264,4.421083333337754,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
