track_id,boundary_type,boundary_frame,boundary_x,boundary_y,hand,endpoint_distance_px,recent_min_distance_px,endpoint_distance_normalized,recent_min_distance_normalized,n_synchronized_samples,motion,signed_trend,proximity_band,hand_evidence,post_contact,eligible_hand_set,preferred_hand,ambiguous,evidence_reason
1,START,2,581.599000,214.712000,LEFT,251.388679,228.089983,3.705939,3.362473,5,APPROACHING,-5.143881,FAR,0,0,{},,0,far
1,START,2,581.599000,214.712000,RIGHT,200.692090,200.692090,2.958577,2.958577,5,SEPARATING,7.806388,FAR,0,0,{},,0,far
1,END,102,633.822000,376.664000,LEFT,30.479704,30.479704,0.464991,0.464991,5,APPROACHING,-10.730968,POSSIBLE,1,0,{LEFT},LEFT,0,possible + approaching
1,END,102,633.822000,376.664000,RIGHT,110.397006,110.397006,1.684191,1.684191,5,APPROACHING,-9.381433,FAR,0,0,{LEFT},LEFT,0,far
2,START,2,634.852000,238.092000,LEFT,222.835480,169.589575,3.285012,2.500067,5,APPROACHING,-12.664672,FAR,0,0,{},,0,far
2,START,2,634.852000,238.092000,RIGHT,198.004641,198.004641,2.918959,2.918959,5,SEPARATING,1.184355,FAR,0,0,{},,0,far
2,END,20,664.524000,411.713000,LEFT,15.560695,15.560695,0.232079,0.232079,5,APPROACHING,-3.677847,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
2,END,20,664.524000,411.713000,RIGHT,110.159018,110.159018,1.642963,1.642963,5,APPROACHING,-8.303588,FAR,0,0,{LEFT},LEFT,0,far
3,START,2,585.701000,307.544000,LEFT,160.322322,160.322322,2.363451,2.363451,5,SEPARATING,2.691558,FAR,0,0,{},,0,far
3,START,2,585.701000,307.544000,RIGHT,113.687699,113.687699,1.675969,1.675969,5,SEPARATING,16.222578,FAR,0,0,{},,0,far
3,END,55,636.645000,462.249000,LEFT,6.299707,6.299707,0.094875,0.094875,5,NEUTRAL,-0.119481,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
3,END,55,636.645000,462.249000,RIGHT,82.959942,79.931416,1.249397,1.203786,5,NEUTRAL,-0.117908,FAR,0,0,{LEFT},LEFT,0,far
4,START,2,534.507000,378.816000,LEFT,127.762737,99.613655,1.883462,1.468492,5,APPROACHING,-6.800639,FAR,0,0,{},,0,far
4,START,2,534.507000,378.816000,RIGHT,31.812725,21.273596,0.468979,0.313613,5,APPROACHING,-2.855077,POSSIBLE,0,0,{},,0,possible
4,END,83,643.324000,464.971000,LEFT,9.971752,5.573080,0.150610,0.084174,5,SEPARATING,0.581235,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
4,END,83,643.324000,464.971000,RIGHT,93.778438,87.800785,1.416400,1.326116,5,APPROACHING,-0.637980,FAR,0,0,{LEFT},LEFT,0,far
5,START,9,617.120000,396.157000,LEFT,23.255841,23.255841,0.353400,0.353400,5,SEPARATING,12.761225,POSSIBLE,1,0,{LEFT},LEFT,0,possible + separating
5,START,9,617.120000,396.157000,RIGHT,85.510423,85.510423,1.299432,1.299432,5,SEPARATING,13.080112,FAR,0,0,{LEFT},LEFT,0,far
5,END,71,553.037000,470.285000,LEFT,113.802407,79.413466,1.752478,1.222912,5,SEPARATING,6.961924,FAR,0,0,{RIGHT},RIGHT,0,far
5,END,71,553.037000,470.285000,RIGHT,10.552169,4.328904,0.162496,0.066662,5,SEPARATING,1.380408,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
6,START,34,620.057000,454.538000,LEFT,10.971919,10.235051,0.166516,0.155333,5,SEPARATING,5.530281,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
6,START,34,620.057000,454.538000,RIGHT,82.973986,74.100935,1.259261,1.124599,5,SEPARATING,4.101133,FAR,0,0,{LEFT},LEFT,0,far
6,END,96,540.905000,447.833000,LEFT,94.603839,88.886387,1.426819,1.340589,5,APPROACHING,-3.315669,FAR,0,0,{RIGHT},RIGHT,0,far
6,END,96,540.905000,447.833000,RIGHT,10.944352,8.974274,0.165063,0.135350,5,APPROACHING,-4.599699,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
7,START,63,618.424000,444.946000,LEFT,11.630052,10.547600,0.173020,0.156916,5,SEPARATING,5.765261,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
7,START,63,618.424000,444.946000,RIGHT,69.233653,63.961190,1.029987,0.951549,5,SEPARATING,3.941188,FAR,0,0,{LEFT},LEFT,0,far
7,END,198,653.756000,465.705000,LEFT,9.845150,7.964757,0.149268,0.120759,5,APPROACHING,-1.916244,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
7,END,198,653.756000,465.705000,RIGHT,117.572603,112.360738,1.782591,1.703571,5,SEPARATING,0.983965,FAR,0,0,{LEFT},LEFT,0,far
