track_id,boundary_type,boundary_frame,event_type,boundary_x,boundary_y,eligible_hand_set,preferred_hand,ambiguous,hand_evidence,evidence_reason,video_start_boundary,video_end_boundary,proximity_band,motion,endpoint_distance_px,endpoint_distance_normalized,recent_min_distance_px,recent_min_distance_normalized,post_contact
1,START,2,NON_HAND_START,581.599000,214.712000,{},,0,0,far,1,0,,,,,,,0
2,START,2,NON_HAND_START,634.852000,238.092000,{},,0,0,far,1,0,,,,,,,0
3,START,2,NON_HAND_START,585.701000,307.544000,{},,0,0,far,1,0,,,,,,,0
4,START,2,NON_HAND_START,534.507000,378.816000,{},,0,0,far,1,0,,,,,,,0
5,START,9,HAND_EXIT,617.120000,396.157000,{LEFT},LEFT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,23.255841,0.353400,23.255841,0.353400,0
2,END,20,HAND_ENTRY,664.524000,411.713000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,15.560695,0.232079,15.560695,0.232079,0
6,START,34,HAND_EXIT,620.057000,454.538000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,10.971919,0.166516,10.235051,0.155333,0
3,END,55,HAND_ENTRY,636.645000,462.249000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,NEUTRAL,6.299707,0.094875,6.299707,0.094875,0
7,START,63,HAND_EXIT,618.424000,444.946000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,11.630052,0.173020,10.547600,0.156916,0
5,END,71,HAND_ENTRY,553.037000,470.285000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,10.552169,0.162496,4.328904,0.066662,0
4,END,83,HAND_ENTRY,643.324000,464.971000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,9.971752,0.150610,5.573080,0.084174,0
8,START,83,HAND_EXIT,580.234000,390.379000,{RIGHT},RIGHT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,34.507575,0.523072,34.507575,0.523072,0
6,END,96,HAND_ENTRY,540.905000,447.833000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,10.944352,0.165063,8.974274,0.135350,0
1,END,102,HAND_ENTRY,633.822000,376.664000,{LEFT},LEFT,0,1,possible + approaching,0,0,POSSIBLE,APPROACHING,30.479704,0.464991,30.479704,0.464991,0
9,START,102,NON_HAND_START,603.304000,311.287000,{},,0,0,far,0,0,,,,,,,0
10,START,111,HAND_EXIT,637.556000,458.379000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,0.598907,0.008804,0.598907,0.008804,0
11,START,111,HAND_EXIT,592.300000,382.924000,{RIGHT},RIGHT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,38.352232,0.567458,38.352232,0.567458,0
7,END,198,HAND_ENTRY,653.756000,465.705000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,9.845150,0.149268,7.964757,0.120759,0
12,START,206,HAND_EXIT,626.626000,432.722000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,4.920650,0.078893,4.920650,0.078893,0
8,END,212,HAND_ENTRY,538.871000,464.131000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,14.146698,0.221933,14.146698,0.221933,0
13,START,222,HAND_EXIT,573.151000,448.078000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,6.343939,0.097349,6.343939,0.097349,0
9,END,227,HAND_ENTRY,642.046000,476.948000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,16.358030,0.251017,4.318300,0.066265,0
11,END,242,HAND_ENTRY,554.966000,484.558000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,21.292282,0.336578,5.900997,0.093280,0
14,START,244,NON_HAND_START,605.957000,317.614000,{},,0,0,far,0,0,,,,,,,0
15,START,253,HAND_EXIT,573.646000,395.319000,{RIGHT},RIGHT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,25.254539,0.370052,25.254539,0.370052,0
10,END,255,HAND_ENTRY,632.456000,466.133000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,9.364371,0.140156,3.700387,0.055383,0
16,START,274,NON_HAND_START,601.177000,312.203000,{},,0,0,far,0,0,,,,,,,0
