frame,event_type,track_id,action,resolved_hand,matched_source_track_id,pending_before,pending_after
9,HAND_EXIT,5,UNMATCHED_NO_COMPATIBLE_SOURCE,,,,
20,HAND_ENTRY,2,PENDING_ENTRY,,,,T2:{LEFT}
34,HAND_EXIT,6,MATCHED_FIFO,LEFT,2,T2:{LEFT},
55,HAND_ENTRY,3,PENDING_ENTRY,,,,T3:{LEFT}
63,HAND_EXIT,7,MATCHED_FIFO,LEFT,3,T3:{LEFT},
71,HAND_ENTRY,5,PENDING_ENTRY,,,,T5:{RIGHT}
83,HAND_EXIT,8,MATCHED_FIFO,RIGHT,5,T5:{RIGHT},
83,HAND_ENTRY,4,PENDING_ENTRY,,,,T4:{LEFT}
96,HAND_ENTRY,6,PENDING_ENTRY,,,T4:{LEFT},T4:{LEFT};T6:{RIGHT}
102,HAND_ENTRY,1,PENDING_ENTRY,,,T4:{LEFT};T6:{RIGHT},T4:{LEFT};T6:{RIGHT};T1:{LEFT}
111,HAND_EXIT,10,MATCHED_FIFO,LEFT,4,T4:{LEFT};T6:{RIGHT};T1:{LEFT},T6:{RIGHT};T1:{LEFT}
111,HAND_EXIT,11,MATCHED_FIFO,RIGHT,6,T6:{RIGHT};T1:{LEFT},T1:{LEFT}
198,HAND_ENTRY,7,PENDING_ENTRY,,,T1:{LEFT},T1:{LEFT};T7:{LEFT}
206,HAND_EXIT,12,MATCHED_FIFO,LEFT,1,T1:{LEFT};T7:{LEFT},T7:{LEFT}
212,HAND_ENTRY,8,PENDING_ENTRY,,,T7:{LEFT},T7:{LEFT};T8:{RIGHT}
222,HAND_EXIT,13,MATCHED_FIFO,RIGHT,8,T7:{LEFT};T8:{RIGHT},T7:{LEFT}
227,HAND_ENTRY,9,PENDING_ENTRY,,,T7:{LEFT},T7:{LEFT};T9:{LEFT}
242,HAND_ENTRY,11,PENDING_ENTRY,,,T7:{LEFT};T9:{LEFT},T7:{LEFT};T9:{LEFT};T11:{RIGHT}
253,HAND_EXIT,15,MATCHED_FIFO,RIGHT,11,T7:{LEFT};T9:{LEFT};T11:{RIGHT},T7:{LEFT};T9:{LEFT}
255,HAND_ENTRY,10,PENDING_ENTRY,,,T7:{LEFT};T9:{LEFT},T7:{LEFT};T9:{LEFT};T10:{LEFT}
296,HAND_ENTRY,14,PENDING_ENTRY,,,T7:{LEFT};T9:{LEFT};T10:{LEFT},T7:{LEFT};T9:{LEFT};T10:{LEFT};T14:{RIGHT}
309,HAND_EXIT,17,MATCHED_FIFO,RIGHT,14,T7:{LEFT};T9:{LEFT};T10:{LEFT};T14:{RIGHT},T7:{LEFT};T9:{LEFT};T10:{LEFT}
