track_id,boundary_type,boundary_frame,event_type,eligible_hand_set,preferred_hand,ambiguous,hand_evidence,video_start_boundary,video_end_boundary,reason
5,START,9,HAND_EXIT,{LEFT},LEFT,0,1,0,0,NO_COMPATIBLE_PENDING_SOURCE
10,END,255,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,EXPIRED_PENDING_SOURCE
17,END,519,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,EXPIRED_PENDING_SOURCE
27,END,672,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
29,END,709,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
30,END,716,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
33,END,725,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
31,END,743,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
28,END,758,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
34,END,787,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
32,END,853,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
38,END,853,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
26,END,878,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
39,END,888,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
36,END,899,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,1,VIDEO_END_PENDING_ENTRY
43,END,899,HAND_ENTRY,{LEFT},LEFT,0,1,0,1,VIDEO_END_PENDING_ENTRY
