video,frame,time_seconds,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.520336,622.243,222.151,640.650,243.400,631.446,232.776,18.407,21.249
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.491257,527.211,350.543,546.713,370.636,536.962,360.589,19.502,20.094
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.328014,575.466,207.646,593.616,228.390,584.541,218.018,18.150,20.744
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.228428,622.316,221.265,640.708,242.702,631.512,231.984,18.392,21.437
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.729503,526.517,363.148,544.381,383.954,535.449,373.551,17.864,20.806
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.707265,624.462,225.146,645.812,246.685,635.137,235.915,21.351,21.539
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.487728,571.922,205.548,592.842,225.525,582.382,215.537,20.920,19.977
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.362128,576.024,302.227,594.888,320.493,585.456,311.360,18.864,18.266
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.691181,625.715,230.621,645.964,251.038,635.839,240.830,20.249,20.418
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.674804,570.419,202.104,591.447,225.004,580.933,213.554,21.028,22.900
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.631004,575.869,291.427,596.925,312.636,586.397,302.032,21.056,21.209
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.532541,523.310,376.553,543.647,395.288,533.479,385.921,20.338,18.735
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.512452,627.821,236.485,647.962,256.545,637.892,246.515,20.141,20.060
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.353407,576.842,281.692,598.262,303.239,587.552,292.465,21.420,21.546
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.350486,521.590,390.041,543.952,408.783,532.771,399.412,22.362,18.742
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.304949,569.513,202.045,589.470,221.839,579.492,211.942,19.956,19.795
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,32,sports ball,0.391824,521.361,399.605,541.231,417.398,531.296,408.501,19.870,17.793
