video,frame,time_seconds,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,frame_local_instance_index,mask_area_px,mask_centroid_x,mask_centroid_y,mask_centroid_valid,polygon_points
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.520336,622.243,222.151,640.650,243.400,631.446,232.776,18.407,21.249,0,354,631.599,233.508,1,"623,224;623,225;623,226;623,227;623,228;623,229;623,230;623,231;623,232;623,233;623,234;623,235;623,236;623,237;623,238;623,239;624,240;625,241;626,242;627,243;628,244;629,244;630,244;631,244;632,244;633,244;634,244;635,244;636,244;637,244;638,243;639,242;639,241;640,240;640,239;640,238;640,237;640,236;640,235;640,234;640,233;640,232;640,231;640,230;640,229;640,228;640,227;640,226;639,225;639,224;638,224;637,224;636,224;635,224;634,224;633,224;632,224;631,224;630,224;629,224;628,224;627,224;626,224;624,224"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.491257,527.211,350.543,546.713,370.636,536.962,360.589,19.502,20.094,1,371,537.175,360.431,1,"531,351;530,352;529,352;528,353;528,354;528,355;528,356;528,357;528,358;528,359;528,360;528,361;528,362;528,363;528,364;528,365;528,366;528,367;528,368;529,369;530,370;531,370;532,370;533,370;534,370;535,370;536,370;537,370;538,370;539,370;540,370;541,370;542,370;543,369;544,368;545,367;546,367;547,366;547,365;547,364;547,363;547,362;547,361;547,360;547,359;547,358;547,357;547,356;547,355;546,354;545,353;544,352;544,351;543,351;542,351;541,351;540,351;539,351;538,351;537,351;536,351;535,351;534,351;532,351"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.328014,575.466,207.646,593.616,228.390,584.541,218.018,18.150,20.744,2,362,584.381,218.829,1,"576,209;576,210;576,211;576,212;576,213;576,214;576,215;576,216;576,217;576,218;576,219;576,220;576,221;576,222;576,223;576,224;576,225;576,226;576,227;577,228;578,228;579,229;580,229;581,229;582,229;583,229;584,229;585,229;586,229;587,229;588,229;589,229;590,229;590,228;591,227;591,226;592,225;592,224;593,223;594,222;594,221;594,220;594,219;594,218;594,217;594,216;594,215;594,214;594,213;593,213;592,212;591,211;590,210;589,209;588,209;587,209;586,209;585,209;584,209;583,209;582,209;581,209;580,209;577,209"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.228428,622.316,221.265,640.708,242.702,631.512,231.984,18.392,21.437,3,387,631.501,232.633,1,"623,222;623,223;623,224;623,225;623,226;623,227;623,228;623,229;623,230;623,231;623,232;623,233;623,234;623,235;623,236;623,237;623,238;623,239;624,240;625,241;626,242;627,243;627,244;628,244;629,244;630,244;631,244;632,244;633,244;634,244;635,244;636,244;637,244;638,243;639,242;639,241;640,240;640,239;640,238;640,237;640,236;640,235;640,234;640,233;640,232;640,231;640,230;640,229;640,228;640,227;640,226;640,225;639,224;638,223;637,222;636,222;635,222;634,222;633,222;632,222;631,222;630,222;629,222;624,222"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.729503,526.517,363.148,544.381,383.954,535.449,373.551,17.864,20.806,0,337,535.392,373.312,1,"528,364;528,365;528,366;527,367;527,368;527,369;527,370;527,371;527,372;527,373;527,374;527,375;527,376;527,377;527,378;527,379;527,380;528,381;529,382;530,383;531,383;532,383;533,383;534,383;535,383;536,383;537,383;538,383;539,383;540,383;541,382;542,381;543,381;543,380;544,379;544,378;544,377;544,376;544,375;544,374;544,373;544,372;544,371;544,370;544,369;544,368;543,367;543,366;543,365;542,364;541,364;540,364;539,364;538,364;537,364;536,364;535,364;534,364;533,364;532,364;531,364;530,364;529,364"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.707265,624.462,225.146,645.812,246.685,635.137,235.915,21.351,21.539,1,429,634.786,236.744,1,"627,226;626,227;625,228;625,229;625,230;625,231;625,232;625,233;625,234;625,235;625,236;625,237;625,238;625,239;625,240;625,241;625,242;625,243;626,244;627,244;628,245;629,246;629,247;630,248;631,248;632,248;633,248;634,248;635,248;636,248;637,248;638,248;639,248;640,248;640,247;641,246;642,245;643,244;644,243;645,242;646,241;646,240;646,239;646,238;646,237;646,236;646,235;646,234;646,233;645,233;644,232;643,231;643,230;642,229;641,229;640,228;640,227;640,226;639,226;638,226;637,226;636,226;635,226;628,226"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.487728,571.922,205.548,592.842,225.525,582.382,215.537,20.920,19.977,2,378,581.981,216.759,1,"572,208;572,209;572,210;572,211;572,212;572,213;572,214;572,215;572,216;572,217;572,218;572,219;572,220;572,221;573,222;574,223;575,224;576,225;577,226;578,227;579,227;580,227;581,227;582,227;583,227;584,227;585,227;586,227;587,227;587,226;588,225;589,224;590,224;591,223;591,222;592,221;592,220;592,219;592,218;592,217;592,216;592,215;592,214;592,213;592,212;592,211;592,210;591,209;590,208;589,208;588,208;587,208;586,208;585,208;584,208;583,208;582,208;581,208;580,208;579,208;578,208;577,208;576,208;573,208"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.362128,576.024,302.227,594.888,320.493,585.456,311.360,18.864,18.266,3,335,585.588,312.006,1,"579,303;578,304;577,305;577,306;577,307;577,308;577,309;577,310;577,311;577,312;577,313;577,314;577,315;577,316;577,317;577,318;577,319;577,320;578,321;579,321;580,321;581,321;582,321;583,321;584,321;585,321;586,321;587,321;588,321;589,321;590,321;591,321;591,320;592,319;593,318;594,318;595,317;595,316;595,315;595,314;595,313;595,312;595,311;595,310;595,309;595,308;595,307;594,306;593,305;592,304;591,303;590,303;589,303;588,303;587,303;586,303;585,303;584,303;583,303;582,303;581,303;580,303"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.691181,625.715,230.621,645.964,251.038,635.839,240.830,20.249,20.418,0,365,635.899,241.592,1,"629,232;628,233;627,234;627,235;627,236;627,237;627,238;627,239;627,240;627,241;627,242;627,243;627,244;627,245;627,246;627,247;627,248;628,249;629,250;630,251;631,252;632,252;633,252;634,252;635,252;636,252;637,252;638,252;639,252;640,252;640,251;641,250;642,249;643,248;644,247;645,246;646,245;646,244;646,243;646,242;646,241;646,240;646,239;646,238;646,237;645,237;644,236;644,235;643,234;642,233;642,232;641,232;640,232;639,232;638,232;637,232;636,232;635,232;634,232;633,232;632,232;631,232;630,232"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.674804,570.419,202.104,591.447,225.004,580.933,213.554,21.028,22.900,1,410,580.624,214.127,1,"573,204;572,205;571,206;571,207;571,208;571,209;571,210;571,211;571,212;571,213;571,214;571,215;571,216;571,217;571,218;571,219;571,220;571,221;572,221;573,222;574,223;575,224;576,225;577,225;578,225;579,225;580,225;581,225;582,225;583,225;584,225;585,225;586,225;587,224;587,223;587,222;588,221;589,220;590,220;591,219;591,218;591,217;591,216;591,215;591,214;591,213;591,212;591,211;591,210;591,209;590,208;589,207;588,206;587,205;587,204;586,204;585,204;584,204;583,204;582,204;581,204;580,204;579,204;574,204"
