frame,time_seconds,track_id,confidence,center_x,center_y,observed
2,0.033367,2,0.691181,635.172,238.255,1
2,0.033367,3,0.532541,534.535,378.973,1
2,0.033367,1,0.674804,581.806,214.705,1
3,0.050050,2,0.512452,636.814,243.073,1
3,0.050050,3,0.350486,533.401,391.148,1
3,0.050050,1,0.304949,580.392,213.003,1
3,0.050050,4,0.353407,586.928,297.774,1
4,0.066733,2,0.161652,638.549,249.019,1
4,0.066733,3,0.391824,531.970,403.248,1
4,0.066733,1,0.161299,579.094,211.823,1
4,0.066733,4,0.316042,588.164,289.110,1
5,0.083417,2,0.655616,640.083,255.256,1
5,0.083417,3,0.186730,530.366,414.801,1
5,0.083417,1,0.451950,577.330,211.030,1
5,0.083417,4,0.449771,589.675,279.228,1
6,0.100100,2,0.705946,642.246,262.578,1
6,0.100100,3,0.372006,529.633,424.178,1
6,0.100100,1,0.286963,575.628,210.488,1
6,0.100100,4,0.636961,591.199,269.364,1
7,0.116783,2,0.628036,644.138,270.589,1
7,0.116783,3,0.372006,528.608,433.482,0
7,0.116783,1,0.209964,573.925,210.642,1
7,0.116783,4,0.356094,592.614,260.027,1
8,0.133467,2,0.509259,646.119,278.207,1
8,0.133467,3,0.295342,529.999,442.373,1
8,0.133467,1,0.441998,572.406,210.991,1
8,0.133467,4,0.639744,594.229,251.504,1
9,0.150150,2,0.189492,648.373,286.737,1
9,0.150150,3,0.295342,529.633,451.564,0
9,0.150150,1,0.337665,570.689,212.419,1
9,0.150150,4,0.561583,595.656,243.653,1
9,0.150150,5,0.170874,617.046,396.107,1
10,0.166833,2,0.791488,649.985,296.504,1
10,0.166833,3,0.183529,533.417,459.197,1
10,0.166833,1,0.722286,569.007,214.215,1
10,0.166833,4,0.779948,596.980,236.661,1
10,0.166833,5,0.275229,615.877,378.884,1
11,0.183517,2,0.770512,651.618,306.478,1
11,0.183517,3,0.183529,534.158,467.973,0
11,0.183517,1,0.696443,567.501,216.931,1
11,0.183517,4,0.782404,598.400,230.705,1
11,0.183517,5,0.662768,614.672,362.383,1
12,0.200200,2,0.803218,653.293,316.947,1
12,0.200200,3,0.206825,539.919,474.388,1
12,0.200200,1,0.772007,566.008,220.103,1
12,0.200200,4,0.757733,599.708,224.843,1
12,0.200200,5,0.525847,613.876,346.961,1
13,0.216883,2,0.803346,654.953,328.047,1
13,0.216883,3,0.210471,545.781,480.661,1
13,0.216883,1,0.706061,564.441,223.835,1
13,0.216883,4,0.745291,600.824,219.890,1
13,0.216883,5,0.206805,612.455,333.259,1
14,0.233567,2,0.816492,656.789,339.369,1
14,0.233567,3,0.231997,551.334,485.355,1
14,0.233567,1,0.815579,563.112,228.167,1
14,0.233567,4,0.775006,602.148,215.563,1
14,0.233567,5,0.388945,610.924,319.558,1
15,0.250250,2,0.655423,658.387,351.811,1
15,0.250250,3,0.275121,556.504,487.940,1
15,0.250250,1,0.737927,561.483,232.913,1
15,0.250250,4,0.632077,603.566,211.972,1
15,0.250250,5,0.453100,609.455,307.320,1
16,0.266933,2,0.246646,660.199,364.739,1
16,0.266933,3,0.275121,560.613,493.676,0
16,0.266933,1,0.541192,560.102,238.314,1
16,0.266933,4,0.322445,604.977,208.954,1
16,0.266933,5,0.453100,608.162,293.834,0
17,0.283617,2,0.703098,662.038,378.023,1
17,0.283617,3,0.179633,564.622,487.977,1
17,0.283617,1,0.535457,558.579,244.150,1
17,0.283617,4,0.584905,606.279,206.584,1
17,0.283617,5,0.286077,606.884,284.226,1
18,0.300300,2,0.365546,663.428,390.508,1
18,0.300300,3,0.212988,567.443,478.402,1
18,0.300300,1,0.525978,556.793,250.854,1
18,0.300300,4,0.275226,607.575,204.675,1
18,0.300300,5,0.236850,605.654,275.271,1
19,0.316983,2,0.252631,664.353,401.274,1
19,0.316983,3,0.212988,571.191,477.847,0
19,0.316983,1,0.292818,555.252,257.564,1
19,0.316983,4,0.233985,608.801,203.263,1
19,0.316983,5,0.236850,604.381,263.737,0
20,0.333667,2,0.252631,665.821,412.921,0
20,0.333667,3,0.212988,574.938,477.292,0
20,0.333667,1,0.421339,553.722,265.403,1
20,0.333667,4,0.268039,609.854,202.373,1
20,0.333667,5,0.294671,603.586,257.068,1
21,0.350350,2,0.174746,664.980,421.389,1
21,0.350350,3,0.212988,578.686,476.736,0
21,0.350350,1,0.563527,551.928,273.378,1
21,0.350350,4,0.386736,611.072,202.108,1
21,0.350350,5,0.201380,602.498,250.566,1
22,0.367033,2,0.265686,662.647,429.570,1
22,0.367033,3,0.212988,582.434,476.181,0
22,0.367033,1,0.248285,550.421,281.937,1
22,0.367033,4,0.247327,612.534,202.278,1
22,0.367033,5,0.232620,601.474,244.495,1
23,0.383717,2,0.255117,659.864,438.558,1
23,0.383717,3,0.212988,586.181,475.626,0
23,0.383717,1,0.529247,548.891,290.918,1
23,0.383717,4,0.443845,613.802,203.220,1
23,0.383717,5,0.445101,600.284,238.667,1
24,0.400400,2,0.255117,659.132,448.368,0
24,0.400400,1,0.247489,547.539,300.298,1
24,0.400400,4,0.364763,615.192,204.507,1
24,0.400400,5,0.168895,599.205,233.216,1
25,0.417083,2,0.255117,658.400,458.179,0
25,0.417083,1,0.224193,546.199,310.102,1
25,0.417083,4,0.351409,616.859,206.135,1
25,0.417083,5,0.168895,598.092,226.096,0
26,0.433767,2,0.255117,657.668,467.989,0
26,0.433767,1,0.348213,544.664,320.806,1
26,0.433767,4,0.490498,618.146,208.440,1
26,0.433767,5,0.206068,596.825,221.532,1
27,0.450450,2,0.255117,656.937,477.800,0
27,0.450450,1,0.605817,542.974,332.534,1
27,0.450450,4,0.788322,619.592,210.925,1
27,0.450450,5,0.685467,595.663,217.427,1
27,0.450450,6,0.563541,583.314,352.819,1
28,0.467133,2,0.186313,647.368,481.259,1
28,0.467133,1,0.676936,541.460,344.664,1
28,0.467133,4,0.709386,621.374,214.116,1
28,0.467133,5,0.685467,594.506,211.605,0
28,0.467133,6,0.402607,584.970,337.814,1
29,0.483817,2,0.186313,644.291,489.384,0
29,0.483817,1,0.761959,539.917,357.511,1
29,0.483817,4,0.742643,622.684,217.837,1
29,0.483817,5,0.473697,593.468,208.839,1
29,0.483817,6,0.164259,586.815,324.027,1
30,0.500500,2,0.186313,641.214,497.508,0
30,0.500500,1,0.791554,538.103,370.854,1
30,0.500500,4,0.686137,623.729,222.419,1
30,0.500500,5,0.493931,592.186,206.950,1
30,0.500500,6,0.164259,588.528,310.826,0
31,0.517183,1,0.670398,536.379,384.293,1
31,0.517183,4,0.732044,625.183,227.465,1
31,0.517183,5,0.620168,590.982,204.945,1
31,0.517183,6,0.627532,590.215,300.097,1
32,0.533867,1,0.691442,534.495,397.785,1
32,0.533867,4,0.507895,626.635,233.057,1
32,0.533867,5,0.348250,589.968,203.738,1
32,0.533867,6,0.244766,591.811,290.207,1
33,0.550550,1,0.706362,533.097,409.345,1
33,0.550550,4,0.670345,627.762,239.008,1
33,0.550550,5,0.563000,588.798,202.584,1
33,0.550550,6,0.419909,593.327,281.318,1
34,0.567233,1,0.178366,532.325,418.987,1
34,0.567233,4,0.196300,628.928,245.713,1
34,0.567233,5,0.432346,587.554,201.768,1
34,0.567233,6,0.477381,594.709,273.359,1
35,0.583917,1,0.518778,532.113,426.556,1
35,0.583917,4,0.331368,630.281,253.240,1
35,0.583917,5,0.221799,586.500,201.269,1
35,0.583917,6,0.596395,596.048,266.041,1
36,0.600600,1,0.645628,532.797,433.977,1
36,0.600600,4,0.739303,631.458,260.984,1
36,0.600600,5,0.328734,585.691,201.285,1
36,0.600600,6,0.731548,597.185,259.439,1
37,0.617283,1,0.497353,534.222,440.689,1
37,0.617283,4,0.449345,632.444,269.338,1
37,0.617283,5,0.469136,584.553,201.845,1
37,0.617283,6,0.545072,598.414,253.302,1
37,0.617283,7,0.209794,613.901,413.516,1
38,0.633967,1,0.497353,534.149,449.583,0
38,0.633967,4,0.449345,633.637,276.171,0
38,0.633967,5,0.469136,583.479,201.115,0
38,0.633967,6,0.383674,599.540,247.179,1
38,0.633967,7,0.209794,612.872,405.645,0
39,0.650650,1,0.297103,537.608,456.609,1
39,0.650650,4,0.486118,635.112,286.113,1
39,0.650650,5,0.304835,582.302,203.642,1
39,0.650650,6,0.560597,600.503,241.562,1
39,0.650650,7,0.406510,610.817,386.540,1
40,0.667333,1,0.297103,538.472,465.008,0
40,0.667333,4,0.486118,636.379,293.772,0
40,0.667333,5,0.151861,581.130,206.845,1
40,0.667333,6,0.155597,602.065,236.328,1
40,0.667333,7,0.276511,609.325,367.788,1
41,0.684017,1,0.297103,539.337,473.406,0
41,0.684017,4,0.611210,637.749,305.188,1
41,0.684017,5,0.627465,579.711,209.986,1
41,0.684017,6,0.611035,603.565,231.865,1
41,0.684017,7,0.276511,607.914,353.938,0
42,0.700700,1,0.297103,540.201,481.804,0
42,0.700700,4,0.619913,639.113,317.723,1
42,0.700700,5,0.443288,578.505,213.403,1
42,0.700700,6,0.711438,604.887,227.972,1
42,0.700700,7,0.276511,606.503,340.088,0
43,0.717383,1,0.279495,548.109,485.050,1
43,0.717383,4,0.748047,640.488,330.001,1
43,0.717383,5,0.692627,577.329,217.538,1
43,0.717383,6,0.697775,606.219,224.561,1
43,0.717383,7,0.206942,604.655,325.093,1
44,0.734067,1,0.173887,555.221,486.993,1
44,0.734067,4,0.640303,641.901,343.030,1
44,0.734067,5,0.386026,576.048,222.137,1
44,0.734067,6,0.713336,607.810,221.792,1
44,0.734067,7,0.418571,603.349,311.736,1
45,0.750750,1,0.173887,559.116,492.674,0
45,0.750750,4,0.757787,643.360,356.770,1
45,0.750750,5,0.635987,574.765,227.086,1
45,0.750750,6,0.755908,609.248,219.350,1
45,0.750750,7,0.558390,601.865,299.965,1
46,0.767433,1,0.173887,563.012,498.354,0
46,0.767433,4,0.579233,644.604,370.595,1
46,0.767433,5,0.476426,573.524,232.387,1
46,0.767433,6,0.410896,610.644,217.513,1
46,0.767433,7,0.609480,600.025,289.818,1
47,0.784117,1,0.173887,566.908,504.035,0
47,0.784117,4,0.229819,646.725,385.132,1
47,0.784117,5,0.273621,572.427,238.309,1
47,0.784117,6,0.453622,612.194,216.381,1
47,0.784117,7,0.469265,598.513,280.598,1
48,0.800800,1,0.291114,572.018,488.852,1
48,0.800800,4,0.229819,648.275,398.045,0
48,0.800800,5,0.406793,571.112,244.711,1
48,0.800800,6,0.494568,613.459,215.626,1
48,0.800800,7,0.515889,597.336,271.581,1
49,0.817483,1,0.583517,575.943,471.736,1
49,0.817483,4,0.229819,649.825,410.958,0
49,0.817483,5,0.667183,569.390,251.912,1
49,0.817483,6,0.732724,615.173,215.186,1
49,0.817483,7,0.702924,595.912,263.440,1
50,0.834167,1,0.574841,578.956,454.224,1
50,0.834167,4,0.229819,651.375,423.871,0
50,0.834167,5,0.648950,568.301,259.406,1
50,0.834167,6,0.700894,616.912,215.356,1
50,0.834167,7,0.670254,594.888,255.717,1
51,0.850850,1,0.661359,580.984,436.255,1
51,0.850850,4,0.368724,649.382,432.831,1
51,0.850850,5,0.727475,567.173,267.781,1
51,0.850850,6,0.759135,618.197,216.234,1
51,0.850850,7,0.588737,594.074,248.594,1
52,0.867533,1,0.755440,582.473,418.839,1
52,0.867533,4,0.515902,646.668,441.406,1
52,0.867533,5,0.628400,566.083,276.497,1
52,0.867533,6,0.690087,619.630,217.648,1
52,0.867533,7,0.510220,592.985,241.703,1
53,0.884217,1,0.506866,583.596,401.630,1
53,0.884217,4,0.248347,643.637,449.740,1
53,0.884217,5,0.440197,564.671,285.561,1
53,0.884217,6,0.702815,621.195,219.191,1
53,0.884217,7,0.542754,591.934,235.436,1
53,0.884217,8,0.318686,641.408,438.796,1
54,0.900900,1,0.445728,584.875,385.333,1
54,0.900900,4,0.412554,640.228,456.053,1
54,0.900900,5,0.494583,563.432,295.452,1
54,0.900900,6,0.604019,622.373,221.516,1
54,0.900900,7,0.678200,590.784,230.046,1
54,0.900900,8,0.318686,640.800,441.259,0
55,0.917583,1,0.567656,585.570,370.090,1
55,0.917583,4,0.446058,636.919,462.595,1
55,0.917583,5,0.690792,562.099,305.479,1
55,0.917583,6,0.739434,623.615,224.246,1
55,0.917583,7,0.617776,589.675,224.932,1
55,0.917583,8,0.318686,640.193,443.723,0
56,0.934267,1,0.666733,586.021,356.714,1
56,0.934267,4,0.446058,634.834,471.112,0
56,0.934267,5,0.689885,560.996,316.250,1
56,0.934267,6,0.767710,625.319,227.820,1
56,0.934267,7,0.568763,588.659,220.508,1
56,0.934267,8,0.318686,639.586,446.187,0
57,0.950950,1,0.374805,586.268,343.680,1
57,0.950950,4,0.224231,631.245,475.282,1
57,0.950950,5,0.795619,559.764,327.315,1
57,0.950950,6,0.758809,626.850,231.729,1
57,0.950950,7,0.751987,587.244,216.650,1
58,0.967633,1,0.589034,586.579,332.253,1
58,0.967633,4,0.300362,627.618,478.063,1
58,0.967633,5,0.554070,558.444,339.036,1
58,0.967633,6,0.728981,628.171,236.232,1
58,0.967633,7,0.675180,586.114,213.234,1
59,0.984317,1,0.472487,588.174,321.239,1
59,0.984317,4,0.315644,624.505,479.153,1
59,0.984317,5,0.758831,557.267,351.394,1
59,0.984317,6,0.758849,629.768,241.289,1
59,0.984317,7,0.684799,585.248,210.338,1
60,1.001000,1,0.472487,589.245,308.563,0
60,1.001000,4,0.315644,621.631,483.958,0
60,1.001000,5,0.600824,556.293,364.238,1
60,1.001000,6,0.713524,630.945,246.909,1
60,1.001000,7,0.672473,583.943,208.061,1
61,1.017683,1,0.741392,590.615,300.057,1
61,1.017683,4,0.320709,618.736,476.285,1
61,1.017683,5,0.567083,555.083,377.295,1
61,1.017683,6,0.701524,632.171,253.333,1
61,1.017683,7,0.742752,582.641,205.940,1
62,1.034367,1,0.657682,591.764,292.072,1
62,1.034367,4,0.320709,615.857,477.778,0
62,1.034367,5,0.595352,553.519,390.730,1
62,1.034367,6,0.758631,633.736,259.803,1
62,1.034367,7,0.743725,581.539,204.628,1
63,1.051050,1,0.603956,592.908,284.323,1
63,1.051050,4,0.437586,614.728,460.634,1
63,1.051050,5,0.595352,552.239,402.976,0
63,1.051050,6,0.777111,635.182,267.157,1
63,1.051050,7,0.751466,580.448,203.807,1
64,1.067733,1,0.690153,594.332,277.098,1
64,1.067733,4,0.262764,614.032,442.732,1
64,1.067733,5,0.453737,551.546,413.805,1
64,1.067733,6,0.739581,636.647,274.822,1
64,1.067733,7,0.756375,579.305,203.409,1
65,1.084417,1,0.750115,595.444,270.458,1
65,1.084417,4,0.426281,612.979,423.785,1
65,1.084417,5,0.196704,550.985,424.147,1
65,1.084417,6,0.717461,638.142,283.114,1
65,1.084417,7,0.711467,578.154,203.332,1
66,1.101100,1,0.668215,596.468,264.097,1
66,1.101100,4,0.235946,611.703,405.138,1
66,1.101100,5,0.336603,550.631,432.397,1
66,1.101100,6,0.616323,639.455,291.818,1
66,1.101100,7,0.754240,577.084,203.746,1
67,1.117783,1,0.541297,597.548,257.626,1
67,1.117783,4,0.410327,610.471,387.759,1
67,1.117783,5,0.537194,550.481,440.061,1
67,1.117783,6,0.724065,640.655,301.424,1
67,1.117783,7,0.609841,575.629,204.599,1
68,1.134467,1,0.210300,598.757,252.221,1
68,1.134467,4,0.307221,609.488,371.841,1
68,1.134467,5,0.272427,550.761,448.135,1
68,1.134467,6,0.154955,642.152,311.197,1
68,1.134467,7,0.602238,574.434,205.944,1
69,1.151150,1,0.442089,599.651,247.245,1
69,1.151150,4,0.439021,608.567,357.673,1
69,1.151150,5,0.272427,550.368,457.498,0
69,1.151150,6,0.362267,643.684,322.014,1
69,1.151150,7,0.163605,573.258,207.860,1
70,1.167833,1,0.471295,600.490,242.518,1
70,1.167833,4,0.439021,607.320,343.336,0
70,1.167833,5,0.272427,549.976,466.861,0
70,1.167833,6,0.362267,645.114,331.063,0
70,1.167833,7,0.570783,572.023,210.246,1
71,1.184517,1,0.526270,601.618,238.445,1
71,1.184517,4,0.439021,606.072,328.998,0
71,1.184517,5,0.272427,549.584,476.225,0
71,1.184517,6,0.567742,646.297,343.436,1
71,1.184517,7,0.675061,570.783,213.402,1
72,1.201200,1,0.498986,602.766,234.976,1
72,1.201200,4,0.439021,604.825,314.661,0
72,1.201200,5,0.272427,549.192,485.588,0
72,1.201200,6,0.638630,647.665,356.351,1
72,1.201200,7,0.669978,569.632,217.273,1
73,1.217883,1,0.746450,603.907,232.130,1
73,1.217883,4,0.441347,604.336,305.698,1
73,1.217883,5,0.168633,553.482,487.545,1
73,1.217883,6,0.560299,648.927,369.850,1
73,1.217883,7,0.768633,568.239,221.660,1
74,1.234567,1,0.421638,604.977,229.610,1
74,1.234567,4,0.532327,603.818,297.634,1
74,1.234567,5,0.168633,554.333,494.943,0
74,1.234567,6,0.386436,650.176,382.768,1
74,1.234567,7,0.644097,566.859,226.557,1
75,1.251250,1,0.209648,605.919,227.248,1
75,1.251250,4,0.466059,603.175,290.183,1
75,1.251250,5,0.168633,555.183,502.341,0
75,1.251250,6,0.183650,651.549,393.775,1
75,1.251250,7,0.338825,565.359,231.961,1
76,1.267933,1,0.209648,606.967,223.762,0
76,1.267933,4,0.466059,602.339,279.665,0
76,1.267933,6,0.294052,652.451,405.439,1
76,1.267933,7,0.538565,563.982,237.672,1
77,1.284617,1,0.209648,608.015,220.276,0
77,1.284617,4,0.271148,601.271,273.368,1
77,1.284617,6,0.294052,653.667,417.073,0
77,1.284617,7,0.300565,562.728,244.083,1
78,1.301300,1,0.216932,608.958,221.316,1
78,1.301300,4,0.165909,600.244,267.153,1
78,1.301300,6,0.294052,654.883,428.707,0
78,1.301300,7,0.537813,561.524,250.833,1
79,1.317983,1,0.180970,609.642,222.705,1
79,1.317983,4,0.165909,599.312,258.600,0
79,1.317983,6,0.164042,653.075,434.471,1
79,1.317983,7,0.469855,560.079,258.187,1
80,1.334667,1,0.180970,610.573,221.396,0
80,1.334667,4,0.165909,598.380,250.047,0
80,1.334667,6,0.164042,653.489,444.547,0
80,1.334667,7,0.324468,558.720,265.961,1
81,1.351350,1,0.333372,611.752,223.942,1
81,1.351350,4,0.566140,597.429,246.157,1
81,1.351350,6,0.155687,650.307,450.786,1
81,1.351350,7,0.701270,557.188,274.538,1
82,1.368033,1,0.383160,612.878,226.926,1
82,1.368033,4,0.597270,596.410,242.349,1
82,1.368033,6,0.198937,646.370,456.142,1
82,1.368033,7,0.529948,555.687,283.678,1
83,1.384717,1,0.672311,613.990,230.104,1
83,1.384717,4,0.737213,595.479,238.687,1
83,1.384717,6,0.438861,642.336,463.171,1
83,1.384717,7,0.657657,554.463,293.402,1
83,1.384717,9,0.438146,579.980,390.112,1
84,1.401400,1,0.451131,614.924,233.297,1
84,1.401400,4,0.312793,594.387,235.144,1
84,1.401400,6,0.438861,640.206,470.968,0
84,1.401400,7,0.564443,553.110,303.630,1
84,1.401400,9,0.217267,581.784,377.517,1
85,1.418083,1,0.635773,616.353,236.694,1
85,1.418083,4,0.601250,593.391,231.867,1
85,1.418083,6,0.438861,638.076,478.766,0
85,1.418083,7,0.670345,551.848,314.510,1
85,1.418083,9,0.322746,583.640,364.239,1
86,1.434767,1,0.610598,617.531,240.577,1
86,1.434767,4,0.655365,592.123,229.459,1
86,1.434767,6,0.438861,635.946,486.564,0
86,1.434767,7,0.513124,550.462,326.074,1
86,1.434767,9,0.185322,585.019,350.591,1
87,1.451450,1,0.574201,618.369,244.776,1
87,1.451450,4,0.715320,591.017,227.192,1
87,1.451450,6,0.438861,633.817,494.361,0
87,1.451450,7,0.704775,548.836,337.760,1
87,1.451450,9,0.326695,587.085,337.552,1
88,1.468133,1,0.674857,619.595,249.691,1
88,1.468133,4,0.732577,590.273,224.987,1
88,1.468133,6,0.438861,631.687,502.159,0
88,1.468133,7,0.761225,547.453,350.027,1
88,1.468133,9,0.518259,589.646,325.576,1
89,1.484817,1,0.603796,620.684,255.028,1
89,1.484817,4,0.491657,589.229,223.437,1
89,1.484817,7,0.768222,546.023,362.964,1
89,1.484817,9,0.518259,591.459,314.215,0
90,1.501500,1,0.457423,621.947,261.002,1
90,1.501500,4,0.473510,588.192,222.375,1
90,1.501500,7,0.662721,544.464,376.636,1
90,1.501500,9,0.346599,594.189,303.400,1
91,1.518183,1,0.690379,622.994,267.752,1
91,1.518183,4,0.604549,587.245,221.992,1
91,1.518183,7,0.352709,542.984,390.520,1
91,1.518183,9,0.572020,596.301,293.735,1
92,1.534867,1,0.684757,623.801,274.967,1
92,1.534867,4,0.411021,586.261,222.038,1
92,1.534867,7,0.215457,541.411,403.916,1
92,1.534867,9,0.203384,598.458,284.686,1
93,1.551550,1,0.728833,625.058,282.183,1
93,1.551550,4,0.642705,585.079,222.517,1
93,1.551550,7,0.358622,539.981,415.653,1
93,1.551550,9,0.708368,600.112,276.316,1
94,1.568233,1,0.734612,626.254,290.336,1
94,1.568233,4,0.639525,583.967,223.596,1
94,1.568233,7,0.358622,538.506,428.130,0
94,1.568233,9,0.601743,602.267,269.005,1
95,1.584917,1,0.699077,627.259,299.206,1
95,1.584917,4,0.527896,583.110,225.436,1
95,1.584917,7,0.187392,539.418,437.250,1
95,1.584917,9,0.721377,604.262,262.420,1
96,1.601600,1,0.305191,628.290,308.084,1
96,1.601600,4,0.469983,582.000,227.705,1
96,1.601600,7,0.187392,538.576,448.837,0
96,1.601600,9,0.477390,606.155,256.214,1
97,1.618283,1,0.334691,629.204,318.093,1
97,1.618283,4,0.674203,580.735,230.626,1
97,1.618283,7,0.159151,542.218,456.486,1
97,1.618283,9,0.514763,608.180,250.477,1
98,1.634967,1,0.338162,630.319,329.024,1
98,1.634967,4,0.613162,579.409,233.809,1
98,1.634967,7,0.159151,542.567,467.028,0
98,1.634967,9,0.581797,609.739,244.948,1
99,1.651650,1,0.531758,631.186,339.926,1
99,1.651650,4,0.628528,578.247,237.400,1
99,1.651650,7,0.159151,542.915,477.569,0
99,1.651650,9,0.451336,611.770,240.558,1
100,1.668333,1,0.458198,632.125,351.921,1
100,1.668333,4,0.505819,577.302,241.692,1
100,1.668333,7,0.159151,543.263,488.111,0
100,1.668333,9,0.433794,613.393,236.639,1
101,1.685017,1,0.451307,633.048,364.103,1
101,1.685017,4,0.457681,576.396,245.919,1
101,1.685017,7,0.159151,543.612,498.653,0
101,1.685017,9,0.616198,615.256,233.439,1
102,1.701700,1,0.524874,633.828,376.256,1
102,1.701700,4,0.381512,575.149,251.013,1
102,1.701700,7,0.277877,555.194,493.650,1
102,1.701700,9,0.562223,617.113,230.858,1
103,1.718383,1,0.524874,634.748,387.340,0
103,1.718383,4,0.209486,573.917,257.208,1
103,1.718383,7,0.277877,558.523,500.067,0
103,1.718383,9,0.425411,618.643,228.637,1
104,1.735067,1,0.524874,635.668,398.423,0
104,1.735067,4,0.549081,572.732,263.841,1
104,1.735067,7,0.277877,561.853,506.483,0
104,1.735067,9,0.565526,620.292,226.819,1
105,1.751750,1,0.524874,636.587,409.507,0
105,1.751750,4,0.460209,571.355,271.318,1
105,1.751750,9,0.708387,621.964,225.486,1
106,1.768433,1,0.524874,637.507,420.590,0
106,1.768433,4,0.402779,570.224,279.206,1
106,1.768433,9,0.718106,623.565,224.428,1
106,1.768433,10,0.290641,598.208,272.901,1
107,1.785117,1,0.524874,638.427,431.673,0
107,1.785117,4,0.367327,568.900,287.289,1
107,1.785117,9,0.686760,625.440,223.835,1
107,1.785117,10,0.609004,596.713,263.683,1
108,1.801800,4,0.420042,567.856,295.882,1
108,1.801800,9,0.593363,627.077,223.898,1
108,1.801800,10,0.716215,595.611,255.152,1
109,1.818483,4,0.672388,566.674,305.012,1
109,1.818483,9,0.640615,628.496,224.264,1
