source_tracklet,candidate_tracklet,gap_frames,predicted_x,predicted_y,candidate_start_x,candidate_start_y,prediction_error,source_end_frame,candidate_start_frame,end_velocity_x,end_velocity_y,candidate_rank
1,11,4,643.027000,487.088000,635.544000,464.492000,23.802826,107,112,0.920000,11.083000,1
1,12,4,643.027000,487.088000,593.513000,368.000000,128.971268,107,112,0.920000,11.083000,2
2,7,6,619.675000,554.376000,613.901000,413.516000,140.978292,30,37,-3.077000,8.124000,1
3,6,3,601.169000,473.406000,583.314000,352.819000,121.901705,23,27,3.747000,-0.555000,1
4,13,7,669.696000,555.244000,624.379000,417.620000,144.893050,199,207,-0.540000,9.579000,1
5,9,7,561.983000,561.525000,579.980000,390.112000,172.355181,75,83,0.850000,7.398000,1
7,11,7,588.493000,557.811000,635.544000,464.492000,104.509485,104,112,3.330000,6.416000,1
7,12,7,588.493000,557.811000,593.513000,368.000000,189.877371,104,112,3.330000,6.416000,2
7,10,1,568.513000,519.315000,598.208000,272.901000,248.196802,104,106,3.330000,6.416000,3
9,17,1,621.412000,525.744000,616.191000,437.308000,88.589982,291,293,-2.069000,8.160000,1
12,15,6,556.065000,573.140000,574.163000,395.011000,179.046023,246,253,0.070000,8.178000,1
14,18,9,536.255000,580.624000,573.670000,401.145000,183.337377,299,309,0.676000,9.049000,1
16,19,5,518.229000,538.971000,602.995000,303.126000,250.615520,325,331,-1.188000,10.292000,1
18,22,8,589.523000,502.538000,609.561000,333.176000,170.543275,377,386,-3.207000,1.243000,1
19,27,4,592.669000,325.479000,603.153000,297.362000,30.007998,471,476,-2.308000,-9.694000,1
19,28,7,585.745000,296.397000,575.553000,444.973000,148.925165,471,479,-2.308000,-9.694000,2
20,23,10,560.826000,540.684000,600.131000,284.956000,258.730928,408,419,-4.273000,3.558000,1
21,24,2,586.151000,478.922000,577.258000,404.768000,74.685348,421,424,3.929000,-1.503000,1
22,25,5,531.369000,542.980000,562.028000,485.419000,65.216892,440,446,-1.405000,10.218000,1
22,26,5,531.369000,542.980000,603.049000,305.086000,248.458402,440,446,-1.405000,10.218000,2
23,28,5,543.843000,557.891000,575.553000,444.973000,117.285970,473,479,0.550000,8.904000,1
23,27,2,542.193000,531.179000,603.153000,297.362000,241.633009,473,476,0.550000,8.904000,2
24,29,0,619.859000,497.306000,622.034000,419.705000,77.631474,493,494,-2.366000,3.815000,1
25,36,4,616.935000,527.663000,617.255000,402.493000,125.170409,665,670,-1.685000,5.470000,1
26,30,7,554.499000,559.416000,579.505000,393.427000,167.861991,502,510,0.926000,6.285000,1
27,31,8,552.376000,570.296000,578.293000,425.550000,147.047936,528,537,1.755000,8.512000,1
28,33,10,518.746000,598.583000,570.148000,463.475000,144.555655,611,622,-1.741000,12.815000,1
29,34,4,599.524000,540.945000,611.167000,412.902000,128.571262,635,640,-3.512000,6.604000,1
30,35,4,577.747000,540.528000,577.056000,413.468000,127.061879,650,655,3.114000,6.169000,1
31,32,7,666.834000,553.909000,623.385000,444.971000,117.283006,599,607,0.628000,9.976000,1
32,37,3,580.333000,530.762000,571.356000,416.073000,115.039790,681,685,4.105000,5.435000,1
33,38,7,586.235000,538.804000,609.615000,368.611000,171.791390,694,702,-3.887000,5.251000,1
36,40,5,516.664000,554.927000,567.550000,460.884000,106.927409,732,738,-0.553000,9.964000,1
36,39,1,518.876000,515.071000,601.256000,317.284000,214.257233,732,734,-0.553000,9.964000,2
36,41,8,515.005000,584.819000,652.197000,407.143000,224.478074,732,741,-0.553000,9.964000,3
37,42,0,617.372000,523.860000,619.984000,421.921000,101.972458,754,755,-3.000000,6.934000,1
38,46,6,599.699000,489.810000,619.604000,358.334000,132.974237,838,845,-4.306000,0.768000,1
39,44,9,528.910000,616.954000,582.784000,384.947000,238.179881,792,802,0.338000,10.643000,1
40,45,1,604.800000,474.510000,617.050000,379.005000,96.287421,814,816,-3.655000,-0.134000,1
41,42,10,652.210000,440.142000,619.984000,421.921000,37.020534,744,755,0.001000,2.357000,1
43,47,6,544.986000,554.350000,581.510000,436.943000,122.956928,847,854,1.287000,7.387000,1
44,48,8,671.452000,573.345000,624.386000,419.368000,161.009704,859,868,0.488000,10.283000,1
44,49,9,671.940000,583.628000,604.319000,269.782000,321.048145,859,869,0.488000,10.283000,2
45,50,10,504.393000,616.728000,582.568000,401.613000,228.879431,873,884,-1.468000,11.429000,1
47,49,5,606.730000,224.007000,604.319000,269.782000,45.838451,863,869,1.681000,-13.862000,1
47,48,4,605.049000,237.869000,624.386000,419.368000,182.526181,863,868,1.681000,-13.862000,2
