video,frame,time_seconds,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.597139,621.244,220.097,640.569,243.344,630.907,231.720,19.325,23.247
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.561573,574.900,313.386,592.379,334.701,583.639,324.044,17.478,21.316
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.531418,527.252,349.549,546.785,370.686,537.018,360.118,19.533,21.137
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.364681,574.766,207.145,594.379,228.512,584.573,217.828,19.613,21.367
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.315164,624.440,464.909,643.940,486.566,634.190,475.737,19.500,21.658
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.802087,526.338,363.348,543.963,383.163,535.150,373.255,17.625,19.815
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.654633,576.423,302.488,594.979,320.797,585.701,311.642,18.556,18.310
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.560650,623.783,224.532,645.673,248.217,634.728,236.375,21.890,23.685
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.301458,571.026,204.933,593.786,226.370,582.406,215.652,22.760,21.437
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.175678,622.166,458.093,642.658,485.090,632.412,471.592,20.492,26.997
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.730378,524.365,376.985,543.549,394.929,533.957,385.957,19.184,17.943
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.574184,575.886,291.009,597.164,312.907,586.525,301.958,21.278,21.899
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.562167,624.772,229.974,646.074,252.036,635.423,241.005,21.302,22.063
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.289901,619.207,455.459,639.745,482.132,629.476,468.796,20.538,26.673
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.255616,570.212,202.018,591.609,225.192,580.910,213.605,21.397,23.174
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.605475,524.073,390.304,543.431,409.742,533.752,400.023,19.357,19.438
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.601412,626.414,235.359,648.304,256.836,637.359,246.097,21.890,21.478
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.467869,577.029,281.328,598.604,303.127,587.817,292.227,21.575,21.799
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.380656,521.820,389.383,543.705,409.813,532.763,399.598,21.885,20.431
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.349533,569.234,199.963,590.149,222.427,579.691,211.195,20.915,22.464
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,32,sports ball,0.634137,628.657,241.593,649.784,261.744,639.220,251.668,21.127,20.150
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,32,sports ball,0.572160,520.630,398.297,542.726,418.279,531.678,408.288,22.096,19.982
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,32,sports ball,0.280384,578.650,273.046,599.096,293.553,588.873,283.300,20.447,20.506
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,32,sports ball,0.278031,568.336,200.149,589.582,222.143,578.959,211.146,21.246,21.994
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.591909,519.594,407.830,540.877,428.201,530.236,418.016,21.284,20.371
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.550239,579.190,264.244,602.029,285.547,590.609,274.896,22.839,21.303
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.519304,629.709,246.502,651.230,269.288,640.469,257.895,21.521,22.786
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.433584,612.168,433.831,631.764,451.475,621.966,442.653,19.596,17.644
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.275771,565.788,200.746,587.823,221.777,576.805,211.262,22.035,21.031
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,6,0.100100,32,sports ball,0.405381,519.751,416.278,540.755,435.989,530.253,426.133,21.004,19.711
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,6,0.100100,32,sports ball,0.329935,610.939,418.336,631.097,438.500,621.018,428.418,20.158,20.164
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,6,0.100100,32,sports ball,0.273007,580.010,256.188,602.910,277.019,591.460,266.603,22.900,20.831
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,6,0.100100,32,sports ball,0.217805,564.785,200.686,585.711,221.457,575.248,211.071,20.926,20.771
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,6,0.100100,32,sports ball,0.201860,632.407,254.520,653.637,276.578,643.022,265.549,21.231,22.058
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,7,0.116783,32,sports ball,0.612052,581.713,248.057,603.494,269.399,592.604,258.728,21.781,21.342
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,7,0.116783,32,sports ball,0.607830,562.458,200.893,584.953,222.536,573.706,211.715,22.495,21.643
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,7,0.116783,32,sports ball,0.404475,519.678,425.443,543.053,447.743,531.365,436.593,23.376,22.300
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,7,0.116783,32,sports ball,0.374732,633.461,263.872,654.576,283.504,644.018,273.688,21.115,19.632
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,7,0.116783,32,sports ball,0.353324,519.797,425.437,542.573,441.732,531.185,433.584,22.776,16.295
