frame,time_seconds,track_id,confidence,center_x,center_y,observed
2,0.033367,3,0.562167,634.747,238.423,1
2,0.033367,4,0.574184,585.951,307.606,1
2,0.033367,5,0.730378,534.684,378.838,1
2,0.033367,1,0.255616,581.806,214.758,1
2,0.033367,2,0.289901,631.005,470.479,1
3,0.050050,3,0.601412,636.338,242.983,1
3,0.050050,4,0.467869,587.081,298.296,1
3,0.050050,5,0.380656,533.508,391.213,1
3,0.050050,1,0.349533,580.493,212.647,1
3,0.050050,2,0.289901,630.391,469.658,0
4,0.066733,3,0.634137,638.262,248.656,1
4,0.066733,4,0.280384,588.310,288.053,1
4,0.066733,5,0.572160,532.240,403.221,1
4,0.066733,1,0.278031,579.335,211.347,1
4,0.066733,2,0.289901,629.777,468.837,0
5,0.083417,3,0.519304,639.989,255.082,1
5,0.083417,4,0.550239,589.886,278.012,1
5,0.083417,5,0.591909,530.796,414.850,1
5,0.083417,1,0.275771,577.608,210.742,1
5,0.083417,2,0.433584,625.399,454.751,1
6,0.100100,3,0.201860,642.184,262.468,1
6,0.100100,4,0.273007,591.195,268.442,1
6,0.100100,5,0.405381,530.002,425.143,1
6,0.100100,1,0.217805,575.864,210.406,1
6,0.100100,2,0.329935,622.179,438.327,1
7,0.116783,3,0.374732,643.902,270.556,1
7,0.116783,4,0.612052,592.455,259.474,1
7,0.116783,5,0.353324,530.058,434.194,1
7,0.116783,1,0.607830,574.147,210.611,1
7,0.116783,2,0.329935,619.810,429.153,0
8,0.133467,3,0.233752,645.703,278.345,1
8,0.133467,4,0.569596,594.199,251.024,1
8,0.133467,5,0.615375,531.265,443.145,1
8,0.133467,1,0.389286,572.597,211.138,1
8,0.133467,2,0.793405,617.366,409.212,1
9,0.150150,3,0.517233,648.086,286.733,1
9,0.150150,4,0.664710,595.647,243.398,1
9,0.150150,5,0.571080,533.044,452.460,1
9,0.150150,1,0.375293,570.838,212.565,1
9,0.150150,2,0.829533,615.677,390.971,1
10,0.166833,3,0.827448,649.969,296.588,1
10,0.166833,4,0.814659,597.017,236.504,1
10,0.166833,5,0.604154,535.443,460.213,1
10,0.166833,1,0.521587,569.078,214.511,1
10,0.166833,2,0.233526,614.756,374.636,1
11,0.183517,3,0.710700,651.819,306.532,1
11,0.183517,4,0.350903,598.359,230.540,1
11,0.183517,5,0.160034,538.614,468.156,1
11,0.183517,1,0.636459,567.807,217.137,1
11,0.183517,2,0.463905,613.504,359.098,1
12,0.200200,3,0.564348,653.565,316.950,1
12,0.200200,4,0.365144,599.686,224.830,1
12,0.200200,5,0.405830,542.340,474.243,1
12,0.200200,1,0.646110,566.411,219.995,1
12,0.200200,2,0.494979,630.708,333.120,1
13,0.216883,3,0.665081,655.160,328.128,1
13,0.216883,4,0.434521,600.859,219.410,1
13,0.216883,5,0.284346,546.677,479.745,1
13,0.216883,1,0.559091,564.670,223.717,1
13,0.216883,2,0.494979,634.015,315.252,0
14,0.233567,3,0.772935,656.886,339.452,1
14,0.233567,4,0.520816,602.026,215.242,1
14,0.233567,5,0.383948,551.558,484.708,1
14,0.233567,1,0.528406,563.058,227.480,1
14,0.233567,2,0.524002,625.013,307.563,1
15,0.250250,3,0.794308,658.653,351.892,1
15,0.250250,4,0.468171,603.206,211.725,1
15,0.250250,5,0.383948,554.820,491.400,0
15,0.250250,1,0.288338,561.247,232.383,1
15,0.250250,2,0.538847,617.964,299.982,1
16,0.266933,3,0.662418,660.461,365.086,1
16,0.266933,4,0.164811,604.603,208.990,1
16,0.266933,5,0.171268,559.435,489.446,1
16,0.266933,1,0.288338,559.615,235.594,0
16,0.266933,2,0.228060,612.638,292.358,1
17,0.283617,3,0.843318,662.189,378.266,1
17,0.283617,4,0.325208,605.828,206.456,1
17,0.283617,5,0.365646,563.712,484.670,1
17,0.283617,1,0.230463,558.091,242.288,1
17,0.283617,2,0.359807,608.259,284.443,1
18,0.300300,3,0.786020,663.400,390.736,1
18,0.300300,4,0.697481,607.413,204.611,1
18,0.300300,5,0.238498,566.573,476.127,1
18,0.300300,1,0.580267,556.512,249.406,1
18,0.300300,2,0.502050,605.060,276.373,1
19,0.316983,3,0.651679,663.984,401.933,1
19,0.316983,4,0.628254,609.022,203.174,1
19,0.316983,5,0.349461,569.056,465.686,1
19,0.316983,1,0.663670,555.223,256.982,1
19,0.316983,2,0.320659,602.900,268.440,1
20,0.333667,3,0.654449,664.048,411.791,1
20,0.333667,4,0.336145,610.215,202.320,1
20,0.333667,5,0.349461,572.321,462.308,0
20,0.333667,1,0.501522,553.695,265.025,1
20,0.333667,2,0.302785,601.559,260.592,1
21,0.350350,3,0.532665,663.447,420.691,1
21,0.350350,4,0.344936,611.367,202.037,1
21,0.350350,5,0.381865,574.022,444.506,1
21,0.350350,1,0.368867,551.802,273.201,1
21,0.350350,2,0.457248,600.597,253.240,1
22,0.367033,3,0.290573,661.873,429.086,1
22,0.367033,4,0.333475,612.624,202.068,1
22,0.367033,5,0.510163,576.345,426.034,1
22,0.367033,1,0.478407,550.280,281.808,1
22,0.367033,2,0.442336,599.822,246.378,1
23,0.383717,3,0.290573,661.879,439.129,0
23,0.383717,4,0.333475,613.916,200.738,0
23,0.383717,5,0.535751,577.988,407.868,1
23,0.383717,1,0.264543,548.789,290.852,1
23,0.383717,2,0.342472,599.047,239.896,1
24,0.400400,3,0.290573,661.885,449.172,0
24,0.400400,4,0.428531,615.236,202.568,1
24,0.400400,5,0.518995,579.480,390.481,1
24,0.400400,1,0.356553,547.502,300.405,1
24,0.400400,2,0.549728,598.220,233.772,1
25,0.417083,3,0.290573,661.891,459.215,0
25,0.417083,4,0.589634,616.949,204.760,1
25,0.417083,5,0.373631,581.578,374.942,1
25,0.417083,1,0.575701,546.024,310.432,1
25,0.417083,2,0.610650,597.237,227.839,1
26,0.433767,3,0.290573,661.897,469.258,0
26,0.433767,4,0.703415,618.155,207.683,1
26,0.433767,5,0.814458,583.034,360.295,1
26,0.433767,1,0.586473,544.504,321.217,1
26,0.433767,2,0.652039,596.297,222.710,1
27,0.450450,3,0.290573,661.903,479.301,0
27,0.450450,4,0.477819,619.813,210.608,1
27,0.450450,5,0.708779,584.593,346.199,1
27,0.450450,1,0.606213,542.900,332.908,1
27,0.450450,2,0.508902,595.244,218.180,1
28,0.467133,4,0.503947,621.594,213.984,1
28,0.467133,5,0.472388,585.835,333.267,1
28,0.467133,1,0.469978,541.396,345.043,1
28,0.467133,2,0.214199,594.249,213.883,1
29,0.483817,4,0.523096,622.774,218.219,1
29,0.483817,5,0.721556,587.459,321.340,1
29,0.483817,1,0.622412,539.986,357.831,1
29,0.483817,2,0.510990,593.206,210.413,1
30,0.500500,4,0.696823,623.653,222.648,1
30,0.500500,5,0.554006,588.877,309.995,1
30,0.500500,1,0.706992,538.366,371.315,1
30,0.500500,2,0.636540,592.092,207.954,1
31,0.517183,4,0.656629,624.805,227.298,1
31,0.517183,5,0.678326,590.258,299.825,1
31,0.517183,1,0.695058,536.423,384.589,1
31,0.517183,2,0.664145,590.818,205.407,1
32,0.533867,4,0.600506,626.095,232.938,1
32,0.533867,5,0.524187,591.696,290.290,1
32,0.533867,1,0.747262,534.613,398.089,1
32,0.533867,2,0.432305,589.753,203.476,1
33,0.550550,4,0.693533,627.198,238.995,1
33,0.550550,5,0.655350,592.877,281.659,1
33,0.550550,1,0.656594,533.320,409.869,1
33,0.550550,2,0.506735,588.735,202.167,1
34,0.567233,4,0.670927,628.548,245.619,1
34,0.567233,5,0.390733,594.197,273.819,1
34,0.567233,1,0.357076,532.483,419.255,1
34,0.567233,2,0.334389,587.612,201.352,1
34,0.567233,6,0.859963,620.510,453.154,1
35,0.583917,4,0.712614,629.919,253.004,1
35,0.583917,5,0.656155,595.565,266.311,1
35,0.583917,1,0.740939,532.327,427.290,1
35,0.583917,2,0.615079,586.610,200.949,1
35,0.583917,6,0.836969,618.416,442.176,1
36,0.600600,4,0.513135,630.938,261.021,1
36,0.600600,5,0.403037,596.799,259.409,1
