source_tracklet,candidate_tracklet,gap_frames,predicted_x,predicted_y,candidate_start_x,candidate_start_y,prediction_error,source_end_frame,candidate_start_frame,end_velocity_x,end_velocity_y,candidate_rank
1,9,6,644.834000,510.993000,634.849000,471.572000,40.665901,107,114,0.934000,11.185000,1
1,10,9,647.636000,544.548000,601.227000,310.688000,238.420416,107,117,0.934000,11.185000,2
2,8,5,565.262000,551.143000,580.624000,390.469000,161.406708,77,83,0.967000,6.886000,1
3,6,6,661.945000,549.602000,620.510000,453.154000,104.971786,27,34,0.006000,10.043000,1
4,18,3,551.861000,541.734000,568.814000,460.868000,82.623932,416,420,1.264000,8.511000,1
9,13,5,619.998000,568.044000,612.566000,397.138000,171.067517,261,267,-1.025000,8.646000,1
10,11,5,544.518000,555.482000,601.010000,290.229000,271.201954,241,247,-0.944000,10.752000,1
11,14,3,568.139000,537.282000,571.065000,418.171000,119.146934,304,308,2.702000,6.849000,1
13,16,8,560.700000,567.044000,575.504000,403.176000,164.535345,330,339,1.659000,7.360000,1
14,17,1,607.173000,476.815000,615.710000,393.490000,83.761184,379,381,-2.847000,-0.209000,1
15,25,5,662.857000,541.365000,626.011000,456.668000,92.364547,600,606,0.346000,9.760000,1
16,21,8,548.103000,595.040000,581.194000,403.461000,194.415862,473,482,0.660000,9.418000,1
17,24,5,545.249000,548.115000,566.156000,472.552000,78.401975,585,591,-0.508000,10.246000,1
18,30,1,570.560000,488.097000,572.882000,391.858000,96.267008,713,715,2.471000,0.551000,1
19,22,6,556.276000,559.901000,579.298000,394.684000,166.813278,503,510,0.953000,6.603000,1
20,21,8,574.142000,542.465000,581.194000,403.461000,139.182767,473,482,2.454000,6.491000,1
21,29,2,599.397000,495.791000,610.386000,382.735000,113.588808,698,701,-3.096000,2.423000,1
22,26,6,573.635000,560.326000,577.611000,398.772000,161.602919,649,656,2.439000,7.323000,1
23,24,9,553.991000,437.737000,566.156000,472.552000,36.879147,581,591,0.080000,2.296000,1
25,33,0,618.295000,521.750000,619.883000,421.654000,100.108596,754,755,-2.717000,6.876000,1
26,31,8,626.300000,565.858000,606.623000,356.447000,210.333429,722,731,0.132000,6.489000,1
27,28,4,615.693000,373.350000,604.307000,305.795000,68.507803,673,678,-0.254000,-3.676000,1
28,32,0,588.311000,457.386000,577.487000,391.185000,67.080037,742,743,4.599000,-3.481000,1
29,34,2,566.287000,532.565000,569.949000,450.942000,81.705106,766,769,2.915000,6.619000,1
30,37,3,563.265000,539.520000,580.470000,435.605000,105.329669,850,854,2.202000,6.736000,1
31,35,5,556.336000,569.391000,579.411000,408.779000,162.261117,794,800,2.213000,8.915000,1
33,36,4,561.688000,542.215000,578.146000,445.466000,98.138855,820,825,1.573000,7.829000,1
35,38,2,616.174000,517.466000,623.237000,404.538000,113.148660,866,869,-3.334000,4.990000,1
