source_tracklet,candidate_tracklet,gap_frames,predicted_x,predicted_y,candidate_start_x,candidate_start_y,prediction_error,source_end_frame,candidate_start_frame,end_velocity_x,end_velocity_y,candidate_rank
1,8,3,608.938000,520.216000,637.166000,458.038000,68.285604,107,111,4.705000,4.339000,1
1,9,9,637.168000,546.250000,601.207000,310.229000,238.744855,107,117,4.705000,4.339000,2
2,20,2,621.261000,521.720000,621.694000,419.541000,102.179917,491,494,-2.224000,6.533000,1
3,6,3,599.391000,474.065000,582.775000,353.683000,121.523320,23,27,3.572000,-0.474000,1
4,8,3,642.855000,475.845000,637.166000,458.038000,18.693688,107,111,0.982000,11.085000,1
4,9,9,648.747000,542.355000,601.207000,310.229000,236.944153,107,117,0.982000,11.085000,2
5,18,6,607.486000,555.136000,610.488000,358.395000,196.763902,434,441,-2.042000,6.340000,1
6,7,3,621.929000,534.323000,617.238000,441.802000,92.639845,88,92,-2.062000,8.036000,1
7,11,8,589.092000,523.024000,604.263000,307.680000,215.877738,236,245,-2.742000,2.951000,1
9,12,5,561.249000,559.113000,573.957000,395.150000,164.454731,247,253,0.406000,7.284000,1
10,13,4,622.786000,555.857000,615.897000,424.180000,131.857084,260,265,-0.954000,9.003000,1
11,14,6,548.182000,562.371000,571.226000,418.080000,146.119535,301,308,1.254000,8.696000,1
12,15,4,585.135000,425.452000,605.394000,318.680000,108.676985,324,329,-3.383000,-3.478000,1
13,16,0,580.259000,484.626000,575.611000,403.088000,81.670370,338,339,2.869000,-0.506000,1
14,17,0,604.590000,426.329000,613.048000,367.520000,59.414108,382,383,-2.380000,-5.173000,1
15,29,1,620.413000,504.864000,619.378000,421.674000,83.196438,753,755,-2.720000,4.002000,1
16,25,4,590.626000,389.533000,600.860000,310.082000,80.107404,702,707,-2.426000,-5.862000,1
16,24,0,600.330000,412.981000,542.136000,470.057000,81.512032,702,703,-2.426000,-5.862000,2
17,21,0,611.939000,497.461000,617.801000,400.518000,97.120072,522,523,-2.649000,3.500000,1
20,23,3,608.895000,532.047000,614.960000,441.865000,90.385714,634,638,-3.283000,6.939000,1
21,28,4,512.308000,542.387000,559.232000,478.029000,79.648063,731,736,-0.970000,10.514000,1
21,27,3,513.278000,531.873000,600.114000,308.245000,239.895755,731,735,-0.970000,10.514000,2
23,26,6,548.654000,562.043000,572.088000,391.904000,171.745252,708,715,0.693000,7.370000,1
24,26,0,573.753000,475.423000,572.088000,391.904000,83.535595,714,715,2.586000,-0.061000,1
26,32,7,642.414000,457.787000,597.038000,309.322000,155.244445,856,864,5.316000,-1.547000,1
27,33,3,619.398000,522.515000,624.580000,419.665000,102.980462,864,868,-3.484000,6.045000,1
29,30,8,613.799000,518.339000,602.637000,310.142000,208.495998,827,836,3.124000,2.236000,1
