frame,time_seconds,track_id,confidence,center_x,center_y
7,0.116783,2,0.447278,552.136,486.442
7,0.116783,1,0.345197,766.038,464.594
8,0.133467,2,0.233000,551.449,519.830
8,0.133467,1,0.172623,787.538,473.395
8,0.133467,3,0.590068,710.845,253.221
9,0.150150,2,0.229583,550.414,548.935
9,0.150150,1,0.223218,806.412,482.137
9,0.150150,3,0.632476,710.825,235.827
10,0.166833,2,0.319067,549.540,574.879
10,0.166833,1,0.223218,830.157,488.752
10,0.166833,3,0.524035,710.604,220.983
11,0.183517,2,0.431967,549.298,597.724
11,0.183517,1,0.223218,853.901,495.367
11,0.183517,3,0.449327,710.267,208.632
12,0.200200,2,0.184563,549.827,617.664
12,0.200200,1,0.223218,877.646,501.982
12,0.200200,3,0.513071,710.103,198.493
13,0.216883,2,0.196990,551.718,634.287
13,0.216883,1,0.310595,883.689,514.063
13,0.216883,3,0.699566,710.016,190.521
14,0.233567,2,0.293956,553.759,645.923
14,0.233567,1,0.701136,885.780,525.594
14,0.233567,3,0.626435,709.821,184.734
15,0.250250,2,0.446738,555.292,652.299
15,0.250250,1,0.657738,886.323,534.558
15,0.250250,3,0.547052,709.317,180.983
16,0.266933,2,0.344403,557.030,652.322
16,0.266933,1,0.461105,885.153,539.232
16,0.266933,3,0.425026,708.784,179.307
17,0.283617,2,0.324213,559.274,646.634
17,0.283617,1,0.706884,882.131,539.085
17,0.283617,3,0.395066,708.348,179.491
18,0.300300,2,0.324213,560.739,653.805
18,0.300300,1,0.706884,886.964,544.800
18,0.300300,3,0.280171,707.906,181.706
19,0.316983,2,0.324213,562.203,660.977
19,0.316983,1,0.706884,891.797,550.515
19,0.316983,3,0.560067,707.157,185.597
20,0.333667,2,0.324213,563.667,668.148
20,0.333667,1,0.706884,896.630,556.231
20,0.333667,3,0.630828,706.477,191.475
21,0.350350,2,0.324213,565.131,675.319
21,0.350350,1,0.706884,901.462,561.946
21,0.350350,3,0.318198,705.494,199.381
22,0.367033,2,0.324213,566.595,682.490
22,0.367033,1,0.706884,906.295,567.661
22,0.367033,3,0.248163,704.599,208.813
23,0.383717,2,0.324213,568.059,689.662
23,0.383717,1,0.706884,911.128,573.376
23,0.383717,3,0.167686,703.615,220.394
24,0.400400,2,0.324213,569.524,696.833
24,0.400400,1,0.706884,915.961,579.091
24,0.400400,3,0.554653,702.905,233.710
25,0.417083,2,0.324213,570.988,704.004
25,0.417083,1,0.706884,920.794,584.806
25,0.417083,3,0.261601,702.291,248.958
26,0.433767,2,0.324213,572.452,711.175
26,0.433767,1,0.706884,925.627,590.521
26,0.433767,3,0.261601,701.564,258.985
27,0.450450,2,0.324213,573.916,718.347
27,0.450450,1,0.706884,930.460,596.236
27,0.450450,3,0.615654,700.785,279.808
28,0.467133,2,0.324213,575.380,725.518
28,0.467133,1,0.706884,935.293,601.951
28,0.467133,3,0.696052,699.867,302.164
28,0.467133,4,0.812657,631.393,426.002
29,0.483817,2,0.324213,576.844,732.689
29,0.483817,1,0.706884,940.125,607.666
29,0.483817,3,0.669716,698.824,325.849
29,0.483817,4,0.802978,598.095,421.483
30,0.500500,2,0.324213,578.308,739.860
30,0.500500,3,0.631177,697.884,350.658
30,0.500500,4,0.696582,565.122,419.303
31,0.517183,2,0.324213,579.773,747.032
31,0.517183,3,0.183634,696.954,376.788
31,0.517183,4,0.344298,532.933,419.171
32,0.533867,2,0.324213,581.237,754.203
32,0.533867,3,0.183634,696.062,398.058
32,0.533867,4,0.466602,502.490,420.522
32,0.533867,5,0.727789,550.792,288.195
33,0.550550,3,0.183634,695.171,419.327
33,0.550550,4,0.196586,477.905,422.750
33,0.550550,5,0.422673,549.063,270.995
34,0.567233,3,0.183634,694.279,440.597
34,0.567233,4,0.196586,448.346,421.015
34,0.567233,5,0.501750,547.053,256.306
35,0.583917,3,0.183634,693.387,461.867
35,0.583917,4,0.196586,418.786,419.280
35,0.583917,5,0.261906,545.198,243.720
36,0.600600,3,0.183634,692.495,483.137
36,0.600600,4,0.196586,389.227,417.546
36,0.600600,5,0.357210,543.596,233.429
37,0.617283,3,0.183634,691.603,504.407
37,0.617283,4,0.196586,359.668,415.811
37,0.617283,5,0.659746,541.913,225.577
38,0.633967,3,0.183634,690.712,525.677
38,0.633967,4,0.196586,330.109,414.076
38,0.633967,5,0.591395,540.070,219.748
39,0.650650,3,0.348308,697.910,560.828
39,0.650650,4,0.196586,300.549,412.341
39,0.650650,5,0.674280,538.436,215.855
40,0.667333,3,0.348308,699.165,585.782
40,0.667333,4,0.196586,270.990,410.606
40,0.667333,5,0.754191,536.885,214.055
41,0.684017,3,0.351628,708.833,606.123
41,0.684017,4,0.196586,241.431,408.871
41,0.684017,5,0.648435,535.265,214.044
42,0.700700,3,0.171127,717.746,618.048
42,0.700700,4,0.196586,211.871,407.136
42,0.700700,5,0.680988,533.830,216.037
43,0.717383,3,0.325066,725.344,622.139
43,0.717383,4,0.196586,182.312,405.401
43,0.717383,5,0.725420,532.351,219.873
44,0.734067,3,0.309094,731.330,618.101
44,0.734067,4,0.196586,152.753,403.666
44,0.734067,5,0.671184,530.840,225.429
44,0.734067,6,0.786438,393.554,475.898
45,0.750750,3,0.309094,737.059,628.943
45,0.750750,4,0.196586,123.193,401.932
45,0.750750,5,0.613023,529.340,232.653
45,0.750750,6,0.645827,405.001,470.991
46,0.767433,3,0.309094,742.788,639.784
46,0.767433,4,0.196586,93.634,400.197
46,0.767433,5,0.585212,528.009,241.717
46,0.767433,6,0.640144,421.165,463.397
47,0.784117,3,0.309094,748.517,650.625
47,0.784117,5,0.429079,526.590,252.796
47,0.784117,6,0.252420,441.509,454.468
48,0.800800,3,0.309094,754.247,661.466
48,0.800800,5,0.528441,525.255,265.762
48,0.800800,6,0.434797,467.667,444.766
49,0.817483,3,0.309094,759.976,672.308
49,0.817483,5,0.284275,523.661,280.494
49,0.817483,6,0.439245,497.935,435.201
50,0.834167,3,0.309094,765.705,683.149
50,0.834167,5,0.756161,522.290,296.659
50,0.834167,6,0.189901,530.583,427.438
51,0.850850,3,0.309094,771.434,693.990
51,0.850850,5,0.685294,521.008,315.325
51,0.850850,6,0.725370,564.505,421.596
52,0.867533,3,0.309094,777.163,704.831
52,0.867533,5,0.854965,519.844,335.666
52,0.867533,6,0.829079,599.233,417.728
53,0.884217,3,0.309094,782.892,715.673
53,0.884217,5,0.586401,518.688,357.513
53,0.884217,6,0.621696,633.726,416.431
54,0.900900,3,0.309094,788.621,726.514
54,0.900900,5,0.785672,517.526,380.884
54,0.900900,6,0.153892,668.210,417.249
55,0.917583,3,0.309094,794.351,737.355
55,0.917583,5,0.629518,516.462,405.959
55,0.917583,6,0.637884,701.792,420.109
56,0.934267,3,0.309094,800.080,748.196
56,0.934267,5,0.702504,515.489,432.623
56,0.934267,6,0.329040,734.991,425.145
56,0.934267,7,0.699493,719.357,328.020
57,0.950950,5,0.196223,514.162,461.233
57,0.950950,6,0.329040,767.054,425.328
57,0.950950,7,0.165606,717.560,309.727
58,0.967633,5,0.299266,513.092,491.755
58,0.967633,6,0.329040,799.117,425.510
58,0.967633,7,0.403947,715.678,293.752
59,0.984317,5,0.299266,511.932,517.321
59,0.984317,6,0.329040,831.180,425.693
59,0.984317,7,0.701500,713.681,280.551
60,1.001000,5,0.299266,510.772,542.886
60,1.001000,6,0.329040,863.243,425.875
60,1.001000,7,0.603774,712.073,269.627
61,1.017683,5,0.299266,509.612,568.452
61,1.017683,6,0.329040,895.305,426.058
61,1.017683,7,0.617790,710.525,261.006
62,1.034367,5,0.299266,508.452,594.017
62,1.034367,6,0.329040,927.368,426.240
62,1.034367,7,0.679461,708.885,254.214
63,1.051050,5,0.168127,513.861,614.022
63,1.051050,6,0.329040,959.431,426.423
63,1.051050,7,0.597561,707.402,249.537
64,1.067733,5,0.665706,520.312,630.618
64,1.067733,6,0.329040,991.494,426.605
64,1.067733,7,0.518087,706.105,246.917
65,1.084417,5,0.404204,527.718,642.953
65,1.084417,6,0.329040,1023.556,426.788
65,1.084417,7,0.445026,704.590,246.168
66,1.101100,5,0.313736,535.783,649.405
66,1.101100,6,0.329040,1055.619,426.970
66,1.101100,7,0.501049,703.226,247.227
67,1.117783,5,0.458305,543.270,649.782
67,1.117783,6,0.329040,1087.682,427.153
67,1.117783,7,0.649342,702.082,250.044
68,1.134467,5,0.388648,550.125,643.316
68,1.134467,6,0.329040,1119.745,427.335
68,1.134467,7,0.676155,701.248,254.644
69,1.151150,5,0.367370,556.162,630.508
69,1.151150,6,0.329040,1151.807,427.518
69,1.151150,7,0.561732,700.302,261.106
69,1.151150,8,0.517311,866.352,521.815
70,1.167833,5,0.226043,561.647,611.967
70,1.167833,6,0.329040,1183.870,427.700
70,1.167833,7,0.723356,699.147,269.287
70,1.167833,8,0.477995,856.349,512.492
71,1.184517,5,0.462104,565.429,589.100
71,1.184517,6,0.329040,1215.933,427.883
71,1.184517,7,0.481470,697.880,279.084
71,1.184517,8,0.246146,841.977,501.746
72,1.201200,5,0.704558,567.788,561.164
72,1.201200,7,0.658060,696.908,290.774
72,1.201200,8,0.610751,821.636,489.364
73,1.217883,5,0.236590,568.665,529.534
73,1.217883,7,0.481433,695.905,304.388
73,1.217883,8,0.156746,796.201,476.324
74,1.234567,5,0.556265,568.239,495.888
74,1.234567,7,0.337694,694.532,319.689
74,1.234567,8,0.376699,766.082,465.883
75,1.251250,5,0.373051,567.021,462.397
75,1.251250,7,0.494212,693.395,336.527
75,1.251250,8,0.395996,733.195,457.361
76,1.267933,5,0.580536,565.805,430.522
76,1.267933,7,0.393416,692.408,355.244
76,1.267933,8,0.316391,699.102,451.374
77,1.284617,5,0.871011,564.357,400.057
77,1.284617,7,0.607436,691.517,375.542
77,1.284617,8,0.822590,664.399,447.500
78,1.301300,5,0.800587,562.889,372.336
78,1.301300,7,0.541768,690.538,397.545
78,1.301300,8,0.793558,629.963,446.005
79,1.317983,5,0.848089,561.505,347.504
79,1.317983,7,0.800994,689.533,421.167
79,1.317983,8,0.600185,595.934,446.602
80,1.334667,5,0.788649,560.076,325.177
80,1.334667,7,0.292333,688.628,446.534
80,1.334667,8,0.600185,565.173,442.716
81,1.351350,5,0.531228,559.037,305.498
81,1.351350,7,0.263789,687.538,473.604
81,1.351350,8,0.600185,534.413,438.830
82,1.368033,5,0.264476,557.643,287.728
82,1.368033,7,0.263789,686.517,495.960
82,1.368033,8,0.600185,503.653,434.943
83,1.384717,5,0.508617,556.176,272.189
83,1.384717,7,0.263789,685.497,518.315
83,1.384717,8,0.600185,472.893,431.057
84,1.401400,5,0.528015,554.797,258.454
84,1.401400,7,0.263789,684.476,540.670
84,1.401400,8,0.600185,442.132,427.171
85,1.418083,5,0.486346,553.405,246.653
85,1.418083,7,0.263789,683.456,563.025
85,1.418083,8,0.600185,411.372,423.285
86,1.434767,5,0.253108,551.971,236.797
86,1.434767,7,0.367336,687.299,582.280
86,1.434767,8,0.600185,380.612,419.399
87,1.451450,5,0.586572,550.608,228.548
87,1.451450,7,0.617620,690.556,599.421
87,1.451450,8,0.600185,349.852,415.513
88,1.468133,5,0.203512,548.920,222.052
88,1.468133,7,0.334947,694.174,613.994
88,1.468133,8,0.600185,319.092,411.627
89,1.484817,5,0.402427,547.090,217.376
89,1.484817,7,0.151870,698.326,624.912
89,1.484817,8,0.600185,288.331,407.741
90,1.501500,5,0.272686,545.468,214.451
90,1.501500,7,0.325459,702.680,631.748
90,1.501500,8,0.600185,257.571,403.854
91,1.518183,5,0.680423,544.016,213.173
91,1.518183,7,0.479954,707.247,633.865
91,1.518183,8,0.600185,226.811,399.968
92,1.534867,5,0.623618,542.612,213.931
92,1.534867,7,0.278403,711.038,631.218
92,1.534867,8,0.600185,196.051,396.082
92,1.534867,9,0.534655,393.140,496.127
93,1.551550,5,0.623650,541.342,216.478
93,1.551550,7,0.601423,714.085,623.616
93,1.551550,8,0.600185,165.291,392.196
93,1.551550,9,0.467129,393.254,497.325
94,1.568233,5,0.454618,540.300,220.710
94,1.568233,7,0.501186,716.684,611.244
94,1.568233,8,0.600185,134.530,388.310
94,1.568233,9,0.681052,397.394,496.118
95,1.584917,5,0.568327,538.656,226.897
95,1.584917,7,0.614675,718.714,593.460
95,1.584917,9,0.823156,406.029,492.777
96,1.601600,5,0.654749,537.407,234.860
96,1.601600,7,0.410241,720.445,570.035
96,1.601600,9,0.733463,419.385,487.163
97,1.618283,5,0.382889,536.276,244.768
97,1.618283,7,0.284118,722.347,542.797
97,1.618283,9,0.687425,437.864,478.533
98,1.634967,5,0.414127,535.143,256.524
98,1.634967,7,0.335469,724.023,511.524
98,1.634967,9,0.687425,445.400,475.501
99,1.651650,5,0.246488,534.015,270.445
99,1.651650,7,0.335469,726.219,492.452
99,1.651650,9,0.687425,452.936,472.468
100,1.668333,5,0.246488,532.789,279.017
100,1.668333,7,0.335469,728.414,473.379
100,1.668333,9,0.687425,460.473,469.435
101,1.685017,5,0.494479,531.992,298.641
101,1.685017,7,0.335469,730.610,454.306
101,1.685017,9,0.687425,468.009,466.403
102,1.701700,5,0.643920,531.382,319.795
102,1.701700,7,0.335469,732.805,435.233
102,1.701700,9,0.687425,475.545,463.370
103,1.718383,5,0.699816,530.566,342.348
103,1.718383,7,0.335469,735.000,416.161
103,1.718383,9,0.687425,483.082,460.337
104,1.735067,5,0.652958,530.006,366.410
104,1.735067,7,0.335469,737.196,397.088
104,1.735067,9,0.687425,490.618,457.305
105,1.751750,5,0.622319,529.271,392.086
105,1.751750,7,0.335469,739.391,378.015
105,1.751750,9,0.687425,498.155,454.272
106,1.768433,5,0.680502,528.781,418.879
106,1.768433,7,0.335469,741.587,358.943
106,1.768433,9,0.687425,505.691,451.239
107,1.785117,5,0.212696,528.234,447.639
107,1.785117,7,0.335469,743.782,339.870
107,1.785117,9,0.687425,513.227,448.207
108,1.801800,5,0.162981,527.915,477.455
108,1.801800,7,0.335469,745.977,320.797
108,1.801800,9,0.687425,520.764,445.174
109,1.818483,5,0.243119,527.334,505.054
109,1.818483,7,0.384812,744.037,280.399
109,1.818483,9,0.687425,528.300,442.141
110,1.835167,5,0.222035,526.783,528.339
110,1.835167,7,0.153817,743.166,249.552
110,1.835167,9,0.687425,535.836,439.108
111,1.851850,5,0.394089,525.777,547.492
111,1.851850,7,0.196573,743.070,227.454
112,1.868533,5,0.222577,525.181,562.837
112,1.868533,7,0.527249,743.848,212.389
113,1.885217,5,0.363868,525.174,576.632
113,1.885217,7,0.574033,744.788,202.489
114,1.901900,5,0.430877,528.309,591.026
114,1.901900,7,0.593964,746.008,197.516
115,1.918583,5,0.636941,534.459,603.753
115,1.918583,7,0.219900,747.357,195.706
116,1.935267,5,0.203645,541.893,614.387
116,1.935267,7,0.248900,748.864,196.620
117,1.951950,5,0.398800,549.721,621.607
117,1.951950,7,0.426753,750.632,199.828
118,1.968633,5,0.322072,557.997,623.759
118,1.968633,7,0.592478,752.259,204.637
119,1.985317,5,0.383969,565.758,620.264
119,1.985317,7,0.154505,753.938,211.344
119,1.985317,10,0.726858,883.263,486.559
120,2.002000,5,0.314371,572.767,610.620
120,2.002000,7,0.508039,755.610,219.929
120,2.002000,10,0.581109,875.729,482.333
121,2.018683,5,0.384705,578.339,595.502
121,2.018683,7,0.565170,757.118,229.916
121,2.018683,10,0.562545,864.136,474.909
122,2.035367,5,0.202781,582.321,574.920
122,2.035367,7,0.411998,758.855,241.411
122,2.035367,10,0.292366,848.185,465.005
123,2.052050,5,0.202781,587.907,567.705
123,2.052050,7,0.336724,760.425,254.878
123,2.052050,10,0.291877,827.134,454.290
124,2.068733,5,0.202781,593.493,560.490
124,2.068733,7,0.298496,761.831,270.255
124,2.068733,10,0.362293,801.781,444.307
125,2.085417,5,0.202781,599.079,553.275
125,2.085417,7,0.192764,763.462,287.298
125,2.085417,10,0.212258,773.593,435.694
126,2.102100,5,0.202781,604.665,546.060
126,2.102100,7,0.330454,764.981,305.882
126,2.102100,10,0.355092,745.647,428.695
127,2.118783,5,0.202781,610.251,538.845
127,2.118783,7,0.555707,766.547,326.604
127,2.118783,10,0.795604,716.683,424.174
128,2.135467,5,0.202781,615.837,531.630
128,2.135467,7,0.181364,767.992,349.272
128,2.135467,10,0.797914,688.335,421.967
129,2.152150,5,0.202781,621.424,524.416
129,2.152150,7,0.751982,769.195,373.422
129,2.152150,10,0.878929,659.657,422.132
130,2.168833,5,0.202781,627.010,517.201
130,2.168833,7,0.643588,770.732,399.568
130,2.168833,10,0.790886,631.285,424.307
131,2.185517,5,0.202781,632.596,509.986
131,2.185517,7,0.458368,772.244,427.847
131,2.185517,10,0.734137,603.525,428.598
131,2.185517,11,0.798975,568.220,309.290
132,2.202200,5,0.202781,638.182,502.771
132,2.202200,7,0.336853,773.574,458.118
132,2.202200,10,0.734137,576.944,428.124
132,2.202200,11,0.798975,566.621,284.858
133,2.218883,5,0.202781,643.768,495.556
133,2.218883,7,0.641925,774.423,489.149
133,2.218883,10,0.335103,552.311,436.331
133,2.218883,11,0.581697,564.433,263.849
134,2.235567,5,0.202781,649.354,488.341
134,2.235567,7,0.641925,775.705,515.683
134,2.235567,10,0.335103,526.246,438.161
134,2.235567,11,0.236365,562.137,244.661
135,2.252250,5,0.202781,654.940,481.126
135,2.252250,7,0.388478,774.334,540.436
135,2.252250,10,0.335103,500.182,439.990
135,2.252250,11,0.309557,559.896,227.916
136,2.268933,5,0.202781,660.526,473.911
136,2.268933,7,0.227275,774.931,562.145
136,2.268933,10,0.335103,474.118,441.820
136,2.268933,11,0.748036,557.686,213.096
137,2.285617,5,0.202781,666.112,466.696
137,2.285617,7,0.227275,775.514,587.051
137,2.285617,10,0.335103,448.053,443.650
137,2.285617,11,0.268133,555.124,200.870
138,2.302300,7,0.227275,776.097,611.957
138,2.302300,10,0.335103,421.989,445.480
