frame,time_seconds,track_id,confidence,center_x,center_y
6,0.100100,1,0.477771,711.346,299.110
7,0.116783,1,0.584841,711.294,281.189
8,0.133467,1,0.590068,711.208,261.815
8,0.133467,2,0.172623,772.163,473.270
9,0.150150,1,0.632476,711.172,243.597
9,0.150150,2,0.223218,787.848,480.756
10,0.166833,1,0.524035,710.885,227.602
10,0.166833,2,0.223218,796.005,484.785
11,0.183517,1,0.449327,710.475,214.028
11,0.183517,2,0.223218,804.161,488.815
12,0.200200,1,0.513071,710.256,202.658
12,0.200200,2,0.223218,812.317,492.844
12,0.200200,3,0.184563,550.430,599.716
13,0.216883,1,0.699566,710.124,193.528
13,0.216883,2,0.223218,820.474,496.873
13,0.216883,3,0.196990,552.624,614.786
14,0.233567,1,0.626435,709.888,186.730
14,0.233567,3,0.293956,554.795,627.949
15,0.250250,1,0.547052,709.354,182.164
15,0.250250,3,0.446738,556.194,636.792
15,0.250250,4,0.657738,866.629,531.546
16,0.266933,1,0.425026,708.800,179.882
16,0.266933,3,0.344403,557.768,639.394
16,0.266933,4,0.461105,868.870,533.506
17,0.283617,1,0.395066,708.351,179.656
17,0.283617,3,0.324213,559.867,636.389
17,0.283617,4,0.706884,869.457,532.009
18,0.300300,1,0.280171,707.902,181.621
18,0.300300,3,0.324213,561.480,641.079
18,0.300300,4,0.706884,870.559,532.639
19,0.316983,1,0.560067,707.148,185.383
19,0.316983,3,0.324213,563.092,645.770
19,0.316983,4,0.254726,863.567,523.642
20,0.333667,1,0.630828,706.468,191.216
20,0.333667,3,0.324213,564.705,650.460
20,0.333667,4,0.254726,862.169,521.299
21,0.350350,1,0.318198,705.485,199.128
21,0.350350,3,0.324213,566.317,655.150
21,0.350350,4,0.254726,860.771,518.956
22,0.367033,1,0.248163,704.591,208.593
22,0.367033,3,0.324213,567.930,659.841
22,0.367033,4,0.254726,859.373,516.613
23,0.383717,1,0.167686,703.609,220.218
23,0.383717,4,0.254726,857.975,514.270
24,0.400400,1,0.554653,702.901,233.579
24,0.400400,4,0.254726,856.577,511.927
25,0.417083,1,0.261601,702.288,248.868
26,0.433767,1,0.261601,701.561,258.883
27,0.450450,1,0.615654,700.783,279.744
28,0.467133,1,0.696052,699.866,302.130
29,0.483817,1,0.669716,698.824,325.835
30,0.500500,1,0.631177,697.884,350.656
30,0.500500,5,0.675431,554.111,333.082
31,0.517183,1,0.183634,696.954,376.793
31,0.517183,5,0.693792,552.830,315.585
32,0.533867,1,0.183634,696.063,398.074
32,0.533867,5,0.727789,551.394,296.519
33,0.550550,1,0.183634,695.172,419.355
33,0.550550,5,0.422673,549.554,278.476
34,0.567233,1,0.183634,694.280,440.635
34,0.567233,5,0.501750,547.397,262.657
35,0.583917,1,0.183634,693.389,461.916
35,0.583917,5,0.261906,545.440,248.867
36,0.600600,1,0.183634,692.497,483.197
36,0.600600,5,0.357210,543.771,237.393
37,0.617283,5,0.659746,542.029,228.441
38,0.633967,5,0.591395,540.140,221.648
39,0.650650,5,0.674280,538.474,216.977
39,0.650650,6,0.759841,397.717,458.073
40,0.667333,5,0.754191,536.901,214.599
40,0.667333,6,0.629672,390.482,465.181
41,0.684017,5,0.648435,535.266,214.197
41,0.684017,6,0.777797,384.781,471.563
42,0.700700,5,0.680988,533.823,215.952
42,0.700700,6,0.671334,382.706,476.044
43,0.717383,5,0.725420,532.341,219.667
43,0.717383,6,0.651514,386.320,477.606
43,0.717383,7,0.325066,725.951,601.942
44,0.734067,5,0.671184,530.829,225.180
44,0.734067,6,0.786438,393.554,475.898
44,0.734067,7,0.309094,730.393,598.261
45,0.750750,5,0.613023,529.329,232.409
45,0.750750,6,0.786438,394.272,478.144
45,0.750750,7,0.350669,733.859,588.501
46,0.767433,5,0.585212,528.000,241.506
46,0.767433,6,0.786438,394.990,480.389
46,0.767433,7,0.304931,736.113,573.444
47,0.784117,5,0.429079,526.583,252.628
47,0.784117,6,0.786438,395.707,482.635
47,0.784117,7,0.304931,739.217,567.149
48,0.800800,5,0.528441,525.250,265.637
48,0.800800,6,0.786438,396.425,484.881
48,0.800800,7,0.304931,742.321,560.854
49,0.817483,5,0.284275,523.658,280.408
49,0.817483,6,0.786438,397.143,487.126
49,0.817483,7,0.304931,745.425,554.560
50,0.834167,5,0.756161,522.288,296.605
50,0.834167,7,0.304931,748.529,548.265
51,0.850850,5,0.685294,521.007,315.295
51,0.850850,7,0.304931,751.633,541.970
52,0.867533,5,0.854965,519.844,335.653
53,0.884217,5,0.586401,518.688,357.510
54,0.900900,5,0.785672,517.527,380.888
55,0.917583,5,0.629518,516.462,405.966
55,0.917583,8,0.740202,722.078,355.916
56,0.934267,5,0.702504,515.490,432.631
56,0.934267,8,0.699493,720.418,338.878
57,0.950950,5,0.196223,514.162,461.241
57,0.950950,8,0.165606,718.633,320.614
58,0.967633,5,0.299266,513.092,491.762
58,0.967633,8,0.403947,716.588,303.344
59,0.984317,5,0.299266,511.932,517.330
59,0.984317,8,0.701500,714.382,288.574
60,1.001000,5,0.299266,510.773,542.898
60,1.001000,8,0.603774,712.613,276.014
61,1.017683,5,0.299266,509.613,568.466
61,1.017683,8,0.617790,710.918,265.813
62,1.034367,5,0.299266,508.453,594.034
62,1.034367,8,0.679461,709.148,257.578
63,1.051050,5,0.168127,513.861,614.033
63,1.051050,8,0.597561,707.565,251.687
64,1.067733,5,0.665706,520.313,630.624
64,1.067733,8,0.518087,706.193,248.119
64,1.067733,9,0.600804,864.110,512.871
65,1.084417,5,0.404204,527.718,642.956
65,1.084417,8,0.445026,704.625,246.688
65,1.084417,9,0.342904,871.441,522.308
66,1.101100,5,0.404204,531.256,662.464
66,1.101100,8,0.501049,703.228,247.301
66,1.101100,9,0.193787,875.871,529.586
67,1.117783,5,0.404204,534.794,681.971
67,1.117783,8,0.649342,702.065,249.860
67,1.117783,9,0.255995,876.492,531.338
68,1.134467,5,0.404204,538.332,701.479
68,1.134467,8,0.676155,701.222,254.338
68,1.134467,9,0.200849,873.259,528.567
68,1.134467,10,0.388648,548.979,625.186
69,1.151150,5,0.404204,541.870,720.987
69,1.151150,8,0.561732,700.274,260.768
69,1.151150,9,0.200849,874.650,531.090
69,1.151150,10,0.367370,553.480,614.156
70,1.167833,8,0.723356,699.122,268.973
70,1.167833,9,0.200849,876.042,533.612
70,1.167833,10,0.226043,558.648,597.294
71,1.184517,8,0.481470,697.859,278.819
71,1.184517,9,0.200849,877.433,536.135
71,1.184517,10,0.462104,562.470,576.364
71,1.184517,11,0.246146,837.659,497.312
72,1.201200,8,0.658060,696.892,290.569
72,1.201200,9,0.200849,878.825,538.657
72,1.201200,10,0.462104,565.961,563.671
72,1.201200,11,0.246146,833.976,494.868
73,1.217883,8,0.481433,695.894,304.239
73,1.217883,9,0.200849,880.216,541.179
73,1.217883,10,0.462104,569.452,550.978
73,1.217883,11,0.246146,830.292,492.424
74,1.234567,8,0.337694,694.525,319.590
74,1.234567,10,0.462104,572.943,538.285
74,1.234567,11,0.246146,826.609,489.979
75,1.251250,8,0.494212,693.391,336.467
75,1.251250,10,0.462104,576.434,525.592
76,1.267933,8,0.393416,692.406,355.213
76,1.267933,10,0.462104,579.925,512.899
77,1.284617,8,0.607436,691.516,375.530
78,1.301300,8,0.541768,690.538,397.545
79,1.317983,8,0.800994,689.534,421.174
80,1.334667,8,0.292333,688.629,446.544
81,1.351350,8,0.263789,687.539,473.615
81,1.351350,12,0.531228,558.943,323.441
82,1.368033,8,0.263789,686.519,495.977
82,1.368033,12,0.264476,557.839,306.759
83,1.384717,8,0.263789,685.499,518.339
83,1.384717,12,0.508617,556.428,288.969
84,1.401400,8,0.263789,684.479,540.701
84,1.401400,12,0.528015,555.039,271.974
85,1.418083,8,0.263789,683.459,563.062
85,1.418083,12,0.486346,553.611,256.991
