frame,time_seconds,track_id,confidence,center_x,center_y,observed
2,0.033367,1,0.837167,553.165,347.082,1
2,0.033367,2,0.681836,611.921,440.955,1
3,0.050050,1,0.884583,553.053,368.549,1
3,0.050050,2,0.717514,640.199,442.165,1
3,0.050050,3,0.733108,713.173,366.470,1
4,0.066733,1,0.823091,552.781,395.033,1
4,0.066733,2,0.688336,672.745,445.232,1
4,0.066733,3,0.794196,712.375,344.046,1
5,0.083417,1,0.263305,552.602,424.462,1
5,0.083417,2,0.353519,706.720,450.240,1
5,0.083417,3,0.623144,711.598,319.434,1
6,0.100100,1,0.438313,552.342,454.992,1
6,0.100100,2,0.452311,739.665,456.551,1
6,0.100100,3,0.477771,711.164,295.296,1
7,0.116783,1,0.447278,552.136,486.442,1
7,0.116783,2,0.345197,766.038,464.594,1
7,0.116783,3,0.584841,710.968,273.114,1
8,0.133467,1,0.233000,551.449,519.830,1
8,0.133467,2,0.172623,787.538,473.395,1
8,0.133467,3,0.590068,710.845,253.221,1
9,0.150150,1,0.229583,550.414,548.935,1
9,0.150150,2,0.223218,806.412,482.137,1
9,0.150150,3,0.632476,710.825,235.827,1
10,0.166833,1,0.319067,549.540,574.879,1
10,0.166833,2,0.223218,830.157,488.752,0
10,0.166833,3,0.524035,710.604,220.983,1
11,0.183517,1,0.431967,549.298,597.724,1
11,0.183517,2,0.223218,853.901,495.367,0
11,0.183517,3,0.449327,710.267,208.632,1
12,0.200200,1,0.184563,549.827,617.664,1
12,0.200200,2,0.223218,877.646,501.982,0
12,0.200200,3,0.513071,710.103,198.493,1
13,0.216883,1,0.196990,551.718,634.287,1
13,0.216883,2,0.310595,883.689,514.063,1
13,0.216883,3,0.699566,710.016,190.521,1
14,0.233567,1,0.293956,553.759,645.923,1
14,0.233567,2,0.701136,885.780,525.594,1
14,0.233567,3,0.626435,709.821,184.734,1
15,0.250250,1,0.446738,555.292,652.299,1
15,0.250250,2,0.657738,886.323,534.558,1
15,0.250250,3,0.547052,709.317,180.983,1
16,0.266933,1,0.344403,557.030,652.322,1
16,0.266933,2,0.461105,885.153,539.232,1
16,0.266933,3,0.425026,708.784,179.307,1
17,0.283617,1,0.324213,559.274,646.634,1
17,0.283617,2,0.706884,882.131,539.085,1
17,0.283617,3,0.395066,708.348,179.491,1
18,0.300300,1,0.324213,560.739,653.805,0
18,0.300300,2,0.706884,886.964,544.800,0
18,0.300300,3,0.280171,707.906,181.706,1
19,0.316983,1,0.324213,562.203,660.977,0
19,0.316983,2,0.706884,891.797,550.515,0
19,0.316983,3,0.560067,707.157,185.597,1
20,0.333667,1,0.324213,563.667,668.148,0
20,0.333667,2,0.706884,896.630,556.231,0
20,0.333667,3,0.630828,706.477,191.475,1
21,0.350350,1,0.324213,565.131,675.319,0
21,0.350350,2,0.706884,901.462,561.946,0
21,0.350350,3,0.318198,705.494,199.381,1
21,0.350350,4,0.812284,835.057,499.385,1
21,0.350350,5,0.341252,565.828,564.349,1
22,0.367033,1,0.324213,566.595,682.490,0
22,0.367033,2,0.706884,906.295,567.661,0
22,0.367033,3,0.248163,704.599,208.813,1
22,0.367033,4,0.411429,815.743,488.908,1
22,0.367033,5,0.201477,565.527,539.283,1
