source_tracklet,candidate_tracklet,trajectory_fit_error,accepted,chain_id
1,6,40.126360,0,
2,6,86.346332,0,
3,8,18.306459,1,3
3,7,61.039010,0,
4,7,62.446306,0,
4,8,97.187035,0,
5,6,2.494506,1,5
6,15,34.997267,0,
7,10,65.083367,0,
9,12,26.223845,0,
9,13,56.532785,0,
10,11,43.101847,0,
11,13,45.812772,0,
11,12,58.610720,0,
12,17,39.764869,0,
12,16,43.328833,0,
14,19,33.944457,0,
14,18,71.784066,0,
15,17,39.174291,0,
15,16,41.285722,0,
16,19,112.329997,0,
17,22,35.104766,0,
18,21,40.710255,0,
18,22,51.658514,0,
19,20,1.522498,1,17
20,22,22.853366,0,
21,22,1.823535,1,18
22,27,12.853832,1,18
23,25,8.103151,1,18
25,27,9.111114,1,18
25,26,33.994451,0,
28,29,0.591355,1,21
29,34,3.494420,1,21
30,33,4.166562,1,22
31,36,1.287889,1,23
31,38,31.664327,0,
31,37,45.861333,0,
35,37,1.645284,1,25
35,38,16.222763,0,
35,36,67.658303,0,
36,41,30.155955,0,
37,40,0.846868,1,25
37,39,14.632402,0,
38,39,1.388390,1,31
38,40,13.099916,0,
39,47,1.360009,1,31
39,48,80.913163,0,
40,41,2.416125,1,25
40,42,25.476048,0,
41,43,1.252136,1,25
41,44,46.394868,0,
43,45,0.483449,1,25
44,53,38.866711,0,
45,46,1.031029,1,25
45,47,26.274040,0,
47,52,6.053997,1,31
50,55,1.227322,1,30
50,56,33.062884,0,
51,52,4.269400,1,31
52,53,48.153201,0,
53,58,22.344926,0,
54,57,37.926080,0,
56,57,46.142743,0,
57,63,52.092380,0,
59,61,24.647816,0,
59,62,25.424842,0,
60,64,2.653091,1,38
62,66,15.554923,1,40
62,65,24.021232,0,
63,66,61.216419,0,
63,65,54.875807,0,
64,68,21.728619,1,38
64,69,73.099151,0,
65,69,49.598093,0,
66,69,28.494810,0,
66,68,54.015859,0,
67,70,7.111206,1,43
67,72,67.076858,0,
67,71,76.754373,0,
68,71,18.508894,1,38
68,72,76.795430,0,
68,70,90.506115,0,
70,74,37.222367,0,
72,74,62.174133,0,
73,75,57.704643,0,
