source_tracklet,candidate_tracklet,gap_frames,predicted_x,predicted_y,candidate_start_x,candidate_start_y,prediction_error,source_end_frame,candidate_start_frame,end_velocity_x,end_velocity_y,candidate_rank
1,6,4,573.915000,718.345000,558.724000,398.133000,320.572131,22,27,1.464000,7.171000,1
2,6,4,930.460000,596.236000,558.724000,398.133000,421.227317,22,27,4.833000,5.715000,1
3,8,6,686.251000,632.027000,725.951000,601.942000,49.811617,36,43,-0.892000,21.270000,1
3,7,2,689.819000,546.947000,397.717000,458.073000,305.323052,36,39,-0.892000,21.270000,2
4,7,0,300.550000,412.341000,397.717000,458.073000,107.391069,38,39,-29.559000,-1.735000,1
4,8,4,182.314000,405.401000,725.951000,601.942000,578.074003,38,43,-29.559000,-1.735000,2
5,6,0,564.868000,475.970000,558.724000,398.133000,78.079109,26,27,-0.132000,-12.663000,1
6,15,10,671.697000,459.480000,525.697000,491.184000,149.402623,127,138,5.586000,-7.215000,1
7,10,2,991.491000,426.607000,864.110000,512.871000,153.842117,61,64,32.062000,0.183000,1
9,12,0,737.195000,397.089000,731.105000,349.922000,47.558532,103,104,2.195000,-19.072000,1
9,13,0,737.195000,397.089000,631.981000,423.225000,108.411606,103,104,2.195000,-19.072000,2
10,11,2,349.849000,415.513000,442.273000,472.101000,108.371572,84,87,-30.761000,-3.886000,1
11,13,1,490.617000,457.304000,631.981000,423.225000,145.413750,102,104,7.536000,-3.033000,1
11,12,1,490.617000,457.304000,731.105000,349.922000,263.373066,102,104,7.536000,-3.033000,2
12,17,10,758.287000,394.791000,581.663000,364.696000,179.169602,154,165,-1.624000,-10.347000,1
12,16,2,771.279000,477.567000,584.985000,303.461000,254.986968,154,157,-1.624000,-10.347000,2
14,19,8,485.303000,833.963000,459.773000,537.974000,297.087982,165,174,-1.645000,27.611000,1
14,18,0,498.463000,613.075000,586.581000,135.607000,485.531125,165,166,-1.645000,27.611000,2
15,17,10,679.711000,462.339000,581.663000,364.696000,138.374729,154,165,6.071000,-6.164000,1
15,16,2,631.143000,511.651000,584.985000,303.461000,213.245485,154,157,6.071000,-6.164000,2
16,19,2,587.961000,-18.840000,459.773000,537.974000,571.379028,171,174,0.165000,-17.481000,1
17,22,7,565.584000,267.454000,591.398000,124.839000,144.932401,212,220,-3.377000,-19.847000,1
18,21,0,755.802000,526.136000,602.616000,343.875000,238.086167,211,212,2.484000,-5.628000,1
18,22,8,775.674000,481.112000,591.398000,124.839000,401.108582,211,220,2.484000,-5.628000,2
19,20,1,473.892000,-7.549000,474.137000,99.655000,107.204280,200,202,1.368000,-10.211000,1
20,22,6,502.188000,393.804000,591.398000,124.839000,283.373597,213,220,1.513000,16.320000,1
21,22,2,596.045000,195.268000,591.398000,124.839000,70.582141,217,220,-0.733000,-16.697000,1
22,27,5,597.004000,790.883000,593.004000,641.926000,149.010697,257,263,2.952000,30.651000,1
23,25,2,597.468000,383.176000,594.045000,472.282000,89.171723,240,243,-0.400000,1.447000,1
25,27,6,590.028000,751.021000,593.004000,641.926000,109.135584,256,263,-0.110000,12.345000,1
25,26,0,590.688000,676.951000,644.213000,530.625000,155.808292,256,257,-0.110000,12.345000,2
28,29,3,644.185000,17.490000,644.033000,21.141000,3.654163,387,391,0.236000,-0.003000,1
29,34,5,673.754000,489.895000,687.717000,466.285000,27.429865,465,471,0.592000,8.476000,1
30,33,5,716.007000,508.210000,714.478000,515.046000,7.004908,455,461,0.860000,5.877000,1
31,36,5,501.150000,100.747000,501.412000,113.952000,13.207599,527,533,-0.340000,2.203000,1
31,38,5,501.150000,100.747000,618.640000,508.075000,423.933957,527,533,-0.340000,2.203000,2
31,37,5,501.150000,100.747000,716.764000,480.889000,437.032421,527,533,-0.340000,2.203000,3
35,37,5,725.050000,491.756000,716.764000,480.889000,13.665632,527,533,-0.101000,-2.619000,1
35,38,5,725.050000,491.756000,618.640000,508.075000,107.654066,527,533,-0.101000,-2.619000,2
35,36,5,725.050000,491.756000,501.412000,113.952000,439.032820,527,533,-0.101000,-2.619000,3
36,41,9,487.566000,558.837000,626.679000,343.390000,256.456305,581,591,-0.128000,9.550000,1
37,40,10,710.193000,447.354000,687.749000,406.548000,46.571051,538,549,-0.399000,-2.029000,1
37,39,6,711.789000,455.470000,614.795000,400.372000,111.551000,538,545,-0.399000,-2.029000,2
38,39,6,616.062000,457.725000,614.795000,400.372000,57.366993,538,545,-0.206000,-4.024000,1
38,40,10,615.238000,441.629000,687.749000,406.548000,80.551361,538,549,-0.206000,-4.024000,2
39,47,3,553.998000,254.890000,553.200000,269.578000,14.709662,681,685,-0.339000,6.311000,1
39,48,9,551.964000,292.756000,57.944000,674.744000,624.476255,681,691,-0.339000,6.311000,2
40,41,3,619.280000,342.003000,626.679000,343.390000,7.527880,587,591,-1.025000,-0.308000,1
40,42,5,617.230000,341.387000,483.609000,519.556000,222.707800,587,593,-1.025000,-0.308000,2
41,43,7,616.997000,326.047000,625.135000,322.182000,9.009177,613,621,-0.402000,-0.727000,1
41,44,9,616.193000,324.593000,435.908000,537.837000,279.241266,613,623,-0.402000,-0.727000,2
43,45,4,622.750000,318.352000,619.270000,313.041000,6.349576,626,631,-0.227000,-0.364000,1
44,53,5,449.682000,1018.464000,394.962000,628.681000,393.605215,785,791,0.252000,36.649000,1
45,46,3,607.673000,421.825000,607.686000,430.306000,8.481010,675,679,-0.154000,3.646000,1
45,47,9,606.749000,443.701000,553.200000,269.578000,182.171113,675,685,-0.154000,3.646000,2
47,52,3,613.007000,459.570000,598.926000,438.824000,25.073314,771,775,-0.984000,-5.210000,1
50,55,0,594.370000,213.278000,596.355000,304.109000,90.852687,810,811,2.110000,15.982000,1
50,56,3,600.700000,261.224000,610.783000,418.295000,157.394301,810,814,2.110000,15.982000,2
51,52,4,617.961000,494.942000,598.926000,438.824000,59.258427,770,775,-0.451000,-1.800000,1
52,53,5,516.880000,292.069000,394.962000,628.681000,358.010666,785,791,-4.925000,-8.647000,1
53,58,10,579.479000,999.646000,457.172000,527.697000,487.539599,844,855,4.202000,34.540000,1
54,57,3,571.104000,317.290000,587.969000,198.536000,119.945574,835,839,-0.659000,-22.432000,1
56,57,4,698.003000,430.203000,587.969000,198.536000,256.470427,834,839,1.475000,-10.145000,1
57,63,4,666.510000,1079.375000,587.240000,414.103000,669.978035,885,890,3.079000,38.416000,1
59,61,8,663.311000,854.427000,615.833000,648.902000,210.937636,874,883,-0.514000,23.018000,1
59,62,10,662.283000,900.463000,679.256000,543.796000,357.070626,874,885,-0.514000,23.018000,2
60,64,2,453.626000,76.385000,453.281000,188.529000,112.144531,941,944,4.339000,-2.347000,1
62,66,3,609.088000,480.516000,685.151000,505.663000,80.112119,953,957,3.150000,-8.430000,1
62,65,2,605.938000,488.946000,723.627000,456.860000,121.984475,953,956,3.150000,-8.430000,2
63,66,6,875.922000,813.708000,685.151000,505.663000,362.333129,950,957,11.205000,14.142000,1
63,65,5,864.717000,799.566000,723.627000,456.860000,370.612723,950,956,11.205000,14.142000,2
64,68,0,575.645000,812.705000,561.281000,668.717000,144.702691,969,970,4.728000,13.249000,1
64,69,7,608.741000,905.448000,621.697000,496.127000,409.525993,969,977,4.728000,13.249000,2
65,69,1,706.119000,252.803000,621.697000,496.127000,257.553185,975,977,-0.911000,-4.473000,1
66,69,7,799.189000,497.147000,621.697000,496.127000,177.494931,969,977,5.134000,-0.861000,1
66,68,0,763.251000,503.174000,561.281000,668.717000,261.144339,969,970,5.134000,-0.861000,2
67,70,3,651.864000,169.965000,654.015000,298.760000,128.812961,1025,1029,-1.946000,-6.894000,1
67,72,3,651.864000,169.965000,704.738000,473.734000,308.336286,1025,1029,-1.946000,-6.894000,2
67,71,3,651.864000,169.965000,521.604000,541.796000,393.987259,1025,1029,-1.946000,-6.894000,3
68,71,8,497.150000,1033.099000,521.604000,541.796000,491.911207,1020,1029,-0.721000,32.509000,1
68,72,8,497.150000,1033.099000,704.738000,473.734000,596.642255,1020,1029,-0.721000,32.509000,2
68,70,8,497.150000,1033.099000,654.015000,298.760000,750.906382,1020,1029,-0.721000,32.509000,3
70,74,0,751.790000,493.030000,709.975000,385.545000,115.332213,1055,1056,6.136000,-10.408000,1
72,74,0,463.981000,479.792000,709.975000,385.545000,263.430342,1055,1056,8.447000,-2.920000,1
73,75,4,1066.433000,444.937000,879.167000,511.493000,198.741681,1065,1070,31.694000,-0.869000,1
