video,frame,time_seconds,person_index,person_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence
videos/identical_balls_trick_000_018.mp4,0,0.000000,0,0.936913,734.677429,485.329834,0.988325,515.782227,489.754272,0.992793
videos/identical_balls_trick_000_018.mp4,1,0.016683,0,0.937132,737.538879,480.094086,0.987504,520.443604,490.546997,0.992507
videos/identical_balls_trick_000_018.mp4,2,0.033367,0,0.937464,739.884460,482.944244,0.986169,526.208496,493.766602,0.993322
videos/identical_balls_trick_000_018.mp4,3,0.050050,0,0.939049,741.720703,481.429962,0.988511,532.742737,498.173553,0.993248
videos/identical_balls_trick_000_018.mp4,4,0.066733,0,0.939723,744.438171,482.341827,0.984476,534.844666,503.635223,0.993599
videos/identical_balls_trick_000_018.mp4,5,0.083417,0,0.938011,747.052734,482.489899,0.985294,536.741028,505.655609,0.992023
videos/identical_balls_trick_000_018.mp4,6,0.100100,0,0.934379,745.665222,491.808868,0.969520,537.095520,507.758667,0.992165
videos/identical_balls_trick_000_018.mp4,7,0.116783,0,0.943291,752.742432,495.032379,0.974871,537.276428,523.290222,0.989031
videos/identical_balls_trick_000_018.mp4,8,0.133467,0,0.939183,767.249023,494.091339,0.979521,534.925049,524.258850,0.988669
videos/identical_balls_trick_000_018.mp4,9,0.150150,0,0.926150,776.978577,491.480255,0.985215,541.661011,535.285645,0.991859
videos/identical_balls_trick_000_018.mp4,10,0.166833,0,0.930635,781.795715,494.572052,0.992989,540.374268,541.115417,0.992626
videos/identical_balls_trick_000_018.mp4,11,0.183517,0,0.927796,783.526550,498.482880,0.994535,542.674133,550.509460,0.991886
videos/identical_balls_trick_000_018.mp4,12,0.200200,0,0.926088,789.233826,502.130890,0.994534,543.894958,558.016418,0.990723
videos/identical_balls_trick_000_018.mp4,13,0.216883,0,0.923108,795.378906,502.711090,0.993208,544.214417,565.852234,0.989655
videos/identical_balls_trick_000_018.mp4,14,0.233567,0,0.923897,795.917969,503.160675,0.993374,543.939148,569.859985,0.989650
videos/identical_balls_trick_000_018.mp4,15,0.250250,0,0.924528,797.421814,503.373260,0.993373,544.457336,570.202087,0.989525
videos/identical_balls_trick_000_018.mp4,16,0.266933,0,0.924576,796.672546,503.158051,0.993687,545.070068,568.936707,0.989929
videos/identical_balls_trick_000_018.mp4,17,0.283617,0,0.923604,795.621277,502.358154,0.994007,546.241638,564.713623,0.989071
videos/identical_balls_trick_000_018.mp4,18,0.300300,0,0.922363,792.053406,500.740875,0.994247,544.024963,556.489441,0.989578
videos/identical_balls_trick_000_018.mp4,19,0.316983,0,0.920007,787.024109,498.135223,0.994030,541.858521,545.576477,0.990744
videos/identical_balls_trick_000_018.mp4,20,0.333667,0,0.920308,777.823425,493.341400,0.993782,537.831726,535.533569,0.991636
videos/identical_balls_trick_000_018.mp4,21,0.350350,0,0.917108,774.462402,493.995270,0.985981,538.456665,526.121887,0.991514
videos/identical_balls_trick_000_018.mp4,22,0.367033,0,0.915556,775.238770,490.471283,0.980116,531.941711,517.545349,0.990711
videos/identical_balls_trick_000_018.mp4,23,0.383717,0,0.731127,756.006897,492.904816,0.968009,531.730713,512.957642,0.990194
videos/identical_balls_trick_000_018.mp4,24,0.400400,0,0.939115,742.809509,488.702393,0.957599,530.434509,504.671722,0.993144
videos/identical_balls_trick_000_018.mp4,25,0.417083,0,0.940268,739.122864,490.364899,0.970061,523.118408,493.388580,0.993568
videos/identical_balls_trick_000_018.mp4,26,0.433767,0,0.937434,734.057800,488.096191,0.976328,519.812561,487.562225,0.993631
videos/identical_balls_trick_000_018.mp4,27,0.450450,0,0.938524,732.279602,483.004761,0.980001,515.241760,483.883545,0.994332
videos/identical_balls_trick_000_018.mp4,28,0.467133,0,0.938884,730.434998,479.534393,0.980852,510.325958,483.461182,0.993341
videos/identical_balls_trick_000_018.mp4,29,0.483817,0,0.939005,727.218445,478.545441,0.984517,504.918060,482.170654,0.993349
videos/identical_balls_trick_000_018.mp4,30,0.500500,0,0.938884,726.229675,478.886108,0.985811,498.796875,482.472260,0.992648
videos/identical_balls_trick_000_018.mp4,31,0.517183,0,0.940743,727.487122,483.956329,0.986581,493.349701,481.693085,0.990833
