video,frame,time_seconds,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
identical_balls_trick_000_018.mp4,0,0.000000,0,person,0.941291,486.680,161.319,768.468,716.162,627.574,438.741,281.787,554.843
identical_balls_trick_000_018.mp4,0,0.000000,32,sports ball,0.665575,532.012,294.035,575.844,339.853,553.928,316.944,43.832,45.818
identical_balls_trick_000_018.mp4,0,0.000000,75,vase,0.636161,919.990,505.823,964.280,710.400,942.135,608.112,44.290,204.576
identical_balls_trick_000_018.mp4,0,0.000000,32,sports ball,0.628203,693.441,408.705,739.446,454.282,716.444,431.493,46.005,45.577
identical_balls_trick_000_018.mp4,0,0.000000,58,potted plant,0.585721,0.000,527.942,161.296,701.886,80.648,614.914,161.296,173.944
identical_balls_trick_000_018.mp4,0,0.000000,58,potted plant,0.547254,1001.317,597.149,1077.245,716.280,1039.281,656.715,75.928,119.131
identical_balls_trick_000_018.mp4,0,0.000000,75,vase,0.336467,962.386,513.131,1005.009,718.784,983.698,615.957,42.622,205.653
identical_balls_trick_000_018.mp4,0,0.000000,15,cat,0.336297,1070.311,596.741,1279.189,719.143,1174.750,657.942,208.878,122.402
identical_balls_trick_000_018.mp4,0,0.000000,32,sports ball,0.313906,544.524,418.920,592.347,464.726,568.435,441.823,47.823,45.806
identical_balls_trick_000_018.mp4,0,0.000000,47,apple,0.264557,544.524,418.920,592.347,464.726,568.435,441.823,47.823,45.806
identical_balls_trick_000_018.mp4,0,0.000000,39,bottle,0.227112,919.990,505.823,964.280,710.400,942.135,608.112,44.290,204.576
identical_balls_trick_000_018.mp4,0,0.000000,47,apple,0.178640,693.441,408.705,739.446,454.282,716.444,431.493,46.005,45.577
identical_balls_trick_000_018.mp4,1,0.016683,0,person,0.944344,487.474,160.930,769.593,716.109,628.534,438.520,282.119,555.180
identical_balls_trick_000_018.mp4,1,0.016683,32,sports ball,0.804028,531.411,313.544,575.271,359.787,553.341,336.665,43.859,46.243
identical_balls_trick_000_018.mp4,1,0.016683,32,sports ball,0.792490,574.868,417.954,622.410,463.247,598.639,440.600,47.543,45.293
identical_balls_trick_000_018.mp4,1,0.016683,75,vase,0.635224,920.003,505.897,964.280,710.401,942.141,608.149,44.277,204.503
identical_balls_trick_000_018.mp4,1,0.016683,58,potted plant,0.602609,0.000,527.971,161.286,702.122,80.643,615.047,161.286,174.152
identical_balls_trick_000_018.mp4,1,0.016683,32,sports ball,0.570049,692.511,380.781,737.183,426.611,714.847,403.696,44.672,45.830
identical_balls_trick_000_018.mp4,1,0.016683,58,potted plant,0.546554,1001.268,596.536,1077.410,716.558,1039.339,656.547,76.142,120.022
identical_balls_trick_000_018.mp4,1,0.016683,32,sports ball,0.363506,692.261,379.887,737.435,426.797,714.848,403.342,45.174,46.910
identical_balls_trick_000_018.mp4,1,0.016683,75,vase,0.342932,962.358,513.178,1005.001,718.816,983.680,615.997,42.643,205.638
identical_balls_trick_000_018.mp4,1,0.016683,15,cat,0.333115,1070.546,596.709,1279.198,719.137,1174.872,657.923,208.652,122.428
identical_balls_trick_000_018.mp4,1,0.016683,39,bottle,0.218938,920.003,505.897,964.280,710.401,942.141,608.149,44.277,204.503
identical_balls_trick_000_018.mp4,2,0.033367,0,person,0.940287,487.626,160.983,772.132,716.164,629.879,438.573,284.506,555.182
identical_balls_trick_000_018.mp4,2,0.033367,32,sports ball,0.837167,530.757,336.392,575.066,382.680,552.911,359.536,44.309,46.289
identical_balls_trick_000_018.mp4,2,0.033367,32,sports ball,0.795883,690.737,353.984,736.302,400.565,713.520,377.275,45.564,46.581
identical_balls_trick_000_018.mp4,2,0.033367,32,sports ball,0.681836,605.313,418.318,652.035,463.786,628.674,441.052,46.722,45.467
identical_balls_trick_000_018.mp4,2,0.033367,75,vase,0.620931,919.977,506.118,964.249,710.446,942.113,608.282,44.272,204.329
identical_balls_trick_000_018.mp4,2,0.033367,58,potted plant,0.610362,0.000,527.527,161.282,702.714,80.641,615.120,161.282,175.187
identical_balls_trick_000_018.mp4,2,0.033367,58,potted plant,0.533627,1001.334,596.557,1077.386,716.744,1039.360,656.651,76.053,120.187
identical_balls_trick_000_018.mp4,2,0.033367,15,cat,0.328029,1070.488,596.723,1279.195,719.165,1174.842,657.944,208.708,122.442
identical_balls_trick_000_018.mp4,2,0.033367,75,vase,0.325914,962.329,513.149,1004.999,718.806,983.664,615.978,42.670,205.657
identical_balls_trick_000_018.mp4,2,0.033367,39,bottle,0.233269,919.977,506.118,964.249,710.446,942.113,608.282,44.272,204.329
identical_balls_trick_000_018.mp4,2,0.033367,39,bottle,0.152743,962.329,513.149,1004.999,718.806,983.664,615.978,42.670,205.657
identical_balls_trick_000_018.mp4,3,0.050050,0,person,0.939027,487.980,160.996,772.955,716.355,630.467,438.676,284.976,555.359
identical_balls_trick_000_018.mp4,3,0.050050,32,sports ball,0.884583,530.848,360.366,575.274,406.132,553.061,383.249,44.426,45.766
identical_balls_trick_000_018.mp4,3,0.050050,32,sports ball,0.733108,689.546,329.254,735.739,375.911,712.643,352.583,46.193,46.658
identical_balls_trick_000_018.mp4,3,0.050050,32,sports ball,0.717514,635.923,420.652,682.489,465.974,659.206,443.313,46.566,45.322
