video,frame,time_seconds,tracker,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
identical_balls_trick_000_018.mp4,0,0.000000,botsort,1,32,sports ball,0.665575,532.012,294.035,575.844,339.854,554.000,317.000,43.832,45.818
identical_balls_trick_000_018.mp4,0,0.000000,botsort,2,32,sports ball,0.628203,693.441,408.705,739.446,454.282,716.000,431.000,46.005,45.577
identical_balls_trick_000_018.mp4,0,0.000000,botsort,3,32,sports ball,0.313906,544.524,418.920,592.347,464.726,568.000,442.000,47.823,45.806
identical_balls_trick_000_018.mp4,1,0.016683,botsort,1,32,sports ball,0.804028,531.505,310.956,575.361,357.143,553.000,334.000,43.856,46.187
identical_balls_trick_000_018.mp4,2,0.033367,botsort,1,32,sports ball,0.837167,530.931,331.602,575.141,377.888,553.000,355.000,44.210,46.286
identical_balls_trick_000_018.mp4,3,0.050050,botsort,1,32,sports ball,0.884583,530.828,356.112,575.239,402.025,553.000,379.000,44.410,45.913
identical_balls_trick_000_018.mp4,4,0.066733,botsort,1,32,sports ball,0.823091,530.631,382.048,574.808,428.590,553.000,405.000,44.177,46.542
identical_balls_trick_000_018.mp4,5,0.083417,botsort,,32,sports ball,0.623144,688.884,285.142,733.720,330.745,711.000,308.000,44.836,45.603
identical_balls_trick_000_018.mp4,5,0.083417,botsort,,32,sports ball,0.353519,696.779,432.076,741.795,475.466,719.000,454.000,45.016,43.390
identical_balls_trick_000_018.mp4,5,0.083417,botsort,,32,sports ball,0.263305,530.563,413.889,574.625,460.136,553.000,437.000,44.062,46.248
identical_balls_trick_000_018.mp4,6,0.100100,botsort,,32,sports ball,0.477771,688.651,265.744,733.915,309.759,711.000,288.000,45.264,44.015
identical_balls_trick_000_018.mp4,6,0.100100,botsort,,32,sports ball,0.452311,725.845,439.430,770.100,481.609,748.000,461.000,44.255,42.179
identical_balls_trick_000_018.mp4,6,0.100100,botsort,,32,sports ball,0.438313,529.782,441.828,574.723,489.121,552.000,465.000,44.941,47.293
identical_balls_trick_000_018.mp4,7,0.116783,botsort,,32,sports ball,0.584841,688.762,246.754,733.840,292.239,711.000,269.000,45.078,45.486
identical_balls_trick_000_018.mp4,7,0.116783,botsort,,32,sports ball,0.447278,530.060,473.240,574.195,517.723,552.000,495.000,44.135,44.483
identical_balls_trick_000_018.mp4,7,0.116783,botsort,,32,sports ball,0.345197,743.486,448.262,786.848,490.812,765.000,470.000,43.362,42.550
identical_balls_trick_000_018.mp4,8,0.133467,botsort,,32,sports ball,0.590068,688.392,229.956,733.970,275.983,711.000,253.000,45.578,46.027
identical_balls_trick_000_018.mp4,8,0.133467,botsort,,32,sports ball,0.233000,530.229,506.144,571.537,551.892,551.000,529.000,41.308,45.747
identical_balls_trick_000_018.mp4,8,0.133467,botsort,,32,sports ball,0.172623,759.914,455.725,802.504,500.415,781.000,478.000,42.590,44.690
identical_balls_trick_000_018.mp4,9,0.150150,botsort,22,32,sports ball,0.632476,688.614,218.608,733.792,264.284,711.000,241.000,45.178,45.676
identical_balls_trick_000_018.mp4,10,0.166833,botsort,22,32,sports ball,0.524035,687.783,206.639,733.770,252.594,711.000,230.000,45.987,45.955
identical_balls_trick_000_018.mp4,11,0.183517,botsort,22,32,sports ball,0.449327,687.532,194.473,732.989,240.472,710.000,217.000,45.457,45.999
identical_balls_trick_000_018.mp4,12,0.200200,botsort,22,32,sports ball,0.513071,687.474,184.334,732.873,229.944,710.000,207.000,45.400,45.610
identical_balls_trick_000_018.mp4,13,0.216883,botsort,22,32,sports ball,0.699566,687.540,176.126,732.751,221.612,710.000,199.000,45.211,45.486
identical_balls_trick_000_018.mp4,14,0.233567,botsort,22,32,sports ball,0.626435,687.301,169.732,732.433,215.720,710.000,193.000,45.132,45.988
identical_balls_trick_000_018.mp4,14,0.233567,botsort,25,32,sports ball,0.701136,841.630,507.635,886.657,548.591,864.000,528.000,45.027,40.956
identical_balls_trick_000_018.mp4,15,0.250250,botsort,22,32,sports ball,0.547052,686.735,165.251,731.602,211.653,709.000,188.000,44.866,46.402
identical_balls_trick_000_018.mp4,15,0.250250,botsort,25,32,sports ball,0.657738,845.007,511.359,890.235,554.687,868.000,533.000,45.227,43.328
identical_balls_trick_000_018.mp4,15,0.250250,botsort,26,32,sports ball,0.446738,534.888,613.180,577.472,657.083,556.000,635.000,42.584,43.902
identical_balls_trick_000_018.mp4,16,0.266933,botsort,22,32,sports ball,0.425026,686.096,162.920,731.131,209.398,709.000,186.000,45.035,46.478
identical_balls_trick_000_018.mp4,16,0.266933,botsort,25,32,sports ball,0.461105,848.240,513.095,891.529,555.229,870.000,534.000,43.289,42.134
identical_balls_trick_000_018.mp4,16,0.266933,botsort,26,32,sports ball,0.344403,535.746,610.787,579.431,654.969,558.000,633.000,43.686,44.182
identical_balls_trick_000_018.mp4,17,0.283617,botsort,22,32,sports ball,0.395066,685.714,162.435,730.640,208.841,708.000,186.000,44.926,46.406
identical_balls_trick_000_018.mp4,17,0.283617,botsort,25,32,sports ball,0.706884,847.825,510.434,890.981,551.080,869.000,531.000,43.156,40.645
identical_balls_trick_000_018.mp4,17,0.283617,botsort,26,32,sports ball,0.324213,538.945,604.782,581.093,647.771,560.000,626.000,42.148,42.990
