video,frame,time_seconds,tracker,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
identical_balls_trick_000_018.mp4,0,0.000000,bytetrack,1,32,sports ball,0.665575,532.012,294.035,575.844,339.854,554.000,317.000,43.832,45.818
identical_balls_trick_000_018.mp4,0,0.000000,bytetrack,2,32,sports ball,0.628203,693.441,408.705,739.446,454.282,716.000,431.000,46.005,45.577
identical_balls_trick_000_018.mp4,0,0.000000,bytetrack,3,32,sports ball,0.313906,544.524,418.920,592.346,464.726,568.000,442.000,47.823,45.806
identical_balls_trick_000_018.mp4,1,0.016683,bytetrack,1,32,sports ball,0.804028,531.330,310.964,575.508,357.151,553.000,334.000,44.178,46.187
identical_balls_trick_000_018.mp4,2,0.033367,bytetrack,1,32,sports ball,0.837167,530.861,331.618,575.134,377.904,553.000,355.000,44.273,46.286
identical_balls_trick_000_018.mp4,3,0.050050,bytetrack,1,32,sports ball,0.884583,531.017,356.100,574.957,402.012,553.000,379.000,43.940,45.912
identical_balls_trick_000_018.mp4,4,0.066733,bytetrack,1,32,sports ball,0.823091,530.435,382.013,574.943,428.554,553.000,405.000,44.508,46.540
identical_balls_trick_000_018.mp4,5,0.083417,bytetrack,,32,sports ball,0.623144,688.884,285.142,733.720,330.745,711.000,308.000,44.836,45.603
identical_balls_trick_000_018.mp4,5,0.083417,bytetrack,,32,sports ball,0.353519,696.779,432.076,741.795,475.466,719.000,454.000,45.016,43.390
identical_balls_trick_000_018.mp4,5,0.083417,bytetrack,,32,sports ball,0.263305,530.563,413.889,574.625,460.136,553.000,437.000,44.062,46.248
identical_balls_trick_000_018.mp4,6,0.100100,bytetrack,,32,sports ball,0.477771,688.651,265.744,733.915,309.759,711.000,288.000,45.264,44.015
identical_balls_trick_000_018.mp4,6,0.100100,bytetrack,,32,sports ball,0.452311,725.845,439.430,770.100,481.609,748.000,461.000,44.255,42.179
identical_balls_trick_000_018.mp4,6,0.100100,bytetrack,,32,sports ball,0.438313,529.782,441.828,574.723,489.121,552.000,465.000,44.941,47.293
identical_balls_trick_000_018.mp4,7,0.116783,bytetrack,,32,sports ball,0.584841,688.762,246.754,733.840,292.239,711.000,269.000,45.078,45.486
identical_balls_trick_000_018.mp4,7,0.116783,bytetrack,,32,sports ball,0.447278,530.060,473.240,574.195,517.723,552.000,495.000,44.135,44.483
identical_balls_trick_000_018.mp4,7,0.116783,bytetrack,,32,sports ball,0.345197,743.486,448.262,786.848,490.812,765.000,470.000,43.362,42.550
identical_balls_trick_000_018.mp4,8,0.133467,bytetrack,,32,sports ball,0.590068,688.392,229.956,733.970,275.983,711.000,253.000,45.578,46.027
identical_balls_trick_000_018.mp4,8,0.133467,bytetrack,,32,sports ball,0.233000,530.229,506.144,571.537,551.892,551.000,529.000,41.308,45.747
identical_balls_trick_000_018.mp4,8,0.133467,bytetrack,,32,sports ball,0.172623,759.914,455.725,802.504,500.415,781.000,478.000,42.590,44.690
identical_balls_trick_000_018.mp4,9,0.150150,bytetrack,22,32,sports ball,0.632476,688.583,218.588,733.812,264.264,711.000,241.000,45.229,45.675
identical_balls_trick_000_018.mp4,10,0.166833,bytetrack,22,32,sports ball,0.524035,688.015,206.617,733.533,252.572,711.000,230.000,45.518,45.955
identical_balls_trick_000_018.mp4,11,0.183517,bytetrack,22,32,sports ball,0.449327,687.476,194.457,733.028,240.455,710.000,217.000,45.552,45.998
identical_balls_trick_000_018.mp4,12,0.200200,bytetrack,22,32,sports ball,0.513071,687.569,184.321,732.748,229.930,710.000,207.000,45.180,45.609
identical_balls_trick_000_018.mp4,13,0.216883,bytetrack,22,32,sports ball,0.699566,687.597,176.118,732.659,221.603,710.000,199.000,45.062,45.485
identical_balls_trick_000_018.mp4,14,0.233567,bytetrack,22,32,sports ball,0.626435,687.096,169.720,732.620,215.707,710.000,193.000,45.524,45.987
identical_balls_trick_000_018.mp4,14,0.233567,bytetrack,25,32,sports ball,0.701136,842.949,507.607,885.310,548.562,864.000,528.000,42.362,40.955
identical_balls_trick_000_018.mp4,15,0.250250,bytetrack,22,32,sports ball,0.547052,686.228,165.232,732.085,211.633,709.000,188.000,45.857,46.401
identical_balls_trick_000_018.mp4,15,0.250250,bytetrack,25,32,sports ball,0.657738,845.258,511.310,890.068,554.637,868.000,533.000,44.809,43.327
identical_balls_trick_000_018.mp4,15,0.250250,bytetrack,26,32,sports ball,0.446738,534.973,613.143,577.360,657.044,556.000,635.000,42.387,43.902
identical_balls_trick_000_018.mp4,16,0.266933,bytetrack,22,32,sports ball,0.425026,685.649,162.961,731.535,209.441,709.000,186.000,45.885,46.480
identical_balls_trick_000_018.mp4,16,0.266933,bytetrack,25,32,sports ball,0.461105,848.105,513.119,891.677,555.254,870.000,534.000,43.572,42.134
identical_balls_trick_000_018.mp4,16,0.266933,bytetrack,26,32,sports ball,0.344403,536.220,610.799,578.903,654.981,558.000,633.000,42.684,44.183
identical_balls_trick_000_018.mp4,17,0.283617,bytetrack,22,32,sports ball,0.395066,685.360,162.529,731.120,208.940,708.000,186.000,45.761,46.412
identical_balls_trick_000_018.mp4,17,0.283617,bytetrack,25,32,sports ball,0.706884,848.445,510.518,890.552,551.167,869.000,531.000,42.107,40.649
identical_balls_trick_000_018.mp4,17,0.283617,bytetrack,26,32,sports ball,0.324213,539.293,604.839,580.838,647.832,560.000,626.000,41.545,42.993
identical_balls_trick_000_018.mp4,18,0.300300,bytetrack,,32,sports ball,0.280171,685.187,168.181,730.452,213.808,708.000,191.000,45.265,45.627
identical_balls_trick_000_018.mp4,19,0.316983,bytetrack,22,32,sports ball,0.560067,683.982,167.109,729.780,213.540,707.000,190.000,45.797,46.431
identical_balls_trick_000_018.mp4,20,0.333667,bytetrack,22,32,sports ball,0.630828,683.559,173.107,729.048,219.140,706.000,196.000,45.489,46.033
identical_balls_trick_000_018.mp4,21,0.350350,bytetrack,,32,sports ball,0.812284,803.670,471.892,847.660,515.082,826.000,493.000,43.990,43.190
identical_balls_trick_000_018.mp4,21,0.350350,bytetrack,,32,sports ball,0.341252,544.088,529.755,587.160,571.102,566.000,550.000,43.072,41.347
identical_balls_trick_000_018.mp4,21,0.350350,bytetrack,,32,sports ball,0.318198,681.927,185.404,727.945,231.716,705.000,209.000,46.018,46.311
identical_balls_trick_000_018.mp4,22,0.367033,bytetrack,,32,sports ball,0.411429,779.712,459.777,823.615,503.675,802.000,482.000,43.904,43.898
identical_balls_trick_000_018.mp4,22,0.367033,bytetrack,,32,sports ball,0.248163,681.332,194.367,727.265,240.562,704.000,217.000,45.933,46.195
identical_balls_trick_000_018.mp4,22,0.367033,bytetrack,,32,sports ball,0.201477,543.725,500.329,586.852,543.350,565.000,522.000,43.127,43.020
identical_balls_trick_000_018.mp4,23,0.383717,bytetrack,,32,sports ball,0.181043,754.029,447.665,796.953,491.820,775.000,470.000,42.924,44.155
identical_balls_trick_000_018.mp4,23,0.383717,bytetrack,,32,sports ball,0.167686,680.373,206.538,726.195,252.341,703.000,229.000,45.823,45.804
identical_balls_trick_000_018.mp4,24,0.400400,bytetrack,,32,sports ball,0.554653,680.414,219.327,725.594,265.723,703.000,243.000,45.180,46.396
identical_balls_trick_000_018.mp4,25,0.417083,bytetrack,,32,sports ball,0.261601,680.166,234.531,724.804,281.175,702.000,258.000,44.638,46.644
identical_balls_trick_000_018.mp4,25,0.417083,bytetrack,,32,sports ball,0.251476,537.855,411.613,583.553,457.795,561.000,435.000,45.698,46.182
identical_balls_trick_000_018.mp4,25,0.417083,bytetrack,,32,sports ball,0.183873,693.896,425.940,737.915,469.768,716.000,448.000,44.020,43.828
identical_balls_trick_000_018.mp4,26,0.433767,bytetrack,,32,sports ball,0.752481,663.270,417.456,708.033,462.720,686.000,440.000,44.763,45.264
identical_balls_trick_000_018.mp4,26,0.433767,bytetrack,,32,sports ball,0.736478,536.897,385.519,581.759,431.820,559.000,409.000,44.861,46.301
identical_balls_trick_000_018.mp4,27,0.450450,bytetrack,,32,sports ball,0.891569,632.761,411.364,678.689,456.788,656.000,434.000,45.927,45.424
identical_balls_trick_000_018.mp4,27,0.450450,bytetrack,,32,sports ball,0.874979,535.689,361.066,580.232,407.905,558.000,384.000,44.542,46.840
identical_balls_trick_000_018.mp4,27,0.450450,bytetrack,,32,sports ball,0.615654,678.588,271.488,722.851,315.146,701.000,293.000,44.263,43.658
identical_balls_trick_000_018.mp4,28,0.467133,bytetrack,,32,sports ball,0.812657,600.997,407.235,648.510,452.359,625.000,430.000,47.513,45.124
identical_balls_trick_000_018.mp4,28,0.467133,bytetrack,,32,sports ball,0.798094,532.856,338.861,578.529,385.176,556.000,362.000,45.673,46.315
identical_balls_trick_000_018.mp4,28,0.467133,bytetrack,,32,sports ball,0.696052,677.602,290.985,721.690,337.030,700.000,314.000,44.088,46.045
identical_balls_trick_000_018.mp4,29,0.483817,bytetrack,44,32,sports ball,0.837010,531.991,322.859,577.070,368.571,555.000,346.000,45.078,45.712
identical_balls_trick_000_018.mp4,30,0.500500,bytetrack,44,32,sports ball,0.675431,531.873,305.100,575.978,349.818,554.000,327.000,44.106,44.719
identical_balls_trick_000_018.mp4,30,0.500500,bytetrack,3,32,sports ball,0.696582,538.873,403.721,586.464,449.234,563.000,426.000,47.591,45.514
identical_balls_trick_000_018.mp4,31,0.517183,bytetrack,44,32,sports ball,0.693792,530.117,284.807,574.350,329.659,552.000,307.000,44.232,44.852
identical_balls_trick_000_018.mp4,32,0.533867,bytetrack,44,32,sports ball,0.727789,528.986,267.123,572.644,311.398,551.000,289.000,43.658,44.275
identical_balls_trick_000_018.mp4,33,0.550550,bytetrack,44,32,sports ball,0.422673,527.401,251.835,570.489,295.454,549.000,274.000,43.088,43.619
identical_balls_trick_000_018.mp4,34,0.567233,bytetrack,44,32,sports ball,0.501750,525.136,238.561,568.391,282.258,547.000,260.000,43.255,43.697
identical_balls_trick_000_018.mp4,35,0.583917,bytetrack,44,32,sports ball,0.261906,522.859,226.290,567.180,271.051,545.000,249.000,44.321,44.761
identical_balls_trick_000_018.mp4,36,0.600600,bytetrack,44,32,sports ball,0.357210,521.437,216.465,565.823,261.291,544.000,239.000,44.387,44.826
identical_balls_trick_000_018.mp4,37,0.617283,bytetrack,44,32,sports ball,0.659746,519.704,208.840,564.222,253.862,542.000,231.000,44.519,45.022
identical_balls_trick_000_018.mp4,38,0.633967,bytetrack,44,32,sports ball,0.591395,517.690,202.764,562.394,248.016,540.000,225.000,44.705,45.252
identical_balls_trick_000_018.mp4,39,0.650650,bytetrack,44,32,sports ball,0.674280,516.174,198.512,560.853,243.743,539.000,221.000,44.679,45.231
identical_balls_trick_000_018.mp4,39,0.650650,bytetrack,52,32,sports ball,0.759841,371.726,438.531,416.614,483.310,394.000,461.000,44.888,44.780
identical_balls_trick_000_018.mp4,40,0.667333,bytetrack,44,32,sports ball,0.754191,514.785,196.472,559.260,241.492,537.000,219.000,44.475,45.020
identical_balls_trick_000_018.mp4,40,0.667333,bytetrack,52,32,sports ball,0.629672,365.832,445.714,410.164,489.922,388.000,468.000,44.331,44.207
identical_balls_trick_000_018.mp4,41,0.684017,bytetrack,44,32,sports ball,0.648435,513.190,196.034,557.529,240.927,535.000,218.000,44.340,44.893
identical_balls_trick_000_018.mp4,41,0.684017,bytetrack,52,32,sports ball,0.777797,361.500,451.060,406.038,495.525,384.000,473.000,44.537,44.465
identical_balls_trick_000_018.mp4,42,0.700700,bytetrack,44,32,sports ball,0.680988,511.607,197.371,556.377,242.783,534.000,220.000,44.770,45.412
identical_balls_trick_000_018.mp4,42,0.700700,bytetrack,52,32,sports ball,0.671334,361.982,454.275,405.983,498.237,384.000,476.000,44.001,43.961
identical_balls_trick_000_018.mp4,43,0.717383,bytetrack,44,32,sports ball,0.725420,510.184,200.819,554.767,246.027,532.000,223.000,44.583,45.208
identical_balls_trick_000_018.mp4,43,0.717383,bytetrack,52,32,sports ball,0.651514,368.312,453.710,413.021,498.257,391.000,476.000,44.710,44.547
identical_balls_trick_000_018.mp4,44,0.734067,bytetrack,44,32,sports ball,0.671184,508.456,205.756,553.370,251.309,531.000,229.000,44.914,45.553
identical_balls_trick_000_018.mp4,44,0.734067,bytetrack,52,32,sports ball,0.786438,376.658,449.666,422.590,495.389,400.000,473.000,45.931,45.723
identical_balls_trick_000_018.mp4,45,0.750750,bytetrack,44,32,sports ball,0.613023,506.947,212.513,551.831,258.020,529.000,235.000,44.883,45.507
identical_balls_trick_000_018.mp4,45,0.750750,bytetrack,52,32,sports ball,0.645827,389.673,443.651,435.145,488.848,412.000,466.000,45.472,45.197
identical_balls_trick_000_018.mp4,46,0.767433,bytetrack,44,32,sports ball,0.585212,505.769,221.341,550.478,266.716,528.000,244.000,44.708,45.375
identical_balls_trick_000_018.mp4,47,0.784117,bytetrack,,32,sports ball,0.429079,504.809,239.490,548.524,283.723,527.000,262.000,43.715,44.232
identical_balls_trick_000_018.mp4,47,0.784117,bytetrack,,32,sports ball,0.252420,434.801,423.378,481.265,467.927,458.000,446.000,46.464,44.549
identical_balls_trick_000_018.mp4,48,0.800800,bytetrack,,32,sports ball,0.528441,503.751,252.074,547.080,297.113,525.000,275.000,43.329,45.040
identical_balls_trick_000_018.mp4,48,0.800800,bytetrack,,32,sports ball,0.434797,462.960,415.982,511.405,458.512,487.000,437.000,48.444,42.531
identical_balls_trick_000_018.mp4,49,0.817483,bytetrack,,32,sports ball,0.439245,493.918,407.694,541.053,451.936,517.000,430.000,47.134,44.242
identical_balls_trick_000_018.mp4,49,0.817483,bytetrack,,32,sports ball,0.284275,501.488,266.605,545.424,311.781,523.000,289.000,43.935,45.176
identical_balls_trick_000_018.mp4,49,0.817483,bytetrack,,32,sports ball,0.277221,711.448,462.903,756.904,508.521,734.000,486.000,45.456,45.618
identical_balls_trick_000_018.mp4,50,0.834167,bytetrack,65,32,sports ball,0.756161,501.140,279.625,544.110,323.802,523.000,302.000,42.970,44.176
identical_balls_trick_000_018.mp4,51,0.850850,bytetrack,65,32,sports ball,0.685294,499.737,296.974,543.320,341.780,522.000,319.000,43.583,44.806
identical_balls_trick_000_018.mp4,51,0.850850,bytetrack,3,32,sports ball,0.725370,554.698,400.048,602.783,445.340,579.000,423.000,48.085,45.291
identical_balls_trick_000_018.mp4,52,0.867533,bytetrack,65,32,sports ball,0.854965,498.018,317.754,542.659,363.645,520.000,341.000,44.640,45.891
identical_balls_trick_000_018.mp4,53,0.884217,bytetrack,65,32,sports ball,0.586401,496.550,339.652,541.617,386.005,519.000,363.000,45.067,46.353
identical_balls_trick_000_018.mp4,54,0.900900,bytetrack,65,32,sports ball,0.785672,495.712,363.356,539.930,408.826,518.000,386.000,44.218,45.469
identical_balls_trick_000_018.mp4,55,0.917583,bytetrack,65,32,sports ball,0.629518,494.454,388.130,539.016,433.970,517.000,411.000,44.562,45.840
identical_balls_trick_000_018.mp4,56,0.934267,bytetrack,65,32,sports ball,0.702504,493.310,414.210,538.209,460.504,516.000,437.000,44.900,46.294
identical_balls_trick_000_018.mp4,57,0.950950,bytetrack,65,32,sports ball,0.196223,492.597,443.566,535.789,487.944,514.000,466.000,43.192,44.378
identical_balls_trick_000_018.mp4,58,0.967633,bytetrack,,32,sports ball,0.403947,693.305,276.318,738.204,320.782,716.000,299.000,44.899,44.464
identical_balls_trick_000_018.mp4,58,0.967633,bytetrack,,32,sports ball,0.299266,491.764,477.652,534.726,522.746,513.000,500.000,42.962,45.094
identical_balls_trick_000_018.mp4,59,0.984317,bytetrack,78,32,sports ball,0.701500,691.490,267.443,736.565,312.082,714.000,290.000,45.075,44.639
identical_balls_trick_000_018.mp4,60,1.001000,bytetrack,78,32,sports ball,0.603774,690.220,258.050,735.474,302.863,713.000,280.000,45.255,44.813
identical_balls_trick_000_018.mp4,61,1.017683,bytetrack,78,32,sports ball,0.617790,688.820,249.062,733.624,293.422,711.000,271.000,44.804,44.360
identical_balls_trick_000_018.mp4,62,1.034367,bytetrack,78,32,sports ball,0.679461,686.869,241.237,731.828,285.749,709.000,263.000,44.958,44.512
identical_balls_trick_000_018.mp4,63,1.051050,bytetrack,78,32,sports ball,0.597561,685.003,235.528,730.654,280.733,708.000,258.000,45.651,45.205
identical_balls_trick_000_018.mp4,64,1.067733,bytetrack,78,32,sports ball,0.518087,683.768,232.292,729.344,277.420,707.000,255.000,45.576,45.128
identical_balls_trick_000_018.mp4,64,1.067733,bytetrack,65,32,sports ball,0.665706,505.245,598.951,548.179,643.255,527.000,621.000,42.934,44.304
identical_balls_trick_000_018.mp4,65,1.084417,bytetrack,78,32,sports ball,0.445026,682.109,230.901,727.578,275.903,705.000,253.000,45.469,45.003
identical_balls_trick_000_018.mp4,66,1.101100,bytetrack,78,32,sports ball,0.501049,680.720,231.211,726.214,276.288,703.000,254.000,45.494,45.077
identical_balls_trick_000_018.mp4,67,1.117783,bytetrack,78,32,sports ball,0.649342,679.529,233.153,725.254,278.579,702.000,256.000,45.726,45.426
identical_balls_trick_000_018.mp4,67,1.117783,bytetrack,84,32,sports ball,0.458305,523.790,608.324,567.520,653.186,546.000,631.000,43.730,44.863
identical_balls_trick_000_018.mp4,68,1.134467,bytetrack,78,32,sports ball,0.676155,678.914,237.163,724.424,282.487,702.000,260.000,45.511,45.324
identical_balls_trick_000_018.mp4,69,1.151150,bytetrack,78,32,sports ball,0.561732,678.055,243.335,723.146,288.240,701.000,266.000,45.091,44.905
