video,frame,time_seconds,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
identical_balls_trick_000_018.mp4,0,0.000000,32,sports ball,0.665575,532.012,294.035,575.844,339.853,553.928,316.944,43.832,45.818
identical_balls_trick_000_018.mp4,0,0.000000,32,sports ball,0.628203,693.441,408.705,739.446,454.282,716.444,431.493,46.005,45.577
identical_balls_trick_000_018.mp4,0,0.000000,32,sports ball,0.313906,544.524,418.920,592.347,464.726,568.435,441.823,47.823,45.806
identical_balls_trick_000_018.mp4,1,0.016683,32,sports ball,0.804028,531.411,313.544,575.271,359.787,553.341,336.665,43.859,46.243
identical_balls_trick_000_018.mp4,1,0.016683,32,sports ball,0.792490,574.868,417.954,622.410,463.247,598.639,440.600,47.543,45.293
identical_balls_trick_000_018.mp4,1,0.016683,32,sports ball,0.570049,692.511,380.781,737.183,426.611,714.847,403.696,44.672,45.830
identical_balls_trick_000_018.mp4,1,0.016683,32,sports ball,0.363506,692.261,379.887,737.435,426.797,714.848,403.342,45.174,46.910
identical_balls_trick_000_018.mp4,2,0.033367,32,sports ball,0.837167,530.757,336.392,575.066,382.680,552.911,359.536,44.309,46.289
identical_balls_trick_000_018.mp4,2,0.033367,32,sports ball,0.795883,690.737,353.984,736.302,400.565,713.520,377.275,45.564,46.581
identical_balls_trick_000_018.mp4,2,0.033367,32,sports ball,0.681836,605.313,418.318,652.035,463.786,628.674,441.052,46.722,45.467
identical_balls_trick_000_018.mp4,3,0.050050,32,sports ball,0.884583,530.848,360.366,575.274,406.132,553.061,383.249,44.426,45.766
identical_balls_trick_000_018.mp4,3,0.050050,32,sports ball,0.733108,689.546,329.254,735.739,375.911,712.643,352.583,46.193,46.658
identical_balls_trick_000_018.mp4,3,0.050050,32,sports ball,0.717514,635.923,420.652,682.489,465.974,659.206,443.313,46.566,45.322
identical_balls_trick_000_018.mp4,4,0.066733,32,sports ball,0.823091,530.625,385.650,574.658,432.435,552.642,409.042,44.033,46.785
identical_balls_trick_000_018.mp4,4,0.066733,32,sports ball,0.794196,689.049,306.402,734.718,352.159,711.884,329.281,45.669,45.756
identical_balls_trick_000_018.mp4,4,0.066733,32,sports ball,0.688336,665.915,425.022,711.782,470.287,688.848,447.654,45.866,45.265
identical_balls_trick_000_018.mp4,5,0.083417,32,sports ball,0.623144,688.884,285.142,733.720,330.745,711.302,307.944,44.836,45.603
identical_balls_trick_000_018.mp4,5,0.083417,32,sports ball,0.353519,696.779,432.076,741.795,475.466,719.287,453.771,45.016,43.390
identical_balls_trick_000_018.mp4,5,0.083417,32,sports ball,0.263305,530.563,413.889,574.625,460.136,552.594,437.013,44.062,46.248
identical_balls_trick_000_018.mp4,6,0.100100,32,sports ball,0.477771,688.651,265.744,733.915,309.759,711.283,287.751,45.264,44.015
identical_balls_trick_000_018.mp4,6,0.100100,32,sports ball,0.452311,725.845,439.430,770.100,481.609,747.973,460.519,44.255,42.179
identical_balls_trick_000_018.mp4,6,0.100100,32,sports ball,0.438313,529.782,441.828,574.723,489.121,552.252,465.474,44.941,47.293
identical_balls_trick_000_018.mp4,7,0.116783,32,sports ball,0.584841,688.762,246.754,733.840,292.239,711.301,269.497,45.078,45.486
identical_balls_trick_000_018.mp4,7,0.116783,32,sports ball,0.447278,530.060,473.240,574.195,517.723,552.127,495.481,44.135,44.483
identical_balls_trick_000_018.mp4,7,0.116783,32,sports ball,0.345197,743.486,448.262,786.848,490.812,765.167,469.537,43.362,42.550
identical_balls_trick_000_018.mp4,8,0.133467,32,sports ball,0.590068,688.392,229.956,733.970,275.983,711.181,252.969,45.578,46.027
identical_balls_trick_000_018.mp4,8,0.133467,32,sports ball,0.233000,530.229,506.144,571.537,551.892,550.883,529.018,41.308,45.747
identical_balls_trick_000_018.mp4,8,0.133467,32,sports ball,0.172623,759.914,455.725,802.504,500.415,781.209,478.070,42.590,44.690
identical_balls_trick_000_018.mp4,9,0.150150,32,sports ball,0.632476,688.662,215.746,733.741,261.334,711.201,238.540,45.079,45.587
identical_balls_trick_000_018.mp4,9,0.150150,32,sports ball,0.229583,528.735,527.778,570.397,573.739,549.566,550.758,41.662,45.961
identical_balls_trick_000_018.mp4,9,0.150150,32,sports ball,0.223218,776.501,463.807,820.372,507.429,798.437,485.618,43.870,43.622
identical_balls_trick_000_018.mp4,10,0.166833,32,sports ball,0.524035,687.537,203.095,733.761,249.132,710.649,226.114,46.224,46.037
identical_balls_trick_000_018.mp4,10,0.166833,32,sports ball,0.319067,528.859,551.362,569.341,593.365,549.100,572.364,40.482,42.003
identical_balls_trick_000_018.mp4,11,0.183517,32,sports ball,0.449327,687.564,192.565,732.754,238.538,710.159,215.552,45.190,45.973
identical_balls_trick_000_018.mp4,11,0.183517,32,sports ball,0.431967,529.829,571.643,569.680,612.362,549.755,592.002,39.851,40.719
identical_balls_trick_000_018.mp4,12,0.200200,32,sports ball,0.513071,687.549,183.665,732.922,229.111,710.236,206.388,45.372,45.446
identical_balls_trick_000_018.mp4,12,0.200200,32,sports ball,0.184563,531.276,588.966,570.981,630.648,551.129,609.807,39.705,41.681
identical_balls_trick_000_018.mp4,13,0.216883,32,sports ball,0.699566,687.642,176.332,732.781,221.790,710.212,199.061,45.139,45.458
identical_balls_trick_000_018.mp4,13,0.216883,32,sports ball,0.310595,841.887,501.399,881.957,540.168,861.922,520.783,40.070,38.769
identical_balls_trick_000_018.mp4,13,0.216883,32,sports ball,0.196990,533.519,602.891,575.237,645.824,554.378,624.357,41.718,42.934
identical_balls_trick_000_018.mp4,14,0.233567,32,sports ball,0.701136,841.549,509.159,887.814,550.660,864.681,529.910,46.265,41.501
identical_balls_trick_000_018.mp4,14,0.233567,32,sports ball,0.626435,687.270,170.642,732.386,216.866,709.828,193.754,45.116,46.223
identical_balls_trick_000_018.mp4,14,0.233567,32,sports ball,0.293956,534.716,610.438,577.093,654.330,555.904,632.384,42.376,43.893
identical_balls_trick_000_018.mp4,15,0.250250,32,sports ball,0.657738,846.149,512.498,891.444,556.586,868.797,534.542,45.295,44.088
identical_balls_trick_000_018.mp4,15,0.250250,32,sports ball,0.547052,686.552,166.879,731.324,213.444,708.938,190.162,44.772,46.565
identical_balls_trick_000_018.mp4,15,0.250250,32,sports ball,0.446738,534.915,613.819,577.549,657.723,556.232,635.771,42.634,43.904
identical_balls_trick_000_018.mp4,16,0.266933,32,sports ball,0.461105,848.776,513.168,891.436,554.544,870.106,533.856,42.660,41.375
identical_balls_trick_000_018.mp4,16,0.266933,32,sports ball,0.425026,685.891,165.413,731.047,211.875,708.469,188.644,45.157,46.462
identical_balls_trick_000_018.mp4,16,0.266933,32,sports ball,0.344403,535.968,610.101,579.984,654.367,557.976,632.234,44.016,44.266
identical_balls_trick_000_018.mp4,17,0.283617,32,sports ball,0.706884,847.094,509.068,890.416,549.138,868.755,529.103,43.322,40.070
identical_balls_trick_000_018.mp4,17,0.283617,32,sports ball,0.395066,685.786,165.515,730.687,211.841,708.236,188.678,44.901,46.327
identical_balls_trick_000_018.mp4,17,0.283617,32,sports ball,0.324213,539.840,603.429,581.367,646.039,560.603,624.734,41.527,42.610
identical_balls_trick_000_018.mp4,18,0.300300,32,sports ball,0.280171,685.187,168.181,730.452,213.808,707.819,190.994,45.265,45.627
