video,source_tracklet,candidate_tracklet,rank,gap_frames,prediction_error,trajectory_fit_error,source_end_hand_distance,candidate_start_hand_distance,gap_hand_distance,nearest_hand_distance,nearest_hand,nearest_hand_frame,label
videos/identical_balls_trick_000_018.mp4,1,6,1,4,320.572131,49.404224,168.545508,96.145001,42.937736,42.937736,right,25,correct
videos/identical_balls_trick_000_018.mp4,2,6,1,4,421.227317,71.811325,152.098612,96.145001,26.877760,26.877760,left,24,wrong
videos/identical_balls_trick_000_018.mp4,3,8,1,6,49.811617,15.126898,37.292599,73.690306,25.061755,25.061755,left,38,correct
videos/identical_balls_trick_000_018.mp4,3,7,2,2,305.323052,73.700885,37.292599,68.236527,33.211203,33.211203,right,38,wrong
videos/identical_balls_trick_000_018.mp4,4,7,1,0,107.391069,57.982154,150.670942,68.236527,,68.236527,right,39,correct
videos/identical_balls_trick_000_018.mp4,4,8,2,4,578.074003,109.033958,150.670942,73.690306,29.348380,29.348380,right,40,wrong
videos/identical_balls_trick_000_018.mp4,5,6,1,0,78.079109,18.795197,45.200124,96.145001,,45.200124,right,26,correct
videos/identical_balls_trick_000_018.mp4,6,15,1,10,149.402623,25.882183,97.701623,27.654165,24.992039,24.992039,right,137,wrong
videos/identical_balls_trick_000_018.mp4,7,10,1,2,153.842117,64.331998,128.376006,72.539399,82.938475,72.539399,left,64,correct
videos/identical_balls_trick_000_018.mp4,9,12,1,0,47.558532,13.294934,53.281445,120.429977,,53.281445,left,103,correct
videos/identical_balls_trick_000_018.mp4,9,13,2,0,108.411606,42.559406,53.281445,123.335504,,53.281445,left,103,wrong
videos/identical_balls_trick_000_018.mp4,10,11,1,2,108.371572,45.626885,83.629330,39.020781,49.970914,39.020781,right,87,correct
videos/identical_balls_trick_000_018.mp4,11,13,1,1,145.413750,37.816612,48.552935,123.335504,52.743687,48.552935,right,102,correct
videos/identical_balls_trick_000_018.mp4,11,12,2,1,263.373066,62.004550,48.552935,120.429977,113.323396,48.552935,right,102,wrong
videos/identical_balls_trick_000_018.mp4,12,17,1,10,179.169602,29.483931,66.243110,61.698900,56.975029,56.975029,right,164,correct
videos/identical_balls_trick_000_018.mp4,12,16,2,2,254.986968,52.663153,66.243110,135.377880,82.755046,66.243110,left,154,wrong
videos/identical_balls_trick_000_018.mp4,14,19,1,8,297.087982,13.831891,76.034189,77.619304,57.798113,57.798113,left,170,correct
videos/identical_balls_trick_000_018.mp4,14,18,2,0,485.531125,121.888633,76.034189,290.352610,,76.034189,left,165,wrong
videos/identical_balls_trick_000_018.mp4,15,17,1,10,138.374729,21.496636,93.334810,61.698900,29.935012,29.935012,right,161,wrong
videos/identical_balls_trick_000_018.mp4,15,16,2,2,213.245485,40.727644,93.334810,135.377880,47.749418,47.749418,right,155,correct
videos/identical_balls_trick_000_018.mp4,16,19,1,2,571.379028,129.345258,382.250853,77.619304,67.262235,67.262235,right,173,wrong
videos/identical_balls_trick_000_018.mp4,17,22,1,7,144.932401,27.472431,25.882968,299.163148,49.259430,25.882968,right,212,correct
videos/identical_balls_trick_000_018.mp4,18,21,1,0,238.086167,57.063250,77.915359,101.084274,,77.915359,left,211,wrong
videos/identical_balls_trick_000_018.mp4,18,22,2,8,401.108582,55.742222,77.915359,299.163148,81.211359,77.915359,left,211,wrong
videos/identical_balls_trick_000_018.mp4,19,20,1,1,107.204280,18.160840,580.651266,498.974236,539.931934,498.974236,left,202,correct
