frame,time_seconds,track_id,confidence,center_x,center_y,observed
2,0.033367,3,0.560318,634.745,238.423,1
2,0.033367,4,0.572353,585.951,307.607,1
2,0.033367,5,0.729645,534.684,378.839,1
2,0.033367,1,0.253634,581.805,214.757,1
2,0.033367,2,0.288411,631.005,470.479,1
3,0.050050,3,0.599100,636.337,242.983,1
3,0.050050,4,0.465752,587.080,298.298,1
3,0.050050,5,0.379132,533.507,391.215,1
3,0.050050,1,0.347189,580.492,212.647,1
3,0.050050,2,0.288411,630.391,469.658,0
4,0.066733,3,0.632106,638.262,248.657,1
4,0.066733,4,0.279086,588.309,288.055,1
4,0.066733,5,0.570422,532.241,403.224,1
4,0.066733,1,0.274710,579.335,211.348,1
4,0.066733,2,0.288411,629.776,468.837,0
5,0.083417,3,0.515529,639.990,255.083,1
5,0.083417,4,0.547079,589.886,278.013,1
5,0.083417,5,0.590559,530.797,414.851,1
5,0.083417,1,0.272034,577.608,210.742,1
5,0.083417,2,0.431510,625.399,454.751,1
6,0.100100,3,0.199949,642.185,262.470,1
6,0.100100,4,0.271319,591.195,268.443,1
6,0.100100,5,0.402830,530.003,425.145,1
6,0.100100,1,0.216111,575.864,210.407,1
6,0.100100,2,0.327596,622.180,438.326,1
7,0.116783,3,0.371421,643.903,270.558,1
7,0.116783,4,0.609487,592.455,259.475,1
7,0.116783,5,0.352666,530.059,434.197,1
7,0.116783,1,0.605832,574.147,210.612,1
7,0.116783,2,0.327596,619.810,429.153,0
8,0.133467,3,0.232054,645.704,278.347,1
8,0.133467,4,0.567263,594.198,251.026,1
8,0.133467,5,0.614033,531.265,443.148,1
8,0.133467,1,0.387281,572.596,211.139,1
8,0.133467,2,0.793220,617.367,409.211,1
9,0.150150,3,0.514464,648.087,286.735,1
9,0.150150,4,0.663319,595.647,243.399,1
9,0.150150,5,0.570753,533.045,452.463,1
9,0.150150,1,0.372956,570.838,212.566,1
9,0.150150,2,0.829804,615.678,390.969,1
10,0.166833,3,0.826670,649.969,296.589,1
10,0.166833,4,0.813465,597.017,236.505,1
10,0.166833,5,0.603501,535.444,460.212,1
10,0.166833,1,0.521377,569.078,214.513,1
10,0.166833,2,0.232898,614.757,374.636,1
11,0.183517,3,0.709385,651.819,306.533,1
11,0.183517,4,0.349364,598.359,230.542,1
11,0.183517,5,0.157841,538.614,468.156,1
11,0.183517,1,0.635526,567.807,217.138,1
11,0.183517,2,0.464139,613.505,359.098,1
12,0.200200,3,0.562245,653.565,316.951,1
12,0.200200,4,0.363396,599.686,224.831,1
12,0.200200,5,0.403630,542.341,474.243,1
12,0.200200,1,0.645306,566.411,219.996,1
12,0.200200,2,0.497571,630.708,333.120,1
13,0.216883,3,0.664090,655.161,328.129,1
13,0.216883,4,0.432124,600.859,219.411,1
13,0.216883,5,0.283266,546.678,479.744,1
13,0.216883,1,0.556136,564.670,223.718,1
13,0.216883,2,0.497571,634.014,315.251,0
14,0.233567,3,0.772802,656.887,339.452,1
14,0.233567,4,0.518693,602.026,215.244,1
14,0.233567,5,0.382448,551.557,484.707,1
14,0.233567,1,0.526832,563.058,227.481,1
14,0.233567,2,0.520563,625.012,307.562,1
15,0.250250,3,0.793015,658.653,351.892,1
15,0.250250,4,0.465043,603.205,211.726,1
15,0.250250,5,0.382448,554.820,491.399,0
15,0.250250,1,0.286319,561.246,232.384,1
15,0.250250,2,0.536070,617.964,299.981,1
16,0.266933,3,0.660795,660.462,365.086,1
16,0.266933,4,0.162422,604.603,208.992,1
16,0.266933,5,0.170301,559.434,489.445,1
16,0.266933,1,0.286319,559.615,235.596,0
16,0.266933,2,0.224881,612.637,292.357,1
17,0.283617,3,0.843022,662.188,378.266,1
17,0.283617,4,0.323776,605.828,206.458,1
17,0.283617,5,0.364480,563.712,484.670,1
17,0.283617,1,0.228745,558.090,242.289,1
17,0.283617,2,0.356691,608.258,284.442,1
18,0.300300,3,0.785511,663.399,390.736,1
18,0.300300,4,0.696238,607.413,204.613,1
18,0.300300,5,0.237214,566.573,476.129,1
18,0.300300,1,0.578115,556.511,249.408,1
18,0.300300,2,0.500760,605.059,276.374,1
19,0.316983,3,0.651024,663.983,401.934,1
19,0.316983,4,0.625675,609.023,203.176,1
19,0.316983,5,0.348841,569.057,465.687,1
19,0.316983,1,0.661479,555.222,256.983,1
19,0.316983,2,0.317759,602.899,268.441,1
20,0.333667,3,0.652905,664.047,411.793,1
20,0.333667,4,0.333541,610.216,202.322,1
20,0.333667,5,0.348841,572.322,462.309,0
20,0.333667,1,0.498425,553.696,265.025,1
20,0.333667,2,0.299272,601.558,260.593,1
21,0.350350,3,0.530624,663.445,420.694,1
21,0.350350,4,0.340553,611.367,202.038,1
21,0.350350,5,0.379329,574.022,444.506,1
21,0.350350,1,0.365730,551.802,273.201,1
21,0.350350,2,0.454574,600.597,253.241,1
22,0.367033,3,0.288061,661.871,429.089,1
22,0.367033,4,0.329902,612.624,202.069,1
22,0.367033,5,0.508766,576.345,426.034,1
22,0.367033,1,0.475966,550.280,281.808,1
22,0.367033,2,0.438455,599.821,246.378,1
23,0.383717,3,0.288061,661.877,439.132,0
23,0.383717,4,0.329902,613.916,200.739,0
23,0.383717,5,0.533376,577.988,407.868,1
23,0.383717,1,0.261990,548.789,290.853,1
23,0.383717,2,0.339799,599.046,239.897,1
24,0.400400,3,0.288061,661.883,449.175,0
24,0.400400,4,0.424424,615.236,202.569,1
24,0.400400,5,0.518114,579.480,390.481,1
24,0.400400,1,0.353843,547.502,300.408,1
24,0.400400,2,0.547456,598.220,233.774,1
25,0.417083,3,0.288061,661.889,459.219,0
25,0.417083,4,0.586841,616.950,204.760,1
25,0.417083,5,0.372686,581.578,374.942,1
25,0.417083,1,0.573483,546.025,310.434,1
25,0.417083,2,0.607888,597.238,227.842,1
26,0.433767,3,0.288061,661.895,469.262,0
26,0.433767,4,0.701324,618.156,207.684,1
26,0.433767,5,0.815908,583.033,360.295,1
26,0.433767,1,0.585606,544.504,321.219,1
26,0.433767,2,0.650862,596.298,222.711,1
27,0.450450,3,0.288061,661.901,479.305,0
27,0.450450,4,0.474938,619.813,210.608,1
27,0.450450,5,0.706165,584.594,346.200,1
27,0.450450,1,0.603874,542.901,332.910,1
27,0.450450,2,0.506648,595.245,218.181,1
28,0.467133,4,0.501350,621.594,213.985,1
28,0.467133,5,0.469695,585.835,333.267,1
28,0.467133,1,0.468390,541.396,345.044,1
28,0.467133,2,0.212478,594.249,213.884,1
29,0.483817,4,0.518143,622.774,218.220,1
29,0.483817,5,0.719853,587.460,321.341,1
29,0.483817,1,0.621068,539.986,357.833,1
29,0.483817,2,0.507580,593.205,210.414,1
30,0.500500,4,0.694430,623.653,222.649,1
30,0.500500,5,0.552686,588.877,309.995,1
30,0.500500,1,0.706073,538.366,371.316,1
30,0.500500,2,0.635356,592.091,207.954,1
31,0.517183,4,0.654207,624.804,227.300,1
31,0.517183,5,0.676300,590.258,299.826,1
31,0.517183,1,0.694010,536.423,384.589,1
31,0.517183,2,0.661953,590.817,205.408,1
32,0.533867,4,0.598166,626.095,232.941,1
32,0.533867,5,0.522801,591.696,290.291,1
32,0.533867,1,0.746457,534.613,398.089,1
32,0.533867,2,0.429719,589.752,203.478,1
33,0.550550,4,0.691089,627.198,238.997,1
33,0.550550,5,0.654047,592.876,281.659,1
33,0.550550,1,0.655580,533.320,409.869,1
