source_tracklet,candidate_tracklet,trajectory_fit_error,accepted,chain_id
1,9,16.577872,1,10
1,10,12.630490,0,
2,8,11.564336,1,1
3,6,9.566688,1,2
4,18,7.717262,1,3
9,13,14.914964,1,10
10,11,28.993002,0,
11,14,9.858386,1,11
13,16,8.542680,1,10
14,17,14.410545,1,11
15,25,10.731772,1,8
16,21,10.173420,1,10
17,24,10.999779,1,11
18,30,14.754576,1,3
19,22,10.312525,1,9
20,21,6.493667,1,10
21,29,17.224194,1,10
22,26,8.961166,1,9
23,24,11.201132,1,11
25,33,12.815928,1,8
26,31,14.346053,1,9
27,28,0.583007,1,12
28,32,16.368602,1,12
29,34,9.049449,1,10
30,37,8.759993,1,3
31,35,12.825241,1,9
33,36,11.405658,1,8
35,38,12.855921,1,9
