source_tracklet,candidate_tracklet,gap_frames,predicted_x,predicted_y,candidate_start_x,candidate_start_y,prediction_error,source_end_frame,candidate_start_frame,end_velocity_x,end_velocity_y,candidate_rank
1,9,6,644.825000,510.992000,634.850000,471.575000,40.659569,107,114,0.933000,11.185000,1
1,10,9,647.624000,544.547000,601.226000,310.689000,238.416314,107,117,0.933000,11.185000,2
2,8,5,565.255000,551.145000,580.625000,390.468000,161.410456,77,83,0.966000,6.886000,1
3,6,6,661.943000,549.606000,620.510000,453.153000,104.975591,27,34,0.006000,10.043000,1
4,18,3,551.862000,541.735000,568.812000,460.866000,82.626253,416,420,1.264000,8.511000,1
9,13,5,619.990000,568.035000,612.565000,397.139000,171.057223,261,267,-1.026000,8.645000,1
10,11,5,544.516000,555.491000,601.010000,290.231000,271.209217,241,247,-0.944000,10.753000,1
11,14,3,568.138000,537.279000,571.064000,418.171000,119.143935,304,308,2.702000,6.849000,1
13,16,8,560.688000,567.044000,575.506000,403.177000,164.535610,330,339,1.658000,7.360000,1
14,17,1,607.171000,476.817000,615.710000,393.490000,83.763378,379,381,-2.848000,-0.209000,1
15,25,5,662.857000,541.359000,626.011000,456.668000,92.359045,600,606,0.346000,9.759000,1
16,21,8,548.103000,595.039000,581.194000,403.462000,194.413892,473,482,0.660000,9.418000,1
17,24,5,545.242000,548.110000,566.154000,472.551000,78.399453,585,591,-0.509000,10.245000,1
18,30,1,570.556000,488.096000,572.884000,391.858000,96.266153,713,715,2.470000,0.551000,1
19,22,6,556.286000,559.902000,579.296000,394.683000,166.813603,503,510,0.954000,6.603000,1
20,21,8,574.145000,542.467000,581.194000,403.462000,139.183614,473,482,2.454000,6.491000,1
21,29,2,599.406000,495.792000,610.386000,382.735000,113.588933,698,701,-3.095000,2.423000,1
22,26,6,573.643000,560.316000,577.611000,398.774000,161.590726,649,656,2.440000,7.322000,1
23,24,9,553.992000,437.739000,566.154000,472.551000,36.875325,581,591,0.080000,2.296000,1
25,33,0,618.295000,521.748000,619.882000,421.653000,100.107580,754,755,-2.717000,6.876000,1
26,31,8,626.299000,565.868000,606.625000,356.449000,210.341113,722,731,0.132000,6.490000,1
27,28,4,615.692000,373.351000,604.307000,305.795000,68.508623,673,678,-0.254000,-3.676000,1
28,32,0,588.310000,457.390000,577.487000,391.185000,67.083823,742,743,4.599000,-3.480000,1
29,34,2,566.283000,532.568000,569.949000,450.942000,81.708283,766,769,2.914000,6.619000,1
30,37,3,563.266000,539.525000,580.470000,435.606000,105.333452,850,854,2.202000,6.736000,1
31,35,5,556.332000,569.390000,579.411000,408.779000,162.260696,794,800,2.212000,8.915000,1
33,36,4,561.687000,542.215000,578.144000,445.468000,98.136715,820,825,1.573000,7.829000,1
35,38,2,616.170000,517.462000,623.237000,404.538000,113.144917,866,869,-3.335000,4.989000,1
