video,frame,time_seconds,person_index,person_confidence,body_scale_shoulder_px,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,left_shoulder_x_smooth,left_shoulder_y_smooth,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,right_shoulder_x_smooth,right_shoulder_y_smooth,left_elbow_x,left_elbow_y,left_elbow_confidence,left_elbow_x_smooth,left_elbow_y_smooth,right_elbow_x,right_elbow_y,right_elbow_confidence,right_elbow_x_smooth,right_elbow_y_smooth,left_wrist_x,left_wrist_y,left_wrist_confidence,left_wrist_x_smooth,left_wrist_y_smooth,right_wrist_x,right_wrist_y,right_wrist_confidence,right_wrist_x_smooth,right_wrist_y_smooth
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,0,0.885852,65.565,631.649,391.911,0.992982,631.658,392.048,566.091,390.957,0.989361,565.610,392.061,649.143,439.972,0.979217,649.143,439.806,551.113,434.728,0.958522,553.606,432.656,637.747,467.428,0.977315,635.360,464.248,545.306,406.197,0.962132,540.084,408.287
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,0,0.888507,66.101,631.711,392.048,0.994060,631.685,392.093,565.610,392.061,0.989303,565.738,392.495,649.334,439.806,0.980299,648.545,439.889,554.263,430.720,0.951851,553.935,433.692,635.360,464.248,0.977976,633.880,462.581,540.084,408.287,0.961341,538.774,409.389
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,0,0.883606,66.425,631.658,392.138,0.993394,631.711,392.138,565.238,392.930,0.990532,565.610,392.930,647.948,439.155,0.978651,647.948,439.972,553.606,432.656,0.956751,553.606,434.728,632.401,460.914,0.976323,632.401,460.914,537.464,410.491,0.957279,537.464,410.491
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,0,0.879010,66.156,632.016,392.409,0.992607,632.016,392.409,565.866,393.271,0.991644,565.433,393.271,647.443,440.088,0.976735,647.443,440.088,554.382,436.913,0.965656,553.606,436.913,629.133,456.728,0.970757,629.133,456.728,536.332,420.783,0.954947,537.464,420.783
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,0,0.864698,67.427,632.766,392.769,0.991595,632.155,392.769,565.347,393.804,0.991767,565.433,393.634,646.117,440.493,0.965119,646.231,440.493,551.834,437.764,0.952627,552.630,437.764,627.172,451.278,0.953099,629.115,451.278,537.057,428.614,0.922815,537.464,428.614
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,0,0.858328,66.727,632.155,392.965,0.987160,632.766,392.769,565.433,393.771,0.989443,565.866,393.634,645.829,441.375,0.936084,646.231,440.739,551.668,438.161,0.947226,552.630,438.161,628.464,448.845,0.905355,629.115,448.845,538.425,435.392,0.889826,538.425,435.392
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,6,0.100100,0,0.868981,67.834,633.749,393.226,0.988009,633.365,392.769,565.916,393.634,0.987503,565.916,393.634,646.231,441.517,0.951994,646.231,440.739,552.630,438.557,0.930652,552.630,438.557,629.115,431.777,0.945782,629.115,431.777,544.351,439.819,0.881623,544.351,439.819
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,7,0.116783,0,0.873296,67.510,633.466,392.759,0.988266,633.365,392.759,565.956,392.937,0.988408,565.956,392.937,646.993,440.739,0.958107,646.993,440.739,554.090,439.228,0.936277,554.086,438.557,631.275,425.909,0.956614,630.672,425.909,555.203,443.848,0.885840,549.440,443.848
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,8,0.133467,0,0.877154,67.407,633.365,390.467,0.990391,633.365,390.467,565.973,391.862,0.988507,565.956,391.862,647.200,440.372,0.968871,646.993,440.372,554.319,439.546,0.943436,554.086,438.557,631.951,423.304,0.967227,631.275,423.304,549.440,447.828,0.911318,549.440,447.828
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,9,0.150150,0,0.882026,66.675,632.736,389.498,0.989800,632.736,390.467,566.079,391.036,0.989432,565.973,391.862,647.123,437.787,0.966817,646.993,437.820,554.086,437.787,0.955867,554.086,438.146,630.672,414.070,0.963470,631.951,414.070,550.081,449.240,0.930438,550.081,449.240
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,10,0.166833,0,0.890951,64.380,630.123,388.891,0.989624,631.802,390.467,565.775,390.921,0.990535,566.079,391.731,644.487,437.820,0.974069,647.123,437.787,552.692,438.146,0.970623,553.568,437.787,635.866,406.152,0.973807,635.866,406.152,547.032,455.135,0.956424,550.081,455.135
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,11,0.183517,0,0.879216,63.534,629.756,390.623,0.984590,631.802,390.136,566.242,392.217,0.985287,566.242,391.689,645.749,435.862,0.971699,646.548,435.862,553.568,437.692,0.970533,552.868,437.692,639.265,402.981,0.973462,639.265,402.981,550.087,458.118,0.963259,550.087,458.118
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,12,0.200200,0,0.887841,65.031,631.802,391.247,0.986452,631.802,390.136,566.773,391.731,0.989072,566.242,391.689,648.100,434.030,0.962204,645.749,434.030,552.768,437.072,0.975677,552.868,437.692,644.081,395.042,0.952427,644.081,396.084,551.379,462.885,0.968942,551.379,462.885
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,13,0.216883,0,0.886714,66.344,632.620,390.136,0.979825,631.802,390.136,566.295,391.689,0.989606,566.242,391.731,646.548,430.103,0.917694,645.749,430.103,552.868,436.984,0.974277,553.265,437.692,649.709,396.084,0.924388,649.709,395.042,552.178,463.751,0.971651,552.178,463.751
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,14,0.233567,0,0.876405,65.966,632.011,389.322,0.985170,632.011,390.136,566.076,391.359,0.994048,566.076,391.731,642.372,423.946,0.920909,646.548,423.946,553.318,438.187,0.980146,553.265,437.802,651.217,391.045,0.930780,651.217,395.042,554.242,466.185,0.975086,554.242,463.751
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,15,0.250250,0,0.880249,65.806,631.764,389.943,0.985867,632.011,390.136,565.984,391.769,0.994532,565.984,391.769,645.268,415.853,0.923336,646.055,423.946,553.265,438.856,0.979574,553.281,438.187,656.385,388.754,0.930269,656.385,395.636,556.594,465.475,0.970878,556.594,463.751
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,16,0.266933,0,0.872405,67.410,633.155,390.607,0.986441,632.011,390.607,565.759,391.977,0.994695,565.759,391.977,653.186,414.438,0.903099,645.268,423.946,553.281,437.802,0.979414,553.281,438.663,661.621,395.636,0.899046,658.638,395.636,557.585,462.956,0.972141,557.585,463.206
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,17,0.283617,0,0.861690,66.013,631.758,392.130,0.988675,632.064,391.038,565.744,392.089,0.994291,565.744,391.977,646.055,428.082,0.947058,645.268,427.791,553.511,438.663,0.980488,553.265,438.856,661.374,403.003,0.943241,658.638,403.003,558.286,463.206,0.970483,557.736,462.956
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,18,0.300300,0,0.867535,66.589,632.064,391.607,0.988044,632.184,391.607,565.478,392.153,0.994349,565.697,392.089,644.520,427.791,0.936040,644.520,428.082,552.428,439.334,0.976977,552.428,439.334,658.638,408.447,0.935045,658.638,408.447,559.810,456.850,0.962745,558.286,456.850
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,19,0.316983,0,0.858897,66.620,632.184,391.038,0.989233,632.184,391.932,565.568,391.727,0.993813,565.568,392.153,642.766,433.540,0.943573,643.653,433.264,550.190,439.404,0.974304,550.190,439.404,656.761,418.813,0.936243,656.761,418.813,557.736,449.116,0.959448,559.435,449.116
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,20,0.333667,0,0.525268,67.049,632.740,391.932,0.988250,632.740,391.932,565.697,392.894,0.993122,565.478,392.604,643.653,433.264,0.931177,643.653,433.540,549.083,440.891,0.966946,549.083,440.891,655.046,424.862,0.915709,656.203,424.862,559.435,444.748,0.941734,559.435,444.748
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,20,0.333667,1,0.373081,66.524,632.231,392.299,0.985987,,,565.715,393.258,0.989911,,,643.849,433.419,0.926845,,,548.855,441.457,0.960214,,,654.910,425.683,0.912717,,,559.563,445.112,0.936287,,
