video,frame,time_seconds,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.595205,621.242,220.090,640.570,243.350,630.906,231.720,19.329,23.260
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.558760,574.899,313.385,592.378,334.703,583.639,324.044,17.479,21.318
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.529710,527.249,349.546,546.787,370.688,537.018,360.117,19.538,21.142
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.360523,574.767,207.143,594.379,228.514,584.573,217.829,19.612,21.371
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,0,0.000000,32,sports ball,0.313269,624.441,464.910,643.944,486.567,634.192,475.739,19.503,21.656
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.800774,526.337,363.349,543.963,383.162,535.150,373.255,17.626,19.813
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.652765,576.424,302.489,594.978,320.797,585.701,311.643,18.555,18.307
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.557617,623.782,224.536,645.672,248.217,634.727,236.377,21.890,23.682
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.298384,571.023,204.932,593.787,226.371,582.405,215.652,22.764,21.440
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,0.016683,32,sports ball,0.173646,622.164,458.092,642.662,485.091,632.413,471.592,20.498,26.999
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.729645,524.364,376.985,543.549,394.930,533.956,385.958,19.185,17.944
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.572353,575.887,291.009,597.162,312.909,586.524,301.959,21.274,21.900
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.560318,624.770,229.971,646.073,252.037,635.421,241.004,21.303,22.065
