chain_id,event,tid,prev_tid,event_frame,prev_last_frame,curr_first_frame,gap_frames,hand,tok_age,h3_confirmed,ambiguous,chain_quality,edge_type
2,CATCH,9,3,41,31,51,20,left,20,True,True,0.9208,AMBIGUOUS_HAND_TRANSITION
2,THROW,9,3,41,31,51,20,left,20,True,True,0.9208,AMBIGUOUS_HAND_TRANSITION
8,CATCH,14,11,111,97,126,29,right,29,True,True,0.8486,AMBIGUOUS_HAND_TRANSITION
8,THROW,14,11,111,97,126,29,right,29,True,True,0.8486,AMBIGUOUS_HAND_TRANSITION
30,CATCH,54,52,788,780,797,17,right,17,False,False,0.4541,HAND_TRANSITION
30,THROW,54,52,788,780,797,17,right,17,False,False,0.4541,HAND_TRANSITION
30,CATCH,59,54,843,830,856,26,right,26,True,True,0.4541,AMBIGUOUS_HAND_TRANSITION
30,THROW,59,54,843,830,856,26,right,26,True,True,0.4541,AMBIGUOUS_HAND_TRANSITION
30,CATCH,63,59,881,872,890,18,right,18,True,True,0.4541,AMBIGUOUS_HAND_TRANSITION
30,THROW,63,59,881,872,890,18,right,18,True,True,0.4541,AMBIGUOUS_HAND_TRANSITION
31,CATCH,60,53,849,839,860,21,right,21,True,False,0.4866,HAND_TRANSITION
31,THROW,60,53,849,839,860,21,right,21,True,False,0.4866,HAND_TRANSITION
31,CATCH,71,68,1022,1015,1029,14,right,14,False,False,0.4866,HAND_TRANSITION
31,THROW,71,68,1022,1015,1029,14,right,14,False,False,0.4866,HAND_TRANSITION
40,CATCH,73,72,1052,1050,1054,4,right,4,False,False,0.6625,HAND_TRANSITION
40,THROW,73,72,1052,1050,1054,4,right,4,False,False,0.6625,HAND_TRANSITION
