chain_id,event,tid,prev_tid,event_frame,prev_last_frame,curr_first_frame,gap_frames,hand,h3_confirmed,ambiguous,chain_quality,edge_type
4,CATCH,6,5,22,22,27,5,right,False,False,0.6683168316831684,RECLASSIFIED_HAND_TRANSITION
4,THROW,6,5,27,22,27,5,right,False,False,0.6683168316831684,RECLASSIFIED_HAND_TRANSITION
2,CATCH,8,3,31,31,43,12,left,False,False,0.5976744186046512,RECLASSIFIED_HAND_TRANSITION
2,THROW,8,3,43,31,43,12,left,False,False,0.5976744186046512,RECLASSIFIED_HAND_TRANSITION
8,CATCH,14,11,97,97,126,29,right,False,True,0.8356164383561644,AMBIGUOUS_HAND_TRANSITION
8,THROW,14,11,126,97,126,29,right,False,True,0.8356164383561644,AMBIGUOUS_HAND_TRANSITION
13,CATCH,23,17,207,207,232,25,right,False,False,0.20444444444444443,HAND_TRANSITION
13,THROW,23,17,232,207,232,25,right,False,False,0.20444444444444443,HAND_TRANSITION
16,CATCH,27,22,252,252,263,11,left,False,False,0.31600000000000006,RECLASSIFIED_HAND_TRANSITION
16,THROW,27,22,263,252,263,11,left,False,False,0.31600000000000006,RECLASSIFIED_HAND_TRANSITION
19,CATCH,34,29,460,460,471,11,left,False,False,0.6021582733812949,RECLASSIFIED_HAND_TRANSITION
19,THROW,34,29,471,460,471,11,left,False,False,0.6021582733812949,RECLASSIFIED_HAND_TRANSITION
23,CATCH,37,35,522,522,533,11,left,False,False,0.5583732057416269,RECLASSIFIED_HAND_TRANSITION
23,THROW,37,35,533,522,533,11,left,False,False,0.5583732057416269,RECLASSIFIED_HAND_TRANSITION
23,CATCH,40,37,534,534,549,15,left,False,False,0.5583732057416269,RECLASSIFIED_HAND_TRANSITION
24,CATCH,39,38,534,534,545,11,right,False,False,0.6450643776824034,RECLASSIFIED_HAND_TRANSITION
24,THROW,39,38,545,534,545,11,right,False,False,0.6450643776824034,RECLASSIFIED_HAND_TRANSITION
23,THROW,40,37,549,534,549,15,left,False,False,0.5583732057416269,RECLASSIFIED_HAND_TRANSITION
23,CATCH,41,40,582,582,591,9,right,False,False,0.5583732057416269,RECLASSIFIED_HAND_TRANSITION
23,THROW,41,40,591,582,591,9,right,False,False,0.5583732057416269,RECLASSIFIED_HAND_TRANSITION
23,CATCH,45,43,622,622,631,9,right,False,False,0.5583732057416269,RECLASSIFIED_HAND_TRANSITION
23,THROW,45,43,631,622,631,9,right,False,False,0.5583732057416269,RECLASSIFIED_HAND_TRANSITION
23,CATCH,46,45,670,670,679,9,left,False,False,0.5583732057416269,RECLASSIFIED_HAND_TRANSITION
23,THROW,46,45,679,670,679,9,left,False,False,0.5583732057416269,RECLASSIFIED_HAND_TRANSITION
30,CATCH,54,52,780,780,797,17,right,False,False,0.42666666666666664,HAND_TRANSITION
30,THROW,54,52,797,780,797,17,right,False,False,0.42666666666666664,HAND_TRANSITION
30,CATCH,59,54,830,830,856,26,right,False,True,0.42666666666666664,AMBIGUOUS_HAND_TRANSITION
31,CATCH,60,53,839,839,860,21,right,False,False,0.40530035335689046,HAND_TRANSITION
30,THROW,59,54,856,830,856,26,right,False,True,0.42666666666666664,AMBIGUOUS_HAND_TRANSITION
31,THROW,60,53,860,839,860,21,right,False,False,0.40530035335689046,HAND_TRANSITION
30,CATCH,63,59,872,872,890,18,right,False,True,0.42666666666666664,AMBIGUOUS_HAND_TRANSITION
30,THROW,63,59,890,872,890,18,right,False,True,0.42666666666666664,AMBIGUOUS_HAND_TRANSITION
36,CATCH,66,62,948,948,957,9,right,False,False,0.58,RECLASSIFIED_HAND_TRANSITION
36,THROW,66,62,957,948,957,9,right,False,False,0.58,RECLASSIFIED_HAND_TRANSITION
31,CATCH,68,64,964,964,970,6,right,False,False,0.40530035335689046,RECLASSIFIED_HAND_TRANSITION
31,THROW,68,64,970,964,970,6,right,False,False,0.40530035335689046,RECLASSIFIED_HAND_TRANSITION
31,CATCH,71,68,1015,1015,1029,14,right,False,False,0.40530035335689046,HAND_TRANSITION
31,THROW,71,68,1029,1015,1029,14,right,False,False,0.40530035335689046,HAND_TRANSITION
38,CATCH,74,70,1050,1050,1056,6,left,False,False,0.32363636363636367,HAND_TRANSITION
40,CATCH,73,72,1050,1050,1054,4,right,False,False,0.6612903225806452,HAND_TRANSITION
40,THROW,73,72,1054,1050,1054,4,right,False,False,0.6612903225806452,HAND_TRANSITION
38,THROW,74,70,1056,1050,1056,6,left,False,False,0.32363636363636367,HAND_TRANSITION
