chain_id,event,tid,prev_tid,event_frame,prev_last_frame,curr_first_frame,gap_frames,hand,h3_confirmed,ambiguous,chain_quality,edge_type
2,CATCH,6,3,22,22,34,12,left,False,False,0.5776315789473684,RECLASSIFIED_HAND_TRANSITION
2,THROW,6,3,34,22,34,12,left,False,False,0.5776315789473684,RECLASSIFIED_HAND_TRANSITION
1,CATCH,8,2,72,72,83,11,right,False,False,0.5889150943396226,RECLASSIFIED_HAND_TRANSITION
1,THROW,8,2,83,72,83,11,right,False,False,0.5889150943396226,RECLASSIFIED_HAND_TRANSITION
0,CATCH,9,1,102,102,114,12,left,False,False,0.6714763497372193,RECLASSIFIED_HAND_TRANSITION
0,THROW,9,1,114,102,114,12,left,False,False,0.6714763497372193,RECLASSIFIED_HAND_TRANSITION
6,CATCH,12,10,238,238,255,17,right,False,False,0.840625,HAND_TRANSITION
6,THROW,12,10,255,238,255,17,right,False,False,0.840625,HAND_TRANSITION
0,CATCH,13,9,256,256,267,11,left,False,False,0.6714763497372193,RECLASSIFIED_HAND_TRANSITION
0,THROW,13,9,267,256,267,11,left,False,False,0.6714763497372193,RECLASSIFIED_HAND_TRANSITION
7,CATCH,14,11,299,299,308,9,right,False,False,0.6156096059113301,RECLASSIFIED_HAND_TRANSITION
7,THROW,14,11,308,299,308,9,right,False,False,0.6156096059113301,RECLASSIFIED_HAND_TRANSITION
0,CATCH,16,13,327,327,339,12,right,False,False,0.6714763497372193,RECLASSIFIED_HAND_TRANSITION
0,THROW,16,13,339,327,339,12,right,False,False,0.6714763497372193,RECLASSIFIED_HAND_TRANSITION
7,CATCH,17,14,375,375,381,6,left,False,False,0.6156096059113301,RECLASSIFIED_HAND_TRANSITION
7,THROW,17,14,381,375,381,6,left,False,False,0.6156096059113301,RECLASSIFIED_HAND_TRANSITION
3,CATCH,18,4,411,411,420,9,right,False,False,0.6799540133779265,RECLASSIFIED_HAND_TRANSITION
3,THROW,18,4,420,411,420,9,right,False,False,0.6799540133779265,RECLASSIFIED_HAND_TRANSITION
0,CATCH,21,16,468,468,482,14,right,False,False,0.6714763497372193,RECLASSIFIED_HAND_TRANSITION
0,THROW,21,16,482,468,482,14,right,False,False,0.6714763497372193,RECLASSIFIED_HAND_TRANSITION
9,CATCH,22,19,498,498,510,12,right,False,False,0.6144640234948605,RECLASSIFIED_HAND_TRANSITION
9,THROW,22,19,510,498,510,12,right,False,False,0.6144640234948605,RECLASSIFIED_HAND_TRANSITION
7,CATCH,24,17,582,582,591,9,right,False,False,0.6156096059113301,RECLASSIFIED_HAND_TRANSITION
7,THROW,24,17,591,582,591,9,right,False,False,0.6156096059113301,RECLASSIFIED_HAND_TRANSITION
8,CATCH,25,15,595,595,606,11,left,False,False,0.6755921052631579,RECLASSIFIED_HAND_TRANSITION
8,THROW,25,15,606,595,606,11,left,False,False,0.6755921052631579,RECLASSIFIED_HAND_TRANSITION
9,CATCH,26,22,644,644,656,12,right,False,False,0.6144640234948605,RECLASSIFIED_HAND_TRANSITION
9,THROW,26,22,656,644,656,12,right,False,False,0.6144640234948605,RECLASSIFIED_HAND_TRANSITION
0,CATCH,29,21,693,693,701,8,left,False,False,0.6714763497372193,RECLASSIFIED_HAND_TRANSITION
0,THROW,29,21,701,693,701,8,left,False,False,0.6714763497372193,RECLASSIFIED_HAND_TRANSITION
3,CATCH,30,18,709,709,715,6,right,False,False,0.6799540133779265,RECLASSIFIED_HAND_TRANSITION
3,THROW,30,18,715,709,715,6,right,False,False,0.6799540133779265,RECLASSIFIED_HAND_TRANSITION
9,CATCH,31,26,717,717,731,14,left,False,False,0.6144640234948605,RECLASSIFIED_HAND_TRANSITION
9,THROW,31,26,731,717,731,14,left,False,False,0.6144640234948605,RECLASSIFIED_HAND_TRANSITION
12,CATCH,32,28,738,738,743,5,right,False,False,0.5176282051282051,RECLASSIFIED_HAND_TRANSITION
12,THROW,32,28,743,738,743,5,right,False,False,0.5176282051282051,RECLASSIFIED_HAND_TRANSITION
8,CATCH,33,25,749,749,755,6,left,False,False,0.6755921052631579,RECLASSIFIED_HAND_TRANSITION
8,THROW,33,25,755,749,755,6,left,False,False,0.6755921052631579,RECLASSIFIED_HAND_TRANSITION
0,CATCH,34,29,761,761,769,8,right,False,False,0.6714763497372193,RECLASSIFIED_HAND_TRANSITION
0,THROW,34,29,769,761,769,8,right,False,False,0.6714763497372193,RECLASSIFIED_HAND_TRANSITION
9,CATCH,35,31,789,789,800,11,right,False,False,0.6144640234948605,RECLASSIFIED_HAND_TRANSITION
9,THROW,35,31,800,789,800,11,right,False,False,0.6144640234948605,RECLASSIFIED_HAND_TRANSITION
8,CATCH,36,33,818,818,825,7,right,False,False,0.6755921052631579,RECLASSIFIED_HAND_TRANSITION
8,THROW,36,33,825,818,825,7,right,False,False,0.6755921052631579,RECLASSIFIED_HAND_TRANSITION
3,CATCH,37,30,845,845,854,9,right,False,False,0.6799540133779265,RECLASSIFIED_HAND_TRANSITION
3,THROW,37,30,854,845,854,9,right,False,False,0.6799540133779265,RECLASSIFIED_HAND_TRANSITION
9,CATCH,38,35,862,862,869,7,left,False,False,0.6144640234948605,RECLASSIFIED_HAND_TRANSITION
9,THROW,38,35,869,862,869,7,left,False,False,0.6144640234948605,RECLASSIFIED_HAND_TRANSITION
