chain_id,event,tid,prev_tid,event_frame,hand,ambiguous,v_reclassified,h22_reclassified,h26_reclassified,chain_quality,chain_classification,edge_type
2,CATCH,8,3,31,left,False,False,False,False,0.5977,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
2,THROW,8,3,43,left,False,False,False,False,0.5977,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
4,CATCH,6,5,22,right,False,False,False,False,0.6683,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
4,THROW,6,5,27,right,False,False,False,False,0.6683,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
5,CATCH,10,7,56,unknown,False,False,False,True,0.64,UNCERTAIN,H26_RECLASSIFIED_HAND_TRANSITION
5,THROW,10,7,64,unknown,False,False,False,True,0.64,UNCERTAIN,H26_RECLASSIFIED_HAND_TRANSITION
7,CATCH,14,11,97,right,True,False,False,False,0.8356,CONFIDENT,AMBIGUOUS_HAND_TRANSITION
7,THROW,14,11,126,right,True,False,False,False,0.8356,CONFIDENT,AMBIGUOUS_HAND_TRANSITION
12,CATCH,23,17,207,right,False,False,False,False,0.5044,UNCERTAIN,HAND_TRANSITION
12,THROW,23,17,232,right,False,False,False,False,0.5044,UNCERTAIN,HAND_TRANSITION
12,CATCH,25,23,235,right,False,True,False,False,0.5044,UNCERTAIN,V_RECLASSIFIED_HAND_TRANSITION
12,THROW,25,23,243,right,False,True,False,False,0.5044,UNCERTAIN,V_RECLASSIFIED_HAND_TRANSITION
18,CATCH,34,29,460,left,False,False,False,False,0.6022,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
18,THROW,34,29,471,left,False,False,False,False,0.6022,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
19,CATCH,33,30,450,left,False,True,False,False,0.8669,CONFIDENT,V_RECLASSIFIED_HAND_TRANSITION
19,THROW,33,30,461,left,False,True,False,False,0.8669,CONFIDENT,V_RECLASSIFIED_HAND_TRANSITION
22,CATCH,37,35,522,left,False,False,False,False,0.5584,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
22,THROW,37,35,533,left,False,False,False,False,0.5584,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
22,CATCH,40,37,534,left,False,False,False,False,0.5584,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
22,THROW,40,37,549,left,False,False,False,False,0.5584,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
22,CATCH,41,40,582,right,False,False,False,False,0.5584,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
22,THROW,41,40,591,right,False,False,False,False,0.5584,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
22,CATCH,45,43,622,right,False,False,False,False,0.5584,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
22,THROW,45,43,631,right,False,False,False,False,0.5584,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
22,CATCH,46,45,670,left,False,False,False,False,0.5584,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
22,THROW,46,45,679,left,False,False,False,False,0.5584,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
23,CATCH,39,38,534,right,False,False,False,False,0.6451,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
23,THROW,39,38,545,right,False,False,False,False,0.6451,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
23,CATCH,47,39,676,left,False,True,False,False,0.6451,UNCERTAIN,V_RECLASSIFIED_HAND_TRANSITION
23,THROW,47,39,685,left,False,True,False,False,0.6451,UNCERTAIN,V_RECLASSIFIED_HAND_TRANSITION
29,CATCH,52,51,766,left,False,True,False,False,0.5767,UNCERTAIN,V_RECLASSIFIED_HAND_TRANSITION
29,THROW,52,51,775,left,False,True,False,False,0.5767,UNCERTAIN,V_RECLASSIFIED_HAND_TRANSITION
29,CATCH,54,52,780,right,False,False,False,False,0.5767,UNCERTAIN,HAND_TRANSITION
29,THROW,54,52,797,right,False,False,False,False,0.5767,UNCERTAIN,HAND_TRANSITION
29,CATCH,59,54,830,right,True,False,False,False,0.5767,UNCERTAIN,AMBIGUOUS_HAND_TRANSITION
29,THROW,59,54,856,right,True,False,False,False,0.5767,UNCERTAIN,AMBIGUOUS_HAND_TRANSITION
29,CATCH,61,59,872,unknown,False,False,False,True,0.5767,UNCERTAIN,H26_RECLASSIFIED_HAND_TRANSITION
29,THROW,61,59,883,unknown,False,False,False,True,0.5767,UNCERTAIN,H26_RECLASSIFIED_HAND_TRANSITION
30,CATCH,60,53,839,right,False,False,False,False,0.4053,UNCERTAIN,HAND_TRANSITION
30,THROW,60,53,860,right,False,False,False,False,0.4053,UNCERTAIN,HAND_TRANSITION
30,CATCH,68,64,964,right,False,False,False,False,0.4053,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
30,THROW,68,64,970,right,False,False,False,False,0.4053,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
30,CATCH,71,68,1015,right,False,False,False,False,0.4053,UNCERTAIN,HAND_TRANSITION
30,THROW,71,68,1029,right,False,False,False,False,0.4053,UNCERTAIN,HAND_TRANSITION
34,CATCH,66,62,948,right,False,False,False,False,0.58,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
34,THROW,66,62,957,right,False,False,False,False,0.58,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
39,CATCH,73,72,1050,right,False,False,False,False,0.6613,UNCERTAIN,HAND_TRANSITION
39,THROW,73,72,1054,right,False,False,False,False,0.6613,UNCERTAIN,HAND_TRANSITION
