chain_id,event,tid,prev_tid,event_frame,hand,ambiguous,v_reclassified,h22_reclassified,h26_reclassified,chain_quality,chain_classification,edge_type
0,CATCH,9,1,102,left,False,False,False,False,0.6827,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,THROW,9,1,114,left,False,False,False,False,0.6827,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,CATCH,13,9,256,left,False,False,False,False,0.6827,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,THROW,13,9,267,left,False,False,False,False,0.6827,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,CATCH,16,13,327,right,False,False,False,False,0.6827,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,THROW,16,13,339,right,False,False,False,False,0.6827,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
1,CATCH,8,2,72,right,False,False,False,False,0.5889,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
1,THROW,8,2,83,right,False,False,False,False,0.5889,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
2,CATCH,6,3,22,left,False,False,False,False,0.5776,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
2,THROW,6,3,34,left,False,False,False,False,0.5776,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
3,CATCH,18,4,411,right,False,False,False,False,0.68,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
3,THROW,18,4,420,right,False,False,False,False,0.68,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
3,CATCH,30,18,709,right,False,False,False,False,0.68,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
3,THROW,30,18,715,right,False,False,False,False,0.68,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
3,CATCH,37,30,845,right,False,False,False,False,0.68,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
3,THROW,37,30,854,right,False,False,False,False,0.68,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
6,CATCH,12,10,238,right,False,False,False,False,0.8406,CONFIDENT,HAND_TRANSITION
6,THROW,12,10,255,right,False,False,False,False,0.8406,CONFIDENT,HAND_TRANSITION
7,CATCH,14,11,299,right,False,False,False,False,0.6156,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
7,THROW,14,11,308,right,False,False,False,False,0.6156,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
7,CATCH,17,14,375,left,False,False,False,False,0.6156,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
7,THROW,17,14,381,left,False,False,False,False,0.6156,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
7,CATCH,24,17,582,right,False,False,False,False,0.6156,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
7,THROW,24,17,591,right,False,False,False,False,0.6156,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
8,CATCH,25,15,595,left,False,False,False,False,0.6756,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
8,THROW,25,15,606,left,False,False,False,False,0.6756,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
8,CATCH,33,25,749,left,False,False,False,False,0.6756,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
8,THROW,33,25,755,left,False,False,False,False,0.6756,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
8,CATCH,36,33,818,right,False,False,False,False,0.6756,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
8,THROW,36,33,825,right,False,False,False,False,0.6756,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
9,CATCH,22,19,498,right,False,False,False,False,0.6145,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
9,THROW,22,19,510,right,False,False,False,False,0.6145,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
9,CATCH,26,22,644,right,False,False,False,False,0.6145,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
9,THROW,26,22,656,right,False,False,False,False,0.6145,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
9,CATCH,31,26,717,left,False,False,False,False,0.6145,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
9,THROW,31,26,731,left,False,False,False,False,0.6145,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
9,CATCH,35,31,789,right,False,False,False,False,0.6145,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
9,THROW,35,31,800,right,False,False,False,False,0.6145,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
