chain_id,event,tid,prev_tid,frame,hand,tok_age,h3_confirmed,ambiguous,chain_quality,chain_classification,edge_type
2,CATCH,9,3,0,left,20,True,True,0.9208,CONFIDENT,AMBIGUOUS_HAND_TRANSITION
2,THROW,9,3,0,left,20,True,True,0.9208,CONFIDENT,AMBIGUOUS_HAND_TRANSITION
8,CATCH,14,11,0,right,29,True,True,0.8486,CONFIDENT,AMBIGUOUS_HAND_TRANSITION
8,THROW,14,11,0,right,29,True,True,0.8486,CONFIDENT,AMBIGUOUS_HAND_TRANSITION
30,CATCH,54,52,1,right,17,False,False,0.4541,UNCERTAIN,HAND_TRANSITION
30,THROW,54,52,1,right,17,False,False,0.4541,UNCERTAIN,HAND_TRANSITION
30,CATCH,59,54,2,right,26,True,True,0.4541,UNCERTAIN,AMBIGUOUS_HAND_TRANSITION
30,THROW,59,54,2,right,26,True,True,0.4541,UNCERTAIN,AMBIGUOUS_HAND_TRANSITION
30,CATCH,63,59,3,right,18,True,True,0.4541,UNCERTAIN,AMBIGUOUS_HAND_TRANSITION
30,THROW,63,59,3,right,18,True,True,0.4541,UNCERTAIN,AMBIGUOUS_HAND_TRANSITION
31,CATCH,60,53,0,right,21,True,False,0.4866,UNCERTAIN,HAND_TRANSITION
31,THROW,60,53,0,right,21,True,False,0.4866,UNCERTAIN,HAND_TRANSITION
31,CATCH,71,68,3,right,14,False,False,0.4866,UNCERTAIN,HAND_TRANSITION
31,THROW,71,68,3,right,14,False,False,0.4866,UNCERTAIN,HAND_TRANSITION
40,CATCH,73,72,0,right,4,False,False,0.6625,UNCERTAIN,HAND_TRANSITION
40,THROW,73,72,0,right,4,False,False,0.6625,UNCERTAIN,HAND_TRANSITION
