chain_id,event,tid,prev_tid,hand,tok_age,h3_confirmed,ambiguous,reclassified,chain_quality,chain_classification,edge_type
2,CATCH,8,3,left,?,False,False,True,0.5976744186046512,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
2,THROW,8,3,left,?,False,False,True,0.5976744186046512,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
4,CATCH,6,5,right,?,False,False,True,0.6683168316831684,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
4,THROW,6,5,right,?,False,False,True,0.6683168316831684,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
8,CATCH,14,11,right,29,True,True,False,0.8356164383561644,CONFIDENT,AMBIGUOUS_HAND_TRANSITION
8,THROW,14,11,right,29,True,True,False,0.8356164383561644,CONFIDENT,AMBIGUOUS_HAND_TRANSITION
19,CATCH,34,29,left,?,False,False,True,0.6021582733812949,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
19,THROW,34,29,left,?,False,False,True,0.6021582733812949,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
23,CATCH,37,35,left,?,False,False,True,0.5583732057416269,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
23,THROW,37,35,left,?,False,False,True,0.5583732057416269,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
23,CATCH,40,37,left,?,False,False,True,0.5583732057416269,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
23,THROW,40,37,left,?,False,False,True,0.5583732057416269,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
23,CATCH,41,40,right,?,False,False,True,0.5583732057416269,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
23,THROW,41,40,right,?,False,False,True,0.5583732057416269,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
23,CATCH,45,43,right,?,False,False,True,0.5583732057416269,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
23,THROW,45,43,right,?,False,False,True,0.5583732057416269,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
23,CATCH,46,45,left,?,False,False,True,0.5583732057416269,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
23,THROW,46,45,left,?,False,False,True,0.5583732057416269,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
24,CATCH,39,38,right,?,False,False,True,0.6450643776824034,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
24,THROW,39,38,right,?,False,False,True,0.6450643776824034,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
30,CATCH,54,52,right,17,False,False,False,0.42666666666666664,UNCERTAIN,HAND_TRANSITION
30,THROW,54,52,right,17,False,False,False,0.42666666666666664,UNCERTAIN,HAND_TRANSITION
30,CATCH,59,54,right,26,True,True,False,0.42666666666666664,UNCERTAIN,AMBIGUOUS_HAND_TRANSITION
30,THROW,59,54,right,26,True,True,False,0.42666666666666664,UNCERTAIN,AMBIGUOUS_HAND_TRANSITION
30,CATCH,63,59,right,18,True,True,False,0.42666666666666664,UNCERTAIN,AMBIGUOUS_HAND_TRANSITION
30,THROW,63,59,right,18,True,True,False,0.42666666666666664,UNCERTAIN,AMBIGUOUS_HAND_TRANSITION
31,CATCH,60,53,right,21,True,False,False,0.40530035335689046,UNCERTAIN,HAND_TRANSITION
31,THROW,60,53,right,21,True,False,False,0.40530035335689046,UNCERTAIN,HAND_TRANSITION
31,CATCH,68,64,right,?,False,False,True,0.40530035335689046,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
31,THROW,68,64,right,?,False,False,True,0.40530035335689046,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
31,CATCH,71,68,right,14,False,False,False,0.40530035335689046,UNCERTAIN,HAND_TRANSITION
31,THROW,71,68,right,14,False,False,False,0.40530035335689046,UNCERTAIN,HAND_TRANSITION
36,CATCH,66,62,right,?,False,False,True,0.58,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
36,THROW,66,62,right,?,False,False,True,0.58,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
40,CATCH,73,72,right,4,False,False,False,0.6612903225806452,UNCERTAIN,HAND_TRANSITION
40,THROW,73,72,right,4,False,False,False,0.6612903225806452,UNCERTAIN,HAND_TRANSITION
