chain_id,event,tid,prev_tid,hand,tok_age,h3_confirmed,ambiguous,reclassified,chain_quality,chain_classification,edge_type
0,CATCH,9,1,left,?,False,False,True,0.6714763497372193,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,THROW,9,1,left,?,False,False,True,0.6714763497372193,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,CATCH,13,9,left,?,False,False,True,0.6714763497372193,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,THROW,13,9,left,?,False,False,True,0.6714763497372193,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,CATCH,16,13,right,?,False,False,True,0.6714763497372193,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,THROW,16,13,right,?,False,False,True,0.6714763497372193,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,CATCH,21,16,right,?,False,False,True,0.6714763497372193,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,THROW,21,16,right,?,False,False,True,0.6714763497372193,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,CATCH,29,21,left,?,False,False,True,0.6714763497372193,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,THROW,29,21,left,?,False,False,True,0.6714763497372193,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,CATCH,34,29,right,?,False,False,True,0.6714763497372193,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
0,THROW,34,29,right,?,False,False,True,0.6714763497372193,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
1,CATCH,8,2,right,?,False,False,True,0.5889150943396226,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
1,THROW,8,2,right,?,False,False,True,0.5889150943396226,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
2,CATCH,6,3,left,?,False,False,True,0.5776315789473684,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
2,THROW,6,3,left,?,False,False,True,0.5776315789473684,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
3,CATCH,18,4,right,?,False,False,True,0.6799540133779265,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
3,THROW,18,4,right,?,False,False,True,0.6799540133779265,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
3,CATCH,30,18,right,?,False,False,True,0.6799540133779265,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
3,THROW,30,18,right,?,False,False,True,0.6799540133779265,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
3,CATCH,37,30,right,?,False,False,True,0.6799540133779265,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
3,THROW,37,30,right,?,False,False,True,0.6799540133779265,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
