frame,n_balls,mean_conf,min_conf,max_conf
0,4,0.5569,0.2219,0.7010
1,5,0.5041,0.1719,0.8534
2,4,0.4522,0.2078,0.7752
3,3,0.5655,0.2611,0.8228
4,4,0.4843,0.1896,0.7695
5,3,0.5024,0.3040,0.8172
6,3,0.2695,0.1995,0.3800
7,4,0.4375,0.2172,0.7681
8,2,0.6114,0.5561,0.6666
9,3,0.5268,0.3137,0.6992
10,3,0.5407,0.3022,0.6896
11,1,0.2267,0.2267,0.2267
12,1,0.3588,0.3588,0.3588
14,2,0.6335,0.5868,0.6803
15,3,0.5077,0.2316,0.8842
16,2,0.4249,0.1615,0.6884
17,1,0.5162,0.5162,0.5162
18,2,0.3528,0.1619,0.5438
19,1,0.4612,0.4612,0.4612
20,1,0.3925,0.3925,0.3925
22,1,0.4893,0.4893,0.4893
23,1,0.4611,0.4611,0.4611
24,2,0.3460,0.1510,0.5410
25,2,0.3636,0.1527,0.5745
26,3,0.3595,0.1563,0.6319
27,3,0.4718,0.1887,0.7554
34,1,0.2194,0.2194,0.2194
35,1,0.2545,0.2545,0.2545
36,1,0.2143,0.2143,0.2143
37,2,0.3803,0.3678,0.3928
38,1,0.1935,0.1935,0.1935
39,1,0.6280,0.6280,0.6280
40,2,0.4594,0.2927,0.6261
41,2,0.3346,0.1882,0.4810
42,3,0.4396,0.3684,0.5079
43,1,0.6803,0.6803,0.6803
44,3,0.6044,0.3620,0.7481
45,2,0.6631,0.4707,0.8554
46,4,0.4356,0.1566,0.7626
47,2,0.3548,0.2035,0.5062
48,1,0.1730,0.1730,0.1730
49,1,0.3022,0.3022,0.3022
50,1,0.1506,0.1506,0.1506
51,1,0.3815,0.3815,0.3815
52,2,0.4798,0.1560,0.8036
53,2,0.4722,0.4677,0.4767
54,2,0.4767,0.1690,0.7843
55,1,0.2895,0.2895,0.2895
59,1,0.2240,0.2240,0.2240
60,1,0.5515,0.5515,0.5515
61,1,0.4874,0.4874,0.4874
62,2,0.5158,0.3335,0.6981
63,2,0.6462,0.4904,0.8021
64,2,0.3717,0.2830,0.4605
65,2,0.6514,0.5100,0.7928
69,1,0.1532,0.1532,0.1532
70,1,0.3967,0.3967,0.3967
73,1,0.2330,0.2330,0.2330
74,1,0.3386,0.3386,0.3386
76,1,0.5174,0.5174,0.5174
77,1,0.5344,0.5344,0.5344
78,2,0.3148,0.2506,0.3790
81,2,0.3494,0.3408,0.3579
82,1,0.1944,0.1944,0.1944
83,3,0.3645,0.2334,0.5565
84,3,0.3166,0.1526,0.4312
85,2,0.2876,0.2599,0.3154
86,2,0.4444,0.4282,0.4606
87,1,0.2821,0.2821,0.2821
88,1,0.3231,0.3231,0.3231
89,1,0.4780,0.4780,0.4780
90,1,0.8325,0.8325,0.8325
91,1,0.7350,0.7350,0.7350
92,2,0.4593,0.1591,0.7594
93,2,0.5073,0.3158,0.6988
94,2,0.6012,0.4504,0.7520
95,1,0.6777,0.6777,0.6777
96,1,0.5225,0.5225,0.5225
97,1,0.3359,0.3359,0.3359
98,1,0.4376,0.4376,0.4376
99,1,0.4693,0.4693,0.4693
100,1,0.5048,0.5048,0.5048
101,2,0.4536,0.1530,0.7542
102,2,0.4655,0.2856,0.6454
103,2,0.5298,0.4645,0.5952
104,3,0.4632,0.1800,0.7060
105,3,0.2535,0.1939,0.3330
106,1,0.6534,0.6534,0.6534
107,1,0.7478,0.7478,0.7478
108,2,0.7841,0.7452,0.8229
109,2,0.4220,0.4213,0.4226
110,1,0.5708,0.5708,0.5708
111,3,0.2237,0.1590,0.2669
112,1,0.2734,0.2734,0.2734
114,1,0.3950,0.3950,0.3950
115,1,0.3639,0.3639,0.3639
116,2,0.3761,0.2457,0.5065
117,1,0.2578,0.2578,0.2578
120,1,0.2558,0.2558,0.2558
122,3,0.2055,0.1702,0.2610
123,3,0.3402,0.1892,0.5672
124,3,0.3604,0.3571,0.3631
125,1,0.5876,0.5876,0.5876
126,2,0.5130,0.2954,0.7307
127,1,0.4945,0.4945,0.4945
128,1,0.8140,0.8140,0.8140
129,1,0.4087,0.4087,0.4087
130,1,0.7035,0.7035,0.7035
131,2,0.6210,0.4211,0.8209
132,2,0.5310,0.3737,0.6884
133,1,0.1582,0.1582,0.1582
134,2,0.4824,0.3409,0.6238
136,1,0.1641,0.1641,0.1641
138,1,0.3388,0.3388,0.3388
139,2,0.4601,0.2044,0.7158
140,1,0.8069,0.8069,0.8069
141,3,0.4766,0.4304,0.5603
142,3,0.3644,0.2790,0.5118
143,3,0.3684,0.1691,0.6906
144,3,0.3379,0.2343,0.4426
147,1,0.4215,0.4215,0.4215
148,1,0.4286,0.4286,0.4286
149,2,0.2891,0.2159,0.3623
150,1,0.1827,0.1827,0.1827
151,1,0.1526,0.1526,0.1526
153,1,0.1666,0.1666,0.1666
154,2,0.2234,0.2177,0.2291
155,2,0.3050,0.1774,0.4326
156,2,0.3464,0.3049,0.3878
157,2,0.4557,0.2901,0.6214
158,1,0.3933,0.3933,0.3933
159,2,0.2759,0.1993,0.3525
160,2,0.3140,0.3114,0.3167
161,2,0.4602,0.3431,0.5773
162,1,0.4922,0.4922,0.4922
163,1,0.3245,0.3245,0.3245
164,1,0.3182,0.3182,0.3182
165,1,0.4310,0.4310,0.4310
166,1,0.6532,0.6532,0.6532
167,1,0.6341,0.6341,0.6341
168,2,0.6071,0.4895,0.7247
169,2,0.6927,0.5756,0.8099
170,1,0.7303,0.7303,0.7303
171,1,0.7174,0.7174,0.7174
172,1,0.7096,0.7096,0.7096
173,1,0.7721,0.7721,0.7721
174,1,0.6731,0.6731,0.6731
175,1,0.7822,0.7822,0.7822
176,2,0.5134,0.2592,0.7675
177,3,0.4247,0.2145,0.8145
178,1,0.7818,0.7818,0.7818
180,1,0.3325,0.3325,0.3325
184,1,0.1799,0.1799,0.1799
185,1,0.2814,0.2814,0.2814
186,2,0.2765,0.1768,0.3762
187,2,0.3065,0.3047,0.3082
188,3,0.4192,0.2993,0.5486
189,2,0.5649,0.5384,0.5914
190,2,0.4046,0.3184,0.4908
191,2,0.4130,0.4054,0.4206
192,2,0.5400,0.4926,0.5874
193,2,0.5829,0.4577,0.7081
194,3,0.5594,0.5100,0.5956
195,2,0.5521,0.5137,0.5904
196,2,0.3722,0.3470,0.3973
197,2,0.5268,0.5146,0.5390
198,3,0.4012,0.2462,0.6192
199,2,0.3378,0.1802,0.4953
200,1,0.6563,0.6563,0.6563
201,1,0.6971,0.6971,0.6971
202,2,0.4698,0.2135,0.7260
203,2,0.3869,0.2135,0.5604
204,3,0.4857,0.2067,0.8184
205,2,0.4549,0.1816,0.7282
206,1,0.7426,0.7426,0.7426
207,1,0.6905,0.6905,0.6905
208,1,0.4689,0.4689,0.4689
209,1,0.3484,0.3484,0.3484
210,1,0.6657,0.6657,0.6657
211,1,0.7911,0.7911,0.7911
212,2,0.5355,0.1841,0.8870
213,2,0.6726,0.4619,0.8832
214,3,0.5104,0.1916,0.7620
215,1,0.2897,0.2897,0.2897
216,1,0.1693,0.1693,0.1693
220,1,0.2165,0.2165,0.2165
221,2,0.4013,0.3279,0.4747
222,1,0.4507,0.4507,0.4507
223,2,0.4684,0.4153,0.5215
224,1,0.2967,0.2967,0.2967
225,1,0.1701,0.1701,0.1701
226,1,0.4853,0.4853,0.4853
227,1,0.2255,0.2255,0.2255
228,1,0.3028,0.3028,0.3028
229,1,0.5578,0.5578,0.5578
230,1,0.2933,0.2933,0.2933
231,2,0.4659,0.4410,0.4908
232,2,0.4473,0.4343,0.4603
233,1,0.7384,0.7384,0.7384
234,1,0.4984,0.4984,0.4984
235,1,0.3060,0.3060,0.3060
236,1,0.2744,0.2744,0.2744
237,1,0.3476,0.3476,0.3476
238,2,0.5753,0.4233,0.7273
239,2,0.2484,0.1562,0.3406
240,2,0.5319,0.3234,0.7404
241,2,0.6724,0.5382,0.8066
242,1,0.5412,0.5412,0.5412
243,1,0.5727,0.5727,0.5727
244,1,0.8028,0.8028,0.8028
245,1,0.6123,0.6123,0.6123
246,1,0.8004,0.8004,0.8004
247,1,0.8567,0.8567,0.8567
248,1,0.4730,0.4730,0.4730
249,2,0.6138,0.5471,0.6806
250,1,0.3010,0.3010,0.3010
255,1,0.2828,0.2828,0.2828
256,2,0.2286,0.1756,0.2817
257,2,0.3589,0.1966,0.5213
258,2,0.5293,0.4119,0.6467
259,2,0.4836,0.3545,0.6127
260,1,0.4959,0.4959,0.4959
261,2,0.3210,0.1866,0.4554
262,2,0.3136,0.1745,0.4528
263,1,0.6034,0.6034,0.6034
264,2,0.3346,0.1733,0.4960
265,1,0.2179,0.2179,0.2179
266,2,0.2827,0.1787,0.3867
267,2,0.5630,0.3119,0.8142
268,1,0.1877,0.1877,0.1877
269,1,0.5616,0.5616,0.5616
270,1,0.6504,0.6504,0.6504
271,1,0.6943,0.6943,0.6943
272,1,0.5622,0.5622,0.5622
273,2,0.3163,0.1955,0.4372
274,1,0.1678,0.1678,0.1678
275,1,0.2468,0.2468,0.2468
276,2,0.4911,0.2945,0.6877
277,1,0.5237,0.5237,0.5237
